"sample","PCoA1","PCoA2","Niche","treatment","group"
"N0.N.1",0.275044538401854,0.0854172274973064,"NE","N0","N0.N"
"N0.N.2",0.197311556694411,-0.0359466430546487,"NE","N0","N0.N"
"N0.N.3",0.157596882742799,-0.159367569955666,"NE","N0","N0.N"
"N0.N.4",0.0846837820057391,-0.239473066469926,"NE","N0","N0.N"
"N0.N.5",0.152699195140513,-0.186321379290652,"NE","N0","N0.N"
"N0.RH.1",-0.312335903827718,0.0372884020692014,"RS","N0","N0.RH"
"N0.RH.2",-0.304991281396008,0.0452311183598658,"RS","N0","N0.RH"
"N0.RH.3",-0.316432594678589,0.0360725071464653,"RS","N0","N0.RH"
"N0.RH.4",0.0278983455731473,-0.283169618704592,"RS","N0","N0.RH"
"N0.RH.5",0.0246781158215982,-0.212020101763068,"RS","N0","N0.RH"
"N0.RT.1",0.359118002884849,-0.071862196987598,"RE","N0","N0.RT"
"N0.RT.2",0.337552958481067,0.146969652292537,"RE","N0","N0.RT"
"N0.RT.3",0.338551388099852,0.107135186082399,"RE","N0","N0.RT"
"N0.RT.4",0.174353295347381,-0.377738585753979,"RE","N0","N0.RT"
"N0.RT.5",0.398151725233902,0.130114908036697,"RE","N0","N0.RT"
"N0.Z.1",-0.303692252317005,0.045219883604942,"RZS","N0","N0.Z"
"N0.Z.2",-0.332406459425645,0.0415109523543315,"RZS","N0","N0.Z"
"N0.Z.3",-0.193035313773488,0.00491135710351286,"RZS","N0","N0.Z"
"N0.Z.4",-0.315940873284118,0.0557011035110721,"RZS","N0","N0.Z"
"N0.Z.5",-0.283452646601182,0.0559439239467151,"RZS","N0","N0.Z"
"N2.N.1",0.151210219983731,-0.00484526066983396,"NE","N2","N2.N"
"N2.N.2",0.155088975137359,-0.170579745406323,"NE","N2","N2.N"
"N2.N.3",0.0752371386753147,-0.258128724253009,"NE","N2","N2.N"
"N2.N.4",0.124460333967802,-0.194078820822759,"NE","N2","N2.N"
"N2.N.5",0.122400924038417,-0.161927907947594,"NE","N2","N2.N"
"N2.RH.1",0.0104829897022973,-0.372347090885615,"RS","N2","N2.RH"
"N2.RH.2",0.00691490887607392,-0.320662023912967,"RS","N2","N2.RH"
"N2.RH.3",-0.185654456221026,-0.130414943335548,"RS","N2","N2.RH"
"N2.RH.4",-0.0509022796548293,-0.298937597938135,"RS","N2","N2.RH"
"N2.RH.5",0.0542788068280732,-0.304078508139283,"RS","N2","N2.RH"
"N2.RT.1",0.0681392058048839,-0.324197600029812,"RE","N2","N2.RT"
"N2.RT.2",0.13905932395882,-0.442085541857236,"RE","N2","N2.RT"
"N2.RT.3",0.145173516938467,-0.365689227372016,"RE","N2","N2.RT"
"N2.RT.4",0.397907313473351,0.150214207965804,"RE","N2","N2.RT"
"N2.RT.5",0.085584451973779,-0.373078612072068,"RE","N2","N2.RT"
"N2.Z.1",-0.294103523152475,0.0326122050180189,"RZS","N2","N2.Z"
"N2.Z.2",-0.282562185689333,0.010230214877628,"RZS","N2","N2.Z"
"N2.Z.3",-0.356209885588823,0.00533950124231737,"RZS","N2","N2.Z"
"N2.Z.4",-0.235551010588953,0.0496890763897915,"RZS","N2","N2.Z"
"N2.Z.5",-0.0727104315780338,-0.0364208331693781,"RZS","N2","N2.Z"
"N4.N.1",0.197374450234146,-0.0308434938056213,"NE","N4","N4.N"
"N4.N.2",0.230421332270926,0.0973732016768316,"NE","N4","N4.N"
"N4.N.3",0.234918393986378,0.0605557771192257,"NE","N4","N4.N"
"N4.N.4",0.0788515389133387,0.0176487561084543,"NE","N4","N4.N"
"N4.N.5",0.307844946179917,0.102661824763431,"NE","N4","N4.N"
"N4.RH.1",-0.376365660368602,0.143864588383739,"RS","N4","N4.RH"
"N4.RH.2",-0.400889569802699,0.126049147717599,"RS","N4","N4.RH"
"N4.RH.3",-0.39324707324257,0.117822589036185,"RS","N4","N4.RH"
"N4.RH.4",-0.0216991820564183,-0.298576416755197,"RS","N4","N4.RH"
"N4.RH.5",-0.364187724807465,0.101841660516374,"RS","N4","N4.RH"
"N4.RT.1",0.426763856899926,0.210271710322386,"RE","N4","N4.RT"
"N4.RT.2",0.414487809746426,0.248317684110728,"RE","N4","N4.RT"
"N4.RT.3",0.421107549704654,0.279311628491638,"RE","N4","N4.RT"
"N4.RT.4",0.347848628402208,0.151238941982096,"RE","N4","N4.RT"
"N4.RT.5",0.390816867454054,0.145442282805626,"RE","N4","N4.RT"
"N4.Z.1",-0.342089184176178,0.0914733590312688,"RZS","N4","N4.Z"
"N4.Z.2",-0.352846677226169,0.0752102414993523,"RZS","N4","N4.Z"
"N4.Z.3",-0.410423252033376,0.116718107437303,"RZS","N4","N4.Z"
"N4.Z.4",-0.368176841757768,0.10509235107593,"RZS","N4","N4.Z"
"N4.Z.5",-0.349190170653668,0.0528233886687316,"RZS","N4","N4.Z"
"N6.N.1",0.217303089622064,0.0398305157946441,"NE","N6","N6.N"
"N6.N.2",0.234609664366118,0.0168367572547344,"NE","N6","N6.N"
"N6.N.3",0.354430123712333,0.22949278811374,"NE","N6","N6.N"
"N6.N.4",0.271219339238105,0.133788362419089,"NE","N6","N6.N"
"N6.N.5",0.256082760149621,0.18839648385957,"NE","N6","N6.N"
"N6.RH.1",-0.364265465325021,0.120386971499446,"RS","N6","N6.RH"
"N6.RH.2",-0.390522668351548,0.145177249690438,"RS","N6","N6.RH"
"N6.RH.3",-0.394123032332511,0.139223039496444,"RS","N6","N6.RH"
"N6.RH.4",-0.395967048730724,0.118051374549814,"RS","N6","N6.RH"
"N6.RH.5",-0.362586823187137,0.128617161509306,"RS","N6","N6.RH"
"N6.RT.1",0.314148329008924,0.241320271753889,"RE","N6","N6.RT"
"N6.RT.2",0.387379246158832,0.154360856051052,"RE","N6","N6.RT"
"N6.RT.3",0.390100191464027,0.271861533470325,"RE","N6","N6.RT"
"N6.RT.4",0.357238241573821,0.178926974953721,"RE","N6","N6.RT"
"N6.RT.5",0.355238515781041,0.272075272626407,"RE","N6","N6.RT"
"N6.Z.1",-0.229881280047665,0.0331378129760389,"RZS","N6","N6.Z"
"N6.Z.2",0.142708868664032,-0.300855007463031,"RZS","N6","N6.Z"
"N6.Z.3",-0.308155990023715,0.0651148363845117,"RZS","N6","N6.Z"
"N6.Z.4",-0.363420550271474,0.0917935813870244,"RZS","N6","N6.Z"
"N6.Z.5",-0.366452347144436,0.101936005779859,"RZS","N6","N6.Z"
