"","Rhizobia_RZS","Rhizobia_NE","Rhizobia_MFS","Rhizobia_RS","Rhizobia_RE","AMF_RZS","AMF_NE","AMF_MFS","AMF_RS","AMF_RE"
"NH4_N",0.175543613630696,0.16871690527435,0.320812030198533,0.403065146837163,0.144210890710115,0.158477450971078,0.193160048587525,0.629837419446588,0.258354220065227,0.0827441346996672
"NO3_N",0.234798550784435,0.275521973713487,0.407723437375365,0.736366507468624,0.323709633069982,0.24247623184661,0.309711602802188,0.675981932388897,0.525674190941283,0.357095271152344
"MBN",0.260197359472061,0.197931930483724,0.409940788131799,0.437499386729891,0.253250426366964,0.175682411205467,0.222895241503847,0.66041563005051,0.286344505586961,0.0867249382156181
"TC",0.252430604862974,0.255108827863658,0.441744888271949,0.496264743985338,0.35616809256536,0.170987066619991,0.271137272558724,0.633303796472785,0.223349729649037,0.0852610429707233
"OM",0.26345404613371,0.264048149063858,0.49309754865242,0.51689450983605,0.349875346504701,0.176161403465183,0.269105517427606,0.684255231101216,0.291431622334538,0.0902099832581191
"MBC",0.215876530104512,0.228673386727783,0.375420487582492,0.445483456149082,0.185730187262934,0.136433635412359,0.190314367893011,0.565032159820897,0.241377994434731,0.0436149487804455
"TP",0.248169951736094,0.241820246651088,0.409806750122735,0.509934461520416,0.166809017583176,0.197115073237016,0.194049855835442,0.682801248095587,0.289772652606932,0.0590660169459679
"AP",0.235418992329114,0.270891147321586,0.413173713478607,0.652176977625845,0.275478188785196,0.203731422290194,0.246451138578016,0.649713680857937,0.428584658535059,0.295893386747
"TK",0.030266087422619,0.0102622126418611,-0.0995057588623909,0.00340623180535162,0.0319789970090597,0.264037199610565,0.041980093774408,0.0462461668657926,0.243344064940224,0.144796950346352
"AK",0.232051872617009,0.314926695860973,0.242154878613025,0.420941197718186,0.327976211465763,0.121725377758889,0.13236127065779,0.256524458466312,0.218070918889447,0.253659882254666
"pH",0.265032116731318,0.377698259218381,0.367687513220249,0.394025559887216,0.20208108038062,0.141559300339409,0.128322554692234,0.488407440552568,0.12121561742926,0.0342328694409869
"APP",0.303028518179247,0.276559283719029,0.433402539792495,0.182109730872675,0.331910895681444,0.225189123868316,0.195847170075288,0.483652785940129,0.382461021239968,0.279382677839246
"LAP",0.277540236845629,0.4807235003857,0.272749101470702,0.166972486063981,0.169659812985906,0.176674778323605,0.0323335272424016,0.114223983678174,0.12228187136287,0.0649655764129811
"NAG",0.446560865276844,0.700194446799367,0.437956096158117,0.441134288951193,0.336958024745119,0.320147344616205,0.262211479803253,0.1807588000615,0.180069285393468,0.205969639971767
"Urease",0.457848717157162,0.548105933544479,0.647346531653132,0.547080501500295,0.323224442474051,0.301139345885675,0.316941600767437,0.744204465149407,0.25947425116469,0.0743893753816053
"BG",0.541197192199257,0.730322841591714,0.552779263132507,0.329509495497305,0.359291633457395,0.250943808118816,0.277446273368139,0.193840393480276,0.101090263317276,0.186795177804186
"CBH",0.207729630732156,0.350348820219057,0.234856416231604,0.0283595829904951,0.210001620598562,0.447951075880093,-0.0297159394193365,0.129892384050312,0.192226133260176,0.0387287700035327
"BX",0.382019006552942,0.46515343921225,0.421456991019234,0.157589158042505,0.327129705794273,0.20720383639598,0.197391265552756,0.380148610196342,0.147124557735343,0.0921571127872849
"AKP",-0.0836498414363258,-0.0898339888896573,-0.0699958403853698,-0.00663289405242524,0.00331388161984542,0.154598228440108,-0.0750359995631067,0.0905811680361749,0.367069493669559,0.294940903978754
"EMF",0.437029127699611,0.56420468433629,0.722025869521089,0.446774366268996,0.534238282111079,0.273558442770336,0.35099952355421,0.660250629645292,0.343914443211853,0.184224336777304
