"","Rhizobia_RZS","Rhizobia_NE","Rhizobia_MFS","Rhizobia_RS","Rhizobia_RE","AMF_RZS","AMF_NE","AMF_MFS","AMF_RS","AMF_RE"
"NH4_N","*","*","**","**","*","","*","**","*",""
"NO3_N","**","*","**","**","**","*","**","**","**","**"
"MBN","*","*","**","**","**","","**","**","*",""
"TC","*","*","**","**","**","","**","**","",""
"OM","*","**","**","**","**","","**","**","*",""
"MBC","*","*","**","**","*","","*","**","*",""
"TP","*","**","**","**","*","","*","**","*",""
"AP","*","**","**","**","**","*","**","**","**","**"
"TK","","","","","","","","","*",""
"AK","*","**","*","**","**","","","**","*","**"
"pH","**","**","**","**","*","","","**","",""
"APP","**","**","**","*","**","*","*","**","**","*"
"LAP","**","**","**","*","*","","","","",""
"NAG","**","**","**","**","**","**","**","*","*","*"
"Urease","**","**","**","**","**","*","**","**","*",""
"BG","**","**","**","**","**","*","**","*","","*"
"CBH","*","**","**","","**","*","","","",""
"BX","**","**","**","*","**","","*","**","",""
"AKP","","","","","","","","","**","*"
"EMF","**","**","**","**","**","**","**","**","**","*"
