"bio","env","ymin","xmin","xmax","ymax","r","p","r.sign","r.abs","p.sign"
"AMF_NE","AK",11,21,25,2,0.13236127065779,"","Positive","<0.25",""
"AMF_NE","AKP",20,21,25,2,-0.0750359995631067,"","Negative","<0.25",""
"AMF_NE","AP",9,21,25,2,0.246451138578016,"**","Positive","<0.25","**"
"AMF_NE","APP",13,21,25,2,0.195847170075288,"*","Positive","<0.25","*"
"AMF_NE","BG",17,21,25,2,0.277446273368139,"**","Positive","0.25-0.5","**"
"AMF_NE","BX",19,21,25,2,0.197391265552756,"*","Positive","<0.25","*"
"AMF_NE","CBH",18,21,25,2,-0.0297159394193365,"","Negative","<0.25",""
"AMF_NE","EMF",21,21,25,2,0.35099952355421,"**","Positive","0.25-0.5","**"
"AMF_NE","LAP",14,21,25,2,0.0323335272424016,"","Positive","<0.25",""
"AMF_NE","MBC",7,21,25,2,0.190314367893011,"*","Positive","<0.25","*"
"AMF_NE","MBN",4,21,25,2,0.222895241503847,"**","Positive","<0.25","**"
"AMF_NE","NAG",15,21,25,2,0.262211479803253,"**","Positive","0.25-0.5","**"
"AMF_NE","NH4_N",2,21,25,2,0.193160048587525,"*","Positive","<0.25","*"
"AMF_NE","NO3_N",3,21,25,2,0.309711602802188,"**","Positive","0.25-0.5","**"
"AMF_NE","OM",6,21,25,2,0.269105517427606,"**","Positive","0.25-0.5","**"
"AMF_NE","pH",12,21,25,2,0.128322554692234,"","Positive","<0.25",""
"AMF_NE","TC",5,21,25,2,0.271137272558724,"**","Positive","0.25-0.5","**"
"AMF_NE","TK",10,21,25,2,0.041980093774408,"","Positive","<0.25",""
"AMF_NE","TN",1,21,25,2,NA,NA,NA,NA,NA
"AMF_NE","TP",8,21,25,2,0.194049855835442,"*","Positive","<0.25","*"
"AMF_NE","Urease",16,21,25,2,0.316941600767437,"**","Positive","0.25-0.5","**"
"AMF_RE","AK",11,21,25,7,0.253659882254666,"**","Positive","0.25-0.5","**"
"AMF_RE","AKP",20,21,25,7,0.294940903978754,"*","Positive","0.25-0.5","*"
"AMF_RE","AP",9,21,25,7,0.295893386747,"**","Positive","0.25-0.5","**"
"AMF_RE","APP",13,21,25,7,0.279382677839246,"*","Positive","0.25-0.5","*"
"AMF_RE","BG",17,21,25,7,0.186795177804186,"*","Positive","<0.25","*"
"AMF_RE","BX",19,21,25,7,0.0921571127872849,"","Positive","<0.25",""
"AMF_RE","CBH",18,21,25,7,0.0387287700035327,"","Positive","<0.25",""
