"sample","PCoA1","PCoA2","Niche","treatment","group"
"N0.N.1",-0.566512593270735,-0.110561975770085,"NE","N0","N0.N"
"N0.N.2",-0.592948989990504,-0.125192711585215,"NE","N0","N0.N"
"N0.N.3",-0.577015050413382,-0.115980994958597,"NE","N0","N0.N"
"N0.N.4",-0.591531025036811,-0.12666796955895,"NE","N0","N0.N"
"N0.N.5",-0.591572395058611,-0.127264691687845,"NE","N0","N0.N"
"N0.RH.1",0.259145228172469,0.0127357074488898,"RS","N0","N0.RH"
"N0.RH.2",0.156940235903644,0.102697609268228,"RS","N0","N0.RH"
"N0.RH.3",0.0244331974411427,0.117439794449943,"RS","N0","N0.RH"
"N0.RH.4",0.301834900863176,-0.0250524150735842,"RS","N0","N0.RH"
"N0.RH.5",0.243965403919275,0.0692457573014675,"RS","N0","N0.RH"
"N0.RT.1",0.0292062075379358,0.356199822251044,"RE","N0","N0.RT"
"N0.RT.2",-0.391709965659953,0.0846455766625215,"RE","N0","N0.RT"
"N0.RT.3",-0.0168278190372395,0.377757362713036,"RE","N0","N0.RT"
"N0.RT.4",0.0830860699006668,0.389027259433764,"RE","N0","N0.RT"
"N0.RT.5",-0.284332444576353,0.204122219902731,"RE","N0","N0.RT"
"N0.Z.1",0.309033452279154,-0.206285186247011,"RZS","N0","N0.Z"
"N0.Z.2",0.309590031794199,-0.214612755856408,"RZS","N0","N0.Z"
"N0.Z.3",0.298257679403785,-0.229693248738618,"RZS","N0","N0.Z"
"N0.Z.4",0.320625773203427,-0.21878118532058,"RZS","N0","N0.Z"
"N0.Z.5",0.317987947425133,-0.203083954748561,"RZS","N0","N0.Z"
"N2.N.1",-0.585128903571494,-0.120199963191221,"NE","N2","N2.N"
"N2.N.2",-0.591469785417018,-0.125183137450084,"NE","N2","N2.N"
"N2.N.3",-0.591788248530586,-0.126923607481821,"NE","N2","N2.N"
"N2.N.4",-0.591506017218501,-0.126656105316881,"NE","N2","N2.N"
"N2.N.5",-0.592148088188461,-0.127461386052147,"NE","N2","N2.N"
"N2.RH.1",0.326226082162658,-0.10184681402105,"RS","N2","N2.RH"
"N2.RH.2",0.276777685146351,-0.0242893972953219,"RS","N2","N2.RH"
"N2.RH.3",0.306919959892732,-0.0602980739333962,"RS","N2","N2.RH"
"N2.RH.4",0.317901317136641,-0.0461513058727201,"RS","N2","N2.RH"
"N2.RH.5",0.329773181355197,0.00369653060967739,"RS","N2","N2.RH"
"N2.RT.1",0.0779580692056633,0.330538252364726,"RE","N2","N2.RT"
"N2.RT.2",0.0650018062203365,0.42230642671627,"RE","N2","N2.RT"
"N2.RT.3",0.129013220485499,0.383586801877556,"RE","N2","N2.RT"
"N2.RT.4",-0.0926960101726276,0.306418095530419,"RE","N2","N2.RT"
"N2.RT.5",0.0683823196440168,0.442609321348196,"RE","N2","N2.RT"
"N2.Z.1",0.329370474682114,-0.277128665275628,"RZS","N2","N2.Z"
"N2.Z.2",0.341821314858902,-0.242609022874273,"RZS","N2","N2.Z"
"N2.Z.3",0.332650243053585,-0.260991591017907,"RZS","N2","N2.Z"
"N2.Z.4",0.326607740034882,-0.28080913849943,"RZS","N2","N2.Z"
"N2.Z.5",0.343001391983816,-0.22126602683119,"RZS","N2","N2.Z"
"N4.N.1",-0.592321699574473,-0.12822700279575,"NE","N4","N4.N"
"N4.N.2",-0.592178438745052,-0.127959640318926,"NE","N4","N4.N"
"N4.N.3",-0.593429595007599,-0.126665315499471,"NE","N4","N4.N"
"N4.N.4",-0.592630985166898,-0.127996007905816,"NE","N4","N4.N"
"N4.N.5",-0.5926398503412,-0.126433963010333,"NE","N4","N4.N"
"N4.RH.1",0.305513198758572,-0.0230917816633636,"RS","N4","N4.RH"
"N4.RH.2",0.258175518001039,0.0754270534074376,"RS","N4","N4.RH"
"N4.RH.3",0.299299491324237,0.0239636521916322,"RS","N4","N4.RH"
