"","observed_otus","shannon","simpson","chao1","ace","goods_coverage","pielou.evenness"
"CK.N.1",160,0.498295703429835,0.10444661851543,160,NA,1,0.0981829828042801
"CK.N.2",123,0.577704155585648,0.143775518248779,123,NA,1,0.12005029585799
"CK.N.3",124,0.195694457076198,0.0300760742532736,124,NA,0.999974204199556,0.0405981381819205
"CK.N.4",207,0.61238911220967,0.139174881138059,207,NA,1,0.114836190684393
"CK.N.5",187,0.290893806839879,0.0451328481231011,187,NA,1,0.0556084432853528
"CK.RT.1",1045,8.23863546807734,0.982252089741615,1045,NA,1,1.18511298604817
"CK.RT.2",1466,8.09141668109788,0.985352638567602,1466,2620.1875,0.999974204199556,1.10988911029627
"CK.RT.3",1333,8.74864057989312,0.99241246141714,1333,1333,1,1.21590171187869
"CK.RT.4",1160,6.75676793201796,0.868042778549932,1160,NA,1,0.957568039337529
"CK.RT.5",1125,6.65862473614724,0.963164066236305,1125,NA,1,0.947774311083497
"CK.RH.1",1328,7.31011697318488,0.963011635247665,1328,1328,1,1.01650404081047
"CK.RH.2",1929,9.14649310141073,0.992757269759356,1929,1929,1,1.20909278193688
"CK.RH.3",1830,8.71829168239413,0.988670466816215,1830,1830,1,1.16057095268197
"CK.RH.4",1917,9.40621498489164,0.993817853023378,1917,2650.125,0.999974204199556,1.24445249043683
"CK.RH.5",1075,6.412966243628,0.951646780533909,1075,1075,1,0.918753076361499
"CK.Z.1",2420,10.2610642932347,0.998413860707207,2420,2420,1,1.3169523508311
"CK.Z.2",2384,10.2308780502411,0.998312555381832,2384,2384,1,1.31560881718662
"CK.Z.3",2272,10.1738518487461,0.998223946712272,2272,2272,1,1.31642139069222
"CK.Z.4",2138,10.122129448359,0.998162645085969,2138,NA,1,1.32011255210629
"CK.Z.5",2245,10.1540525242085,0.998214384355518,2245,2245,1,1.31589504400468
"M.N.1",82,0.188371548985732,0.0305650644445546,82,NA,1,0.0427464375232608
"M.N.2",138,0.820309909046898,0.277459671523321,138,NA,1,0.166484204277525
"M.N.3",123,0.228202381630168,0.0358752475219548,123,123,1,0.0474217870259684
"M.N.4",103,0.214048964833788,0.0344536557861158,103,NA,1,0.0461837068310546
"M.N.5",112,0.219004323415519,0.0351194874726539,112,NA,1,0.0464139823679577
"M.RT.1",1834,8.52976657866744,0.986397883854106,1834,NA,1,1.13514473128355
"M.RT.2",1717,7.63650659014212,0.975674777969224,1717,1717,1,1.02526373451552
"M.RT.3",1689,8.23113304872626,0.9786452763246,1689,NA,1,1.10754208226722
"M.RT.4",1800,8.28465267811723,0.981629126223101,1800,NA,1,1.1052773422043
"M.RT.5",2210,8.7458546987683,0.982904594256612,2210,2210,1,1.13571498926394
"M.RH.1",2400,9.67823258689216,0.996018112786781,2401,6054,0.999948408399113,1.24347347147901
"M.RH.2",1835,6.81449209521345,0.866209890686224,1835,NA,0.999974204199556,0.906809537499948
"M.RH.3",2341,9.09296203177467,0.985266175931099,2341,2341,1,1.17202516105761
"M.RH.4",2339,9.58125376990237,0.9938994570782,2339,2339,1,1.23509893590353
"M.RH.5",2112,8.91063725011702,0.990638858368727,2112,3781.2,0.999974204199556,1.16396898127455
"M.Z.1",2709,10.4359077270793,0.998464017814299,2709,3064.99259259259,0.999974204199556,1.32027652365071
"M.Z.2",1944,10.0231565824858,0.998022029074812,1944,NA,1,1.32362530623139
"M.Z.3",1973,10.1006548965217,0.998275492357628,1973,1973,1,1.33125629806557
"M.Z.4",2230,10.2770076578468,0.998432251299831,2230,2230,1,1.33298725738408
"M.Z.5",2239,10.2170746123279,0.998212154628584,2239,2239,1,1.32452163498868
"N0.N.1",113,1.27509368034734,0.449787818123375,113,NA,1,0.26972478866662
"N0.N.2",132,0.531937337775417,0.127121760302355,132,NA,1,0.108941002770322
"N0.N.3",100,1.16750113266424,0.392888296609383,100,NA,1,0.253519649765938
"N0.N.4",125,0.239565753712685,0.0378483399314326,125,NA,1,0.0496168573019318
"N0.N.5",93,0.190984184183644,0.0308043957729326,93,NA,1,0.0421356849357938
"N0.RT.1",1928,8.74500205724804,0.987483069881501,1928,NA,1,1.15609814338263
"N0.RT.2",1136,4.68449774780384,0.666449211566216,1136,NA,1,0.665859118482346
"N0.RT.3",1301,7.69015756514364,0.975385790915431,1301,1301,1,1.07241349355622
"N0.RT.4",1376,7.97134251885614,0.986013860843871,1376,1376,1,1.10300444039604
"N0.RT.5",954,5.87891795932676,0.841310006581522,954,NA,1,0.856902224167144
"N0.RH.1",1545,8.81832946061763,0.991448518966086,1545,NA,1,1.20095255941096
"N0.RH.2",1309,8.10800497247154,0.982749462239878,1309,1309,1,1.12971767762176
"N0.RH.3",1400,7.23376226169195,0.947822116611941,1400,1400,1,0.998555366477811
"N0.RH.4",1687,9.31837401818474,0.995776330786356,1687,1687,1,1.25403597728576
"N0.RH.5",1386,8.36451340049909,0.987403726401137,1386,NA,1,1.15624945210263
"N0.Z.1",2065,10.1911111970046,0.998405579864832,2065,2065,1,1.33515839976916
"N0.Z.2",1882,10.0617956988554,0.998292430732344,1882,NA,1,1.33443967799334
"N0.Z.3",2269,10.1738432075064,0.998050503223728,2269,NA,1,1.31664537395602
"N0.Z.4",2719,10.398117883524,0.998410286924506,2719,2719,1,1.3148826904544
"N0.Z.5",2160,10.0979834072525,0.998018012557681,2160,2160,1,1.31520746707213
"N2.N.1",108,1.01203163740301,0.321549352544806,108,NA,1,0.216147644803327
"N2.N.2",119,0.675555201945784,0.20984792047458,119,NA,1,0.141355460456192
"N2.N.3",119,0.222800089981591,0.0352132264446352,119,NA,1,0.046619446076823
"N2.N.4",115,0.218202448150216,0.0348497114241224,115,NA,1,0.0459864213538253
"N2.N.5",88,0.183735604591111,0.0295267308540856,88,NA,1,0.0410368065223442
"N2.RT.1",1612,8.58634712067936,0.988992294734784,1612,NA,1,1.16263759523907
"N2.RT.2",1558,8.5358326199724,0.989461373086291,1558,1558,1,1.16115479453051
"N2.RT.3",1408,8.38737817276545,0.990911473276296,1408,NA,0.999974204199556,1.15689163016733
"N2.RT.4",1833,7.58884919941225,0.942857696262142,1833,1833,1,1.01000038051701
"N2.RT.5",1396,7.74361105258645,0.981470734915578,1396,NA,1,1.06935773576609
"N2.RH.1",1407,8.86706706875264,0.993212538064941,1407,NA,1,1.22317616443873
"N2.RH.2",1333,7.56476749028459,0.934048616497197,1333,NA,1,1.05136491291469
"N2.RH.3",1706,8.68719539494699,0.989142803909658,1706,1706,1,1.16733462436466
"N2.RH.4",1648,9.12051656512714,0.994198507839501,1648,NA,1,1.23128464602461
"N2.RH.5",1730,9.44144459366643,0.996235018782627,1730,1730,1,1.2663091128513
"N2.Z.1",2409,10.2926152916655,0.99834526718761,2409,2409,1,1.32177461240162
"N2.Z.2",2527,10.3243181912916,0.998269847247464,2527,2527,1,1.31775333930931
