"spec","env","r","p","rd","pd"
"AMF","TN",0.238112643999834,0.015,"0.2 - 0.4","0.01 - 0.05"
"AMF","NH4_N",0.158477450971078,0.11,"< 0.2",">= 0.05"
"AMF","NO3_N",0.24247623184661,0.018,"0.2 - 0.4","0.01 - 0.05"
"AMF","MBN",0.175682411205467,0.083,"< 0.2",">= 0.05"
"AMF","TC",0.170987066619991,0.095,"< 0.2",">= 0.05"
"AMF","OM",0.176161403465183,0.104,"< 0.2",">= 0.05"
"AMF","MBC",0.136433635412359,0.146,"< 0.2",">= 0.05"
"AMF","TP",0.197115073237016,0.074,"< 0.2",">= 0.05"
"AMF","AP",0.203731422290194,0.028,"0.2 - 0.4","0.01 - 0.05"
"AMF","TK",0.264037199610565,0.072,"0.2 - 0.4",">= 0.05"
"AMF","AK",0.121725377758889,0.081,"< 0.2",">= 0.05"
"AMF","pH",0.141559300339409,0.061,"< 0.2",">= 0.05"
"AMF","APP",0.225189123868316,0.01,"0.2 - 0.4","< 0.01"
"AMF","LAP",0.176674778323605,0.061,"< 0.2",">= 0.05"
"AMF","NAG",0.320147344616205,0.007,"0.2 - 0.4","< 0.01"
"AMF","Urease",0.301139345885675,0.014,"0.2 - 0.4","0.01 - 0.05"
"AMF","BG",0.250943808118816,0.025,"0.2 - 0.4","0.01 - 0.05"
"AMF","CBH",0.447951075880093,0.027,">= 0.4","0.01 - 0.05"
"AMF","BX",0.20720383639598,0.103,"0.2 - 0.4",">= 0.05"
"AMF","AKP",0.154598228440108,0.191,"< 0.2",">= 0.05"
"AMF","EMF",0.273558442770336,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","TN",0.373675774403165,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","NH4_N",0.175543613630696,0.044,"< 0.2","0.01 - 0.05"
"Rhizobia","NO3_N",0.234798550784435,0.006,"0.2 - 0.4","< 0.01"
"Rhizobia","MBN",0.260197359472061,0.014,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","TC",0.252430604862974,0.017,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","OM",0.26345404613371,0.015,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","MBC",0.215876530104512,0.029,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","TP",0.248169951736094,0.019,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","AP",0.235418992329114,0.01,"0.2 - 0.4","< 0.01"
"Rhizobia","TK",0.030266087422619,0.369,"< 0.2",">= 0.05"
"Rhizobia","AK",0.232051872617009,0.011,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","pH",0.265032116731318,0.009,"0.2 - 0.4","< 0.01"
"Rhizobia","APP",0.303028518179247,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","LAP",0.277540236845629,0.004,"0.2 - 0.4","< 0.01"
"Rhizobia","NAG",0.446560865276844,0.001,">= 0.4","< 0.01"
"Rhizobia","Urease",0.457848717157162,0.001,">= 0.4","< 0.01"
"Rhizobia","BG",0.541197192199257,0.001,">= 0.4","< 0.01"
"Rhizobia","CBH",0.207729630732156,0.024,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","BX",0.382019006552942,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","AKP",-0.0836498414363258,0.792,"< 0.2",">= 0.05"
"Rhizobia","EMF",0.437029127699611,0.001,">= 0.4","< 0.01"
