"spec","env","r","p","rd","pd"
"AMF","TN",0.41464486498375,0.001,">= 0.4","< 0.01"
"AMF","NH4_N",0.193160048587525,0.014,"< 0.2","0.01 - 0.05"
"AMF","NO3_N",0.309711602802188,0.001,"0.2 - 0.4","< 0.01"
"AMF","MBN",0.222895241503847,0.005,"0.2 - 0.4","< 0.01"
"AMF","TC",0.271137272558724,0.001,"0.2 - 0.4","< 0.01"
"AMF","OM",0.269105517427606,0.001,"0.2 - 0.4","< 0.01"
"AMF","MBC",0.190314367893011,0.016,"< 0.2","0.01 - 0.05"
"AMF","TP",0.194049855835442,0.013,"< 0.2","0.01 - 0.05"
"AMF","AP",0.246451138578016,0.002,"0.2 - 0.4","< 0.01"
"AMF","TK",0.041980093774408,0.301,"< 0.2",">= 0.05"
"AMF","AK",0.13236127065779,0.057,"< 0.2",">= 0.05"
"AMF","pH",0.128322554692234,0.055,"< 0.2",">= 0.05"
"AMF","APP",0.195847170075288,0.011,"< 0.2","0.01 - 0.05"
"AMF","LAP",0.0323335272424016,0.351,"< 0.2",">= 0.05"
"AMF","NAG",0.262211479803253,0.001,"0.2 - 0.4","< 0.01"
"AMF","Urease",0.316941600767437,0.001,"0.2 - 0.4","< 0.01"
"AMF","BG",0.277446273368139,0.002,"0.2 - 0.4","< 0.01"
"AMF","CBH",-0.0297159394193365,0.633,"< 0.2",">= 0.05"
"AMF","BX",0.197391265552756,0.014,"< 0.2","0.01 - 0.05"
"AMF","AKP",-0.0750359995631067,0.804,"< 0.2",">= 0.05"
"AMF","EMF",0.35099952355421,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","TN",0.370665219123234,0.004,"0.2 - 0.4","< 0.01"
"Rhizobia","NH4_N",0.16871690527435,0.023,"< 0.2","0.01 - 0.05"
"Rhizobia","NO3_N",0.275521973713487,0.018,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","MBN",0.197931930483724,0.019,"< 0.2","0.01 - 0.05"
"Rhizobia","TC",0.255108827863658,0.011,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","OM",0.264048149063858,0.009,"0.2 - 0.4","< 0.01"
"Rhizobia","MBC",0.228673386727783,0.011,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","TP",0.241820246651088,0.005,"0.2 - 0.4","< 0.01"
"Rhizobia","AP",0.270891147321586,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","TK",0.0102622126418611,0.383,"< 0.2",">= 0.05"
"Rhizobia","AK",0.314926695860973,0.004,"0.2 - 0.4","< 0.01"
"Rhizobia","pH",0.377698259218381,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","APP",0.276559283719029,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","LAP",0.4807235003857,0.001,">= 0.4","< 0.01"
"Rhizobia","NAG",0.700194446799367,0.001,">= 0.4","< 0.01"
"Rhizobia","Urease",0.548105933544479,0.001,">= 0.4","< 0.01"
"Rhizobia","BG",0.730322841591714,0.001,">= 0.4","< 0.01"
"Rhizobia","CBH",0.350348820219057,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","BX",0.46515343921225,0.001,">= 0.4","< 0.01"
"Rhizobia","AKP",-0.0898339888896573,0.966,"< 0.2",">= 0.05"
"Rhizobia","EMF",0.56420468433629,0.001,">= 0.4","< 0.01"
