"spec","env","r","p","rd","pd"
"AMF","TN",0.697216038951641,0.001,">= 0.4","< 0.01"
"AMF","NH4_N",0.629837419446588,0.001,">= 0.4","< 0.01"
"AMF","NO3_N",0.675981932388897,0.001,">= 0.4","< 0.01"
"AMF","MBN",0.66041563005051,0.001,">= 0.4","< 0.01"
"AMF","TC",0.633303796472785,0.001,">= 0.4","< 0.01"
"AMF","OM",0.684255231101216,0.001,">= 0.4","< 0.01"
"AMF","MBC",0.565032159820897,0.001,">= 0.4","< 0.01"
"AMF","TP",0.682801248095587,0.001,">= 0.4","< 0.01"
"AMF","AP",0.649713680857937,0.001,">= 0.4","< 0.01"
"AMF","TK",0.0462461668657926,0.339,"< 0.2",">= 0.05"
"AMF","AK",0.256524458466312,0.009,"0.2 - 0.4","< 0.01"
"AMF","pH",0.488407440552568,0.001,">= 0.4","< 0.01"
"AMF","APP",0.483652785940129,0.001,">= 0.4","< 0.01"
"AMF","LAP",0.114223983678174,0.094,"< 0.2",">= 0.05"
"AMF","NAG",0.1807588000615,0.039,"< 0.2","0.01 - 0.05"
"AMF","Urease",0.744204465149407,0.001,">= 0.4","< 0.01"
"AMF","BG",0.193840393480276,0.032,"< 0.2","0.01 - 0.05"
"AMF","CBH",0.129892384050312,0.146,"< 0.2",">= 0.05"
"AMF","BX",0.380148610196342,0.002,"0.2 - 0.4","< 0.01"
"AMF","AKP",0.0905811680361749,0.184,"< 0.2",">= 0.05"
"AMF","EMF",0.660250629645292,0.001,">= 0.4","< 0.01"
"Rhizobia","TN",0.685648046329293,0.001,">= 0.4","< 0.01"
"Rhizobia","NH4_N",0.320812030198533,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","NO3_N",0.407723437375365,0.002,">= 0.4","< 0.01"
"Rhizobia","MBN",0.409940788131799,0.001,">= 0.4","< 0.01"
"Rhizobia","TC",0.441744888271949,0.001,">= 0.4","< 0.01"
"Rhizobia","OM",0.49309754865242,0.001,">= 0.4","< 0.01"
"Rhizobia","MBC",0.375420487582492,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","TP",0.409806750122735,0.001,">= 0.4","< 0.01"
"Rhizobia","AP",0.413173713478607,0.001,">= 0.4","< 0.01"
"Rhizobia","TK",-0.0995057588623909,0.927,"< 0.2",">= 0.05"
"Rhizobia","AK",0.242154878613025,0.012,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","pH",0.367687513220249,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","APP",0.433402539792495,0.001,">= 0.4","< 0.01"
"Rhizobia","LAP",0.272749101470702,0.004,"0.2 - 0.4","< 0.01"
"Rhizobia","NAG",0.437956096158117,0.001,">= 0.4","< 0.01"
"Rhizobia","Urease",0.647346531653132,0.001,">= 0.4","< 0.01"
"Rhizobia","BG",0.552779263132507,0.001,">= 0.4","< 0.01"
"Rhizobia","CBH",0.234856416231604,0.007,"0.2 - 0.4","< 0.01"
"Rhizobia","BX",0.421456991019234,0.001,">= 0.4","< 0.01"
"Rhizobia","AKP",-0.0699958403853698,0.82,"< 0.2",">= 0.05"
"Rhizobia","EMF",0.722025869521089,0.001,">= 0.4","< 0.01"
