"spec","env","r","p","rd","pd"
"AMF","TN",0.284019359071302,0.016,"0.2 - 0.4","0.01 - 0.05"
"AMF","NH4_N",0.0827441346996672,0.188,"< 0.2",">= 0.05"
"AMF","NO3_N",0.357095271152344,0.007,"0.2 - 0.4","< 0.01"
"AMF","MBN",0.0867249382156181,0.149,"< 0.2",">= 0.05"
"AMF","TC",0.0852610429707233,0.163,"< 0.2",">= 0.05"
"AMF","OM",0.0902099832581191,0.137,"< 0.2",">= 0.05"
"AMF","MBC",0.0436149487804455,0.301,"< 0.2",">= 0.05"
"AMF","TP",0.0590660169459679,0.222,"< 0.2",">= 0.05"
"AMF","AP",0.295893386747,0.008,"0.2 - 0.4","< 0.01"
"AMF","TK",0.144796950346352,0.104,"< 0.2",">= 0.05"
"AMF","AK",0.253659882254666,0.006,"0.2 - 0.4","< 0.01"
"AMF","pH",0.0342328694409869,0.263,"< 0.2",">= 0.05"
"AMF","APP",0.279382677839246,0.011,"0.2 - 0.4","0.01 - 0.05"
"AMF","LAP",0.0649655764129811,0.173,"< 0.2",">= 0.05"
"AMF","NAG",0.205969639971767,0.026,"0.2 - 0.4","0.01 - 0.05"
"AMF","Urease",0.0743893753816053,0.194,"< 0.2",">= 0.05"
"AMF","BG",0.186795177804186,0.035,"< 0.2","0.01 - 0.05"
"AMF","CBH",0.0387287700035327,0.322,"< 0.2",">= 0.05"
"AMF","BX",0.0921571127872849,0.185,"< 0.2",">= 0.05"
"AMF","AKP",0.294940903978754,0.012,"0.2 - 0.4","0.01 - 0.05"
"AMF","EMF",0.184224336777304,0.038,"< 0.2","0.01 - 0.05"
"Rhizobia","TN",0.636253348676232,0.001,">= 0.4","< 0.01"
"Rhizobia","NH4_N",0.144210890710115,0.037,"< 0.2","0.01 - 0.05"
"Rhizobia","NO3_N",0.323709633069982,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","MBN",0.253250426366964,0.009,"0.2 - 0.4","< 0.01"
"Rhizobia","TC",0.35616809256536,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","OM",0.349875346504701,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","MBC",0.185730187262934,0.022,"< 0.2","0.01 - 0.05"
"Rhizobia","TP",0.166809017583176,0.021,"< 0.2","0.01 - 0.05"
"Rhizobia","AP",0.275478188785196,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","TK",0.0319789970090597,0.201,"< 0.2",">= 0.05"
"Rhizobia","AK",0.327976211465763,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","pH",0.20208108038062,0.029,"0.2 - 0.4","0.01 - 0.05"
"Rhizobia","APP",0.331910895681444,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","LAP",0.169659812985906,0.03,"< 0.2","0.01 - 0.05"
"Rhizobia","NAG",0.336958024745119,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","Urease",0.323224442474051,0.004,"0.2 - 0.4","< 0.01"
"Rhizobia","BG",0.359291633457395,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","CBH",0.210001620598562,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","BX",0.327129705794273,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","AKP",0.00331388161984542,0.389,"< 0.2",">= 0.05"
"Rhizobia","EMF",0.534238282111079,0.001,">= 0.4","< 0.01"
