"sample","PCoA1","PCoA2","Niche","treatment","group"
"N0.N.1",-0.482497946461662,-0.0848756345331731,"NE","N0","N0.N"
"N0.N.2",-0.482618213465647,-0.0854828525450172,"NE","N0","N0.N"
"N0.N.3",-0.482481952206774,-0.085379245126785,"NE","N0","N0.N"
"N0.N.4",-0.482642954454682,-0.085607104495,"NE","N0","N0.N"
"N0.N.5",-0.482499627630376,-0.0853618298888823,"NE","N0","N0.N"
"N0.RH.1",0.121610929661311,0.269690077585392,"RS","N0","N0.RH"
"N0.RH.2",-0.138570205012542,0.238199267673286,"RS","N0","N0.RH"
"N0.RH.3",-0.31268656546201,0.106469181828526,"RS","N0","N0.RH"
"N0.RH.4",0.100745906600985,0.260555002940612,"RS","N0","N0.RH"
"N0.RH.5",-0.0114705900840068,0.263116151840457,"RS","N0","N0.RH"
"N0.RT.1",0.0206166001868849,0.16794466401334,"RE","N0","N0.RT"
"N0.RT.2",-0.406623246739185,-0.0321047114375725,"RE","N0","N0.RT"
"N0.RT.3",-0.101222452805462,0.21082171986381,"RE","N0","N0.RT"
"N0.RT.4",0.139590417793387,0.267845625959854,"RE","N0","N0.RT"
"N0.RT.5",-0.391607839612137,-0.0117709154950128,"RE","N0","N0.RT"
"N0.Z.1",0.238893844946687,-0.153887532965087,"RZS","N0","N0.Z"
"N0.Z.2",0.221077775196652,-0.189158019614681,"RZS","N0","N0.Z"
"N0.Z.3",0.126856522847889,-0.148969859223007,"RZS","N0","N0.Z"
"N0.Z.4",0.0757793181138619,-0.203961943954338,"RZS","N0","N0.Z"
"N0.Z.5",0.124860429302795,-0.169960032507989,"RZS","N0","N0.Z"
"N2.N.1",-0.482234874401443,-0.0853711114447441,"NE","N2","N2.N"
"N2.N.2",-0.482707570059473,-0.0853262496123781,"NE","N2","N2.N"
"N2.N.3",-0.482250428303616,-0.0849878412135868,"NE","N2","N2.N"
"N2.N.4",-0.481819918221953,-0.0842506088320822,"NE","N2","N2.N"
"N2.N.5",-0.482640791588716,-0.0854252152214336,"NE","N2","N2.N"
"N2.RH.1",0.360071465361413,0.132883437754934,"RS","N2","N2.RH"
"N2.RH.2",0.179238912514263,0.239852999545742,"RS","N2","N2.RH"
"N2.RH.3",0.331691298537994,0.210267039764584,"RS","N2","N2.RH"
"N2.RH.4",0.323998912091186,0.223434166639898,"RS","N2","N2.RH"
"N2.RH.5",0.392744847593393,0.171300016208235,"RS","N2","N2.RH"
"N2.RT.1",-0.151978465867101,0.0226087289150167,"RE","N2","N2.RT"
"N2.RT.2",0.0334641487267928,0.125013069553468,"RE","N2","N2.RT"
"N2.RT.3",0.115569463233968,0.105336143050278,"RE","N2","N2.RT"
"N2.RT.4",-0.226403717907611,0.0333641170586624,"RE","N2","N2.RT"
"N2.RT.5",0.103108430496487,0.201233483690764,"RE","N2","N2.RT"
"N2.Z.1",0.392243651132772,-0.265620027747214,"RZS","N2","N2.Z"
"N2.Z.2",0.391996203795005,-0.253894179909167,"RZS","N2","N2.Z"
