"","observed_otus","shannon","simpson","chao1","ace","goods_coverage","pielou.evenness"
"CK.N.1",79,0.14249353946572,0.0204147061140055,79,NA,1,0.0326113376968824
"CK.N.2",51,0.0740943157562055,0.0103945266185548,51,NA,1,0.0188447613595891
"CK.N.3",98,0.178178648691898,0.0255894553132163,98,NA,0.999727371864776,0.0388614858274986
"CK.N.4",70,0.567860225925191,0.16638275378855,70,NA,1,0.133661495087675
"CK.N.5",102,0.147387695011861,0.0214167781351047,102,NA,1,0.0318677970578597
"CK.RT.1",334,7.11571660557209,0.974957906896451,334,NA,1,1.2244956049375
"CK.RT.2",419,6.52268577007646,0.965389741854603,419,NA,0.999727371864776,1.08029566325352
"CK.RT.3",329,7.079931009533,0.97629317541584,329,NA,1,1.22150801699622
"CK.RT.4",304,4.27017760170553,0.686507754691612,304,NA,1,0.746922671138219
"CK.RT.5",611,6.9244781446231,0.961018502326853,611,NA,0.999727371864776,1.0794035053084
"CK.RH.1",279,4.32647403542184,0.837160446097374,279,279,1,0.768302490307419
"CK.RH.2",277,5.31785421872475,0.912234257060979,277,NA,0.999727371864776,0.945561462579773
"CK.RH.3",234,4.50424198839525,0.84910131104804,234,NA,1,0.825660285279084
"CK.RH.4",245,6.24554066816954,0.967134540945505,245,NA,1,1.13529313279609
"CK.RH.5",217,4.09655376760937,0.826387784773466,217,NA,1,0.761455748763211
"CK.Z.1",256,6.81051079423816,0.980693167804698,256,256,1,1.22818626859602
"CK.Z.2",331,6.92948607074206,0.979557701991137,331,NA,1,1.19430277399188
"CK.Z.3",152,5.91116774202227,0.957587696523412,152,152,1,1.17661391776621
"CK.Z.4",259,6.7009380845121,0.973398401769437,259,NA,1,1.20589264416841
"CK.Z.5",226,6.52522254431241,0.971750370045868,226,NA,1,1.20379677378495
"CK.O.1",323,6.91598374468224,0.978429869506558,323,323,1,1.19702317788908
"CK.O.2",365,6.87185141652845,0.971453836055799,365,NA,1,1.16474084288191
"CK.O.3",262,6.52574795049912,0.969320564365065,262,NA,1,1.1719368200174
"CK.O.4",324,6.49040239047459,0.967655345489119,324,NA,1,1.12276256034255
"CK.O.5",454,7.46962237332189,0.985567787680954,454,454,1,1.22090613004861
"M.N.1",65,0.131850455761007,0.020522251674121,65,NA,1,0.0315855830415809
"M.N.2",66,0.0853272383801438,0.0118350797510135,66,NA,1,0.0203661742157955
"M.N.3",54,0.108182049608254,0.0166587960476947,54,NA,1,0.0271202011202404
"M.N.4",82,0.219459164084526,0.0377252134108963,82,NA,1,0.0498010315090459
"M.N.5",49,0.0729762058942036,0.0107186863489117,49,NA,1,0.0187511756207324
"M.RT.1",501,6.59492160924599,0.943628003363256,501,501,1,1.06085563441041
"M.RT.2",564,6.32320544362542,0.90384850897562,564,1181.11111111111,0.999727371864776,0.998129643819571
"M.RT.3",587,6.63776649739912,0.918780921311552,587,NA,1,1.04121422033587
"M.RT.4",438,5.12154086747489,0.796502396847711,438,438,1,0.842051386663737
"M.RT.5",615,6.79706182717569,0.933928550297513,615,NA,0.999727371864776,1.05846490866511
"M.RH.1",144,2.69480631956486,0.604346440958319,144,NA,0.999727371864776,0.542234920534092
"M.RH.2",161,0.872235436953048,0.156503027027349,161,NA,1,0.171652435882401
"M.RH.3",207,2.31251195247474,0.455240019082929,207,NA,1,0.433645958492165
"M.RH.4",190,4.30011227489129,0.804150109620592,190,190,1,0.819533551924547
"M.RH.5",219,3.75520201098974,0.719534268041174,219,NA,1,0.696817967779695
"M.Z.1",213,6.12089598151621,0.949823738621417,213,NA,1,1.14168297349381
"M.Z.2",188,6.08162379612783,0.959652488565524,188,NA,1,1.16140383857919
"M.Z.3",197,6.07477025270492,0.959607917633897,197,NA,1,1.14982699222088
"M.Z.4",222,6.20481767658958,0.958129165393857,222,NA,1,1.14847088545556
"M.Z.5",257,6.50023923568839,0.968786882964934,257,NA,1,1.17140928259792
"M.O.1",334,6.63908709697064,0.960932160263721,334,NA,1,1.14247565237095
"M.O.2",323,6.81647045245548,0.970606387669924,323,323,1,1.17979934947927
"M.O.3",362,6.83579873951123,0.964239648902679,362,NA,1,1.16025314729466
"M.O.4",365,6.89776106138731,0.968484022159584,365,365,1,1.16913238451494
"M.O.5",543,7.68866814356353,0.985518986934809,543,NA,1,1.22098374872174
"N0.N.1",50,0.102117409191139,0.017994578895966,50,NA,1,0.0261034786987311
"N0.N.2",39,0.0765148470530815,0.0123997142586595,39,NA,1,0.0208853717894758
"N0.N.3",49,0.06571302799753,0.0102198077054464,49,NA,1,0.0168849080800138
"N0.N.4",26,0.0430510779012474,0.00674221211895987,26,NA,1,0.0132135673080426
"N0.N.5",45,0.0612816972196816,0.00923976583844599,45,NA,1,0.0160985370739761
"N0.RT.1",373,6.60060823840564,0.942124118297421,373,373,1,1.11467040890808
"N0.RT.2",361,2.02009681299129,0.331193816315233,361,NA,1,0.343035944586492
"N0.RT.3",269,5.20817398508671,0.857603483556688,269,NA,1,0.930910217116037
"N0.RT.4",394,6.76356134071073,0.96426050464657,394,NA,1,1.13172091856053
"N0.RT.5",138,2.46230186770046,0.436258529262334,138,NA,1,0.499731092620188
"N0.RH.1",212,4.66804177327774,0.877322955065859,212,NA,1,0.871458338186397
"N0.RH.2",291,3.70656276890598,0.742139207111462,291,NA,1,0.653331847024105
"N0.RH.3",235,2.43841080677387,0.478118418401834,235,NA,1,0.446629290897024
"N0.RH.4",190,5.05290485120072,0.906508653136888,191,NA,0.999454743729553,0.96300393932063
"N0.RH.5",182,4.88945413993929,0.87980512616915,182,182,1,0.939555698896652
"N0.Z.1",226,6.55261968132413,0.971497802168152,226,NA,1,1.2088510972079
"N0.Z.2",175,6.23541816881342,0.964542476486344,175,NA,1,1.20729459077209
"N0.Z.3",186,5.88618030923568,0.9367415870097,186,NA,1,1.12638072159996
"N0.Z.4",151,5.48259169388218,0.911012744883243,151,NA,1,1.09274185857703
"N0.Z.5",162,5.81307762810586,0.938727788716168,162,NA,1,1.14259804533811
"N0.O.1",609,8.14998195209272,0.992618700678538,609,NA,1,1.27108748436247
