ymin,xmin,env,xmax,ymax,bio
1,21,TN,25,20,Rhizobia_RZS
1,21,TN,25,15,Rhizobia_RS
1,21,TN,25,10,Rhizobia_RE
1,21,TN,25,5,Rhizobia_NE
2,21,NH4_N,25,20,Rhizobia_RZS
2,21,NH4_N,25,15,Rhizobia_RS
2,21,NH4_N,25,10,Rhizobia_RE
2,21,NH4_N,25,5,Rhizobia_NE
3,21,NO3_N,25,20,Rhizobia_RZS
3,21,NO3_N,25,15,Rhizobia_RS
3,21,NO3_N,25,10,Rhizobia_RE
3,21,NO3_N,25,5,Rhizobia_NE
4,21,MBN,25,20,Rhizobia_RZS
4,21,MBN,25,15,Rhizobia_RS
4,21,MBN,25,10,Rhizobia_RE
4,21,MBN,25,5,Rhizobia_NE
5,21,TC,25,20,Rhizobia_RZS
5,21,TC,25,15,Rhizobia_RS
5,21,TC,25,10,Rhizobia_RE
5,21,TC,25,5,Rhizobia_NE
6,21,OM,25,20,Rhizobia_RZS
6,21,OM,25,15,Rhizobia_RS
6,21,OM,25,10,Rhizobia_RE
6,21,OM,25,5,Rhizobia_NE
7,21,MBC,25,20,Rhizobia_RZS
7,21,MBC,25,15,Rhizobia_RS
7,21,MBC,25,10,Rhizobia_RE
7,21,MBC,25,5,Rhizobia_NE
8,21,TP,25,20,Rhizobia_RZS
8,21,TP,25,15,Rhizobia_RS
8,21,TP,25,10,Rhizobia_RE
8,21,TP,25,5,Rhizobia_NE
9,21,AP,25,20,Rhizobia_RZS
9,21,AP,25,15,Rhizobia_RS
9,21,AP,25,10,Rhizobia_RE
9,21,AP,25,5,Rhizobia_NE
10,21,TK,25,20,Rhizobia_RZS
10,21,TK,25,15,Rhizobia_RS
10,21,TK,25,10,Rhizobia_RE
10,21,TK,25,5,Rhizobia_NE
11,21,AK,25,20,Rhizobia_RZS
11,21,AK,25,15,Rhizobia_RS
11,21,AK,25,10,Rhizobia_RE
11,21,AK,25,5,Rhizobia_NE
12,21,pH,25,20,Rhizobia_RZS
12,21,pH,25,15,Rhizobia_RS
12,21,pH,25,10,Rhizobia_RE
12,21,pH,25,5,Rhizobia_NE
13,21,APP,25,20,Rhizobia_RZS
13,21,APP,25,15,Rhizobia_RS
13,21,APP,25,10,Rhizobia_RE
13,21,APP,25,5,Rhizobia_NE
14,21,LAP,25,20,Rhizobia_RZS
14,21,LAP,25,15,Rhizobia_RS
14,21,LAP,25,10,Rhizobia_RE
14,21,LAP,25,5,Rhizobia_NE
15,21,NAG,25,20,Rhizobia_RZS
15,21,NAG,25,15,Rhizobia_RS
15,21,NAG,25,10,Rhizobia_RE
15,21,NAG,25,5,Rhizobia_NE
16,21,Urease,25,20,Rhizobia_RZS
16,21,Urease,25,15,Rhizobia_RS
16,21,Urease,25,10,Rhizobia_RE
16,21,Urease,25,5,Rhizobia_NE
17,21,BG,25,20,Rhizobia_RZS
17,21,BG,25,15,Rhizobia_RS
17,21,BG,25,10,Rhizobia_RE
17,21,BG,25,5,Rhizobia_NE
18,21,CBH,25,20,Rhizobia_RZS
18,21,CBH,25,15,Rhizobia_RS
18,21,CBH,25,10,Rhizobia_RE
18,21,CBH,25,5,Rhizobia_NE
19,21,BX,25,20,Rhizobia_RZS
19,21,BX,25,15,Rhizobia_RS
19,21,BX,25,10,Rhizobia_RE
19,21,BX,25,5,Rhizobia_NE
20,21,AKP,25,20,Rhizobia_RZS
20,21,AKP,25,15,Rhizobia_RS
20,21,AKP,25,10,Rhizobia_RE
20,21,AKP,25,5,Rhizobia_NE
21,21,EMF,25,20,Rhizobia_RZS
21,21,EMF,25,15,Rhizobia_RS
21,21,EMF,25,10,Rhizobia_RE
21,21,EMF,25,5,Rhizobia_NE
