"bio","env","ymin","xmin","xmax","ymax","r","p","r.sign","r.abs","p.sign"
"Rhizobia_NE","AK",11,21,25,5,0.314926695860973,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","AKP",20,21,25,5,-0.0898339888896573,"","Negative","<0.25",""
"Rhizobia_NE","AP",9,21,25,5,0.270891147321586,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","APP",13,21,25,5,0.276559283719029,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","BG",17,21,25,5,0.730322841591714,"**","Positive","0.5-1","**"
"Rhizobia_NE","BX",19,21,25,5,0.46515343921225,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","CBH",18,21,25,5,0.350348820219057,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","EMF",21,21,25,5,0.56420468433629,"**","Positive","0.5-1","**"
"Rhizobia_NE","LAP",14,21,25,5,0.4807235003857,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","MBC",7,21,25,5,0.228673386727783,"*","Positive","<0.25","*"
"Rhizobia_NE","MBN",4,21,25,5,0.197931930483724,"*","Positive","<0.25","*"
"Rhizobia_NE","NAG",15,21,25,5,0.700194446799367,"**","Positive","0.5-1","**"
"Rhizobia_NE","NH4_N",2,21,25,5,0.16871690527435,"*","Positive","<0.25","*"
"Rhizobia_NE","NO3_N",3,21,25,5,0.275521973713487,"*","Positive","0.25-0.5","*"
"Rhizobia_NE","OM",6,21,25,5,0.264048149063858,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","pH",12,21,25,5,0.377698259218381,"**","Positive","0.25-0.5","**"
"Rhizobia_NE","TC",5,21,25,5,0.255108827863658,"*","Positive","0.25-0.5","*"
"Rhizobia_NE","TK",10,21,25,5,0.0102622126418611,"","Positive","<0.25",""
"Rhizobia_NE","TN",1,21,25,5,NA,NA,NA,NA,NA
"Rhizobia_NE","TP",8,21,25,5,0.241820246651088,"**","Positive","<0.25","**"
"Rhizobia_NE","Urease",16,21,25,5,0.548105933544479,"**","Positive","0.5-1","**"
"Rhizobia_RE","AK",11,21,25,10,0.327976211465763,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","AKP",20,21,25,10,0.00331388161984542,"","Positive","<0.25",""
"Rhizobia_RE","AP",9,21,25,10,0.275478188785196,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","APP",13,21,25,10,0.331910895681444,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","BG",17,21,25,10,0.359291633457395,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","BX",19,21,25,10,0.327129705794273,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","CBH",18,21,25,10,0.210001620598562,"**","Positive","<0.25","**"
"Rhizobia_RE","EMF",21,21,25,10,0.534238282111079,"**","Positive","0.5-1","**"
"Rhizobia_RE","LAP",14,21,25,10,0.169659812985906,"*","Positive","<0.25","*"
"Rhizobia_RE","MBC",7,21,25,10,0.185730187262934,"*","Positive","<0.25","*"
"Rhizobia_RE","MBN",4,21,25,10,0.253250426366964,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","NAG",15,21,25,10,0.336958024745119,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","NH4_N",2,21,25,10,0.144210890710115,"*","Positive","<0.25","*"
"Rhizobia_RE","NO3_N",3,21,25,10,0.323709633069982,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","OM",6,21,25,10,0.349875346504701,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","pH",12,21,25,10,0.20208108038062,"*","Positive","<0.25","*"
"Rhizobia_RE","TC",5,21,25,10,0.35616809256536,"**","Positive","0.25-0.5","**"
"Rhizobia_RE","TK",10,21,25,10,0.0319789970090597,"","Positive","<0.25",""
"Rhizobia_RE","TN",1,21,25,10,NA,NA,NA,NA,NA
"Rhizobia_RE","TP",8,21,25,10,0.166809017583176,"*","Positive","<0.25","*"
"Rhizobia_RE","Urease",16,21,25,10,0.323224442474051,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","AK",11,21,25,15,0.420941197718186,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","AKP",20,21,25,15,-0.00663289405242524,"","Negative","<0.25",""
"Rhizobia_RS","AP",9,21,25,15,0.652176977625845,"**","Positive","0.5-1","**"
"Rhizobia_RS","APP",13,21,25,15,0.182109730872675,"*","Positive","<0.25","*"
"Rhizobia_RS","BG",17,21,25,15,0.329509495497305,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","BX",19,21,25,15,0.157589158042505,"*","Positive","<0.25","*"
"Rhizobia_RS","CBH",18,21,25,15,0.0283595829904951,"","Positive","<0.25",""
"Rhizobia_RS","EMF",21,21,25,15,0.446774366268996,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","LAP",14,21,25,15,0.166972486063981,"*","Positive","<0.25","*"
"Rhizobia_RS","MBC",7,21,25,15,0.445483456149082,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","MBN",4,21,25,15,0.437499386729891,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","NAG",15,21,25,15,0.441134288951193,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","NH4_N",2,21,25,15,0.403065146837163,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","NO3_N",3,21,25,15,0.736366507468624,"**","Positive","0.5-1","**"
"Rhizobia_RS","OM",6,21,25,15,0.51689450983605,"**","Positive","0.5-1","**"
"Rhizobia_RS","pH",12,21,25,15,0.394025559887216,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","TC",5,21,25,15,0.496264743985338,"**","Positive","0.25-0.5","**"
"Rhizobia_RS","TK",10,21,25,15,0.00340623180535162,"","Positive","<0.25",""
"Rhizobia_RS","TN",1,21,25,15,NA,NA,NA,NA,NA
"Rhizobia_RS","TP",8,21,25,15,0.509934461520416,"**","Positive","0.5-1","**"
"Rhizobia_RS","Urease",16,21,25,15,0.547080501500295,"**","Positive","0.5-1","**"
"Rhizobia_RZS","AK",11,21,25,20,0.232051872617009,"*","Positive","<0.25","*"
"Rhizobia_RZS","AKP",20,21,25,20,-0.0836498414363258,"","Negative","<0.25",""
"Rhizobia_RZS","AP",9,21,25,20,0.235418992329114,"*","Positive","<0.25","*"
"Rhizobia_RZS","APP",13,21,25,20,0.303028518179247,"**","Positive","0.25-0.5","**"
"Rhizobia_RZS","BG",17,21,25,20,0.541197192199257,"**","Positive","0.5-1","**"
"Rhizobia_RZS","BX",19,21,25,20,0.382019006552942,"**","Positive","0.25-0.5","**"
"Rhizobia_RZS","CBH",18,21,25,20,0.207729630732156,"*","Positive","<0.25","*"
"Rhizobia_RZS","EMF",21,21,25,20,0.437029127699611,"**","Positive","0.25-0.5","**"
"Rhizobia_RZS","LAP",14,21,25,20,0.277540236845629,"**","Positive","0.25-0.5","**"
"Rhizobia_RZS","MBC",7,21,25,20,0.215876530104512,"*","Positive","<0.25","*"
"Rhizobia_RZS","MBN",4,21,25,20,0.260197359472061,"*","Positive","0.25-0.5","*"
"Rhizobia_RZS","NAG",15,21,25,20,0.446560865276844,"**","Positive","0.25-0.5","**"
"Rhizobia_RZS","NH4_N",2,21,25,20,0.175543613630696,"*","Positive","<0.25","*"
"Rhizobia_RZS","NO3_N",3,21,25,20,0.234798550784435,"**","Positive","<0.25","**"
"Rhizobia_RZS","OM",6,21,25,20,0.26345404613371,"*","Positive","0.25-0.5","*"
"Rhizobia_RZS","pH",12,21,25,20,0.265032116731318,"**","Positive","0.25-0.5","**"
"Rhizobia_RZS","TC",5,21,25,20,0.252430604862974,"*","Positive","0.25-0.5","*"
"Rhizobia_RZS","TK",10,21,25,20,0.030266087422619,"","Positive","<0.25",""
"Rhizobia_RZS","TN",1,21,25,20,NA,NA,NA,NA,NA
"Rhizobia_RZS","TP",8,21,25,20,0.248169951736094,"*","Positive","<0.25","*"
"Rhizobia_RZS","Urease",16,21,25,20,0.457848717157162,"**","Positive","0.25-0.5","**"
