"class","mean","sd","sig","Niche","Microbe","max_value","overall_max"
"N0.O",2815.4,515.622730298035,"ab","Original","Bacteria",3521,4598
"N2.O",2250.2,659.708041485019,"a","Original","Bacteria",3265,4598
"N4.O",3106.4,388.355893479164,"ab","Original","Bacteria",3646,4598
"N6.O",3714.4,1053.1943315457,"b","Original","Bacteria",4598,4598
"N0.Z",2219,313.55462044116,"ab","Rootzone","Bacteria",2719,4598
"N2.Z",2301,214.04205194307,"a","Rootzone","Bacteria",2527,4598
"N4.Z",1831.2,173.377334158765,"b","Rootzone","Bacteria",2063,4598
"N6.Z",2185,231.455179246436,"ab","Rootzone","Bacteria",2382,4598
"N0.RH",1465.4,150.403789845868,"b","Rhizosphere","Bacteria",1687,4598
"N2.RH",1564.8,182.196871542845,"b","Rhizosphere","Bacteria",1730,4598
"N4.RH",1396,155.765849915827,"b","Rhizosphere","Bacteria",1565,4598
"N6.RH",1839.8,67.3587410808723,"a","Rhizosphere","Bacteria",1940,4598
"N0.RT",1339,367.140300157855,"a","Root","Bacteria",1928,4598
"N2.RT",1561.4,178.344610235353,"a","Root","Bacteria",1833,4598
"N4.RT",1428.4,207.186630842822,"a","Root","Bacteria",1744,4598
"N6.RT",1408.8,336.04716930812,"a","Root","Bacteria",1705,4598
"N0.N",112.6,16.379865689315,"ab","Nodule","Bacteria",132,4598
"N2.N",109.8,12.9884564132925,"ab","Nodule","Bacteria",119,4598
"N4.N",96.4,24.027068069159,"a","Nodule","Bacteria",132,4598
"N6.N",140.8,36.6837838833455,"b","Nodule","Bacteria",187,4598
"N0.O",878.6,150.481892598412,"a","Original","AMF",1062,1149
"N2.O",749,159.860877014985,"a","Original","AMF",947,1149
"N4.O",703,139.044956758597,"a","Original","AMF",894,1149
"N6.O",892,144.244583953783,"a","Original","AMF",1149,1149
"N0.Z",606,109.979543552426,"a","Rootzone","AMF",728,1149
"N2.Z",433.2,127.56841301827,"a","Rootzone","AMF",578,1149
"N4.Z",490.2,180.827818656312,"a","Rootzone","AMF",785,1149
"N6.Z",390.8,179.863003422049,"a","Rootzone","AMF",564,1149
"N0.RH",455,248.336465304635,"a","Rhizosphere","AMF",726,1149
"N2.RH",228,94.1647492430156,"a","Rhizosphere","AMF",385,1149
"N4.RH",369.2,106.041029795075,"a","Rhizosphere","AMF",548,1149
"N6.RH",406.4,90.8531782603118,"a","Rhizosphere","AMF",560,1149
"N0.RT",189.2,69.4312609708336,"a","Root","AMF",276,1149
"N2.RT",233.4,72.7825528543758,"a","Root","AMF",299,1149
"N4.RT",166.4,42.1995260636894,"a","Root","AMF",194,1149
"N6.RT",187.2,78.177362452311,"a","Root","AMF",296,1149
"N0.N",198,149.971663990235,"a","Nodule","AMF",452,1149
"N2.N",300.6,226.437187758548,"a","Nodule","AMF",666,1149
"N4.N",110.4,61.4394010387471,"a","Nodule","AMF",219,1149
"N6.N",81.2,20.5718253929981,"a","Nodule","AMF",109,1149
"N0.O",396.2,142.547185170385,"a","Original","Rhizobia",609,685
"N2.O",312.2,79.3107811082453,"a","Original","Rhizobia",429,685
"N4.O",302.6,57.9076851549084,"a","Original","Rhizobia",362,685
"N6.O",262.8,72.3443156025406,"a","Original","Rhizobia",368,685
"N0.Z",180,28.9050168655893,"b","Rootzone","Rhizobia",226,685
"N2.Z",392.4,33.065087327875,"a","Rootzone","Rhizobia",415,685
"N4.Z",402.4,43.0615838073799,"a","Rootzone","Rhizobia",464,685
"N6.Z",242.2,50.6527393138811,"b","Rootzone","Rhizobia",295,685
"N0.RH",222,43.7435709561988,"b","Rhizosphere","Rhizobia",291,685
"N2.RH",524.8,90.449986180209,"a","Rhizosphere","Rhizobia",649,685
"N4.RH",556.8,128.121817033634,"a","Rhizosphere","Rhizobia",679,685
"N6.RH",566.6,106.481453784215,"a","Rhizosphere","Rhizobia",685,685
"N0.RT",307,105.884370895803,"a","Root","Rhizobia",394,685
"N2.RT",328.8,93.5264668422795,"a","Root","Rhizobia",411,685
"N4.RT",464.8,58.6660037841338,"a","Root","Rhizobia",525,685
"N6.RT",473.8,145.432802352152,"a","Root","Rhizobia",607,685
"N0.N",41.8,9.83361581515162,"ab","Nodule","Rhizobia",50,685
"N2.N",44.8,6.53452370108182,"ab","Nodule","Rhizobia",54,685
"N4.N",31.4,5.59464029227975,"a","Nodule","Rhizobia",39,685
"N6.N",71.2,35.2803061211209,"b","Nodule","Rhizobia",116,685
