"xmin","ymin","env","xmax","ymax","bio","r","p","r.sign","r.abs","p.sign"
13,8,"NH4_N",1,10,"AMF_MFS",0.629837419446588,"**","Positive","0.5-1","**"
13,8,"NH4_N",3,8,"AMF_NE",0.193160048587525,"*","Positive","<0.25","*"
13,8,"NH4_N",5,6,"AMF_RE",0.0827441346996672,"","Positive","<0.25",""
13,8,"NH4_N",7,4,"AMF_RS",0.258354220065227,"*","Positive","0.25-0.5","*"
13,8,"NH4_N",9,2,"AMF_RZS",0.158477450971078,"","Positive","<0.25",""
13,8,"NH4_N",11,0,"Rhizobia_MFS",0.320812030198533,"**","Positive","0.25-0.5","**"
13,8,"NH4_N",13,-2,"Rhizobia_NE",0.16871690527435,"*","Positive","<0.25","*"
13,8,"NH4_N",15,-4,"Rhizobia_RE",0.144210890710115,"*","Positive","<0.25","*"
13,8,"NH4_N",17,-6,"Rhizobia_RS",0.403065146837163,"**","Positive","0.25-0.5","**"
13,8,"NH4_N",19,-8,"Rhizobia_RZS",0.175543613630696,"*","Positive","<0.25","*"
14,7,"NO3_N",1,10,"AMF_MFS",0.675981932388897,"**","Positive","0.5-1","**"
14,7,"NO3_N",3,8,"AMF_NE",0.309711602802188,"**","Positive","0.25-0.5","**"
14,7,"NO3_N",5,6,"AMF_RE",0.357095271152344,"**","Positive","0.25-0.5","**"
14,7,"NO3_N",7,4,"AMF_RS",0.525674190941283,"**","Positive","0.5-1","**"
14,7,"NO3_N",9,2,"AMF_RZS",0.24247623184661,"*","Positive","<0.25","*"
14,7,"NO3_N",11,0,"Rhizobia_MFS",0.407723437375365,"**","Positive","0.25-0.5","**"
14,7,"NO3_N",13,-2,"Rhizobia_NE",0.275521973713487,"*","Positive","0.25-0.5","*"
14,7,"NO3_N",15,-4,"Rhizobia_RE",0.323709633069982,"**","Positive","0.25-0.5","**"
14,7,"NO3_N",17,-6,"Rhizobia_RS",0.736366507468624,"**","Positive","0.5-1","**"
14,7,"NO3_N",19,-8,"Rhizobia_RZS",0.234798550784435,"**","Positive","<0.25","**"
11,10,"MBN",1,10,"AMF_MFS",0.66041563005051,"**","Positive","0.5-1","**"
11,10,"MBN",3,8,"AMF_NE",0.222895241503847,"**","Positive","<0.25","**"
11,10,"MBN",5,6,"AMF_RE",0.0867249382156181,"","Positive","<0.25",""
11,10,"MBN",7,4,"AMF_RS",0.286344505586961,"*","Positive","0.25-0.5","*"
11,10,"MBN",9,2,"AMF_RZS",0.175682411205467,"","Positive","<0.25",""
11,10,"MBN",11,0,"Rhizobia_MFS",0.409940788131799,"**","Positive","0.25-0.5","**"
11,10,"MBN",13,-2,"Rhizobia_NE",0.197931930483724,"*","Positive","<0.25","*"
11,10,"MBN",15,-4,"Rhizobia_RE",0.253250426366964,"**","Positive","0.25-0.5","**"
11,10,"MBN",17,-6,"Rhizobia_RS",0.437499386729891,"**","Positive","0.25-0.5","**"
11,10,"MBN",19,-8,"Rhizobia_RZS",0.260197359472061,"*","Positive","0.25-0.5","*"
17,4,"TC",1,10,"AMF_MFS",0.633303796472785,"**","Positive","0.5-1","**"
17,4,"TC",3,8,"AMF_NE",0.271137272558724,"**","Positive","0.25-0.5","**"
17,4,"TC",5,6,"AMF_RE",0.0852610429707233,"","Positive","<0.25",""
17,4,"TC",7,4,"AMF_RS",0.223349729649037,"","Positive","<0.25",""
17,4,"TC",9,2,"AMF_RZS",0.170987066619991,"","Positive","<0.25",""
17,4,"TC",11,0,"Rhizobia_MFS",0.441744888271949,"**","Positive","0.25-0.5","**"
17,4,"TC",13,-2,"Rhizobia_NE",0.255108827863658,"*","Positive","0.25-0.5","*"
17,4,"TC",15,-4,"Rhizobia_RE",0.35616809256536,"**","Positive","0.25-0.5","**"
17,4,"TC",17,-6,"Rhizobia_RS",0.496264743985338,"**","Positive","0.25-0.5","**"
17,4,"TC",19,-8,"Rhizobia_RZS",0.252430604862974,"*","Positive","0.25-0.5","*"
15,6,"OM",1,10,"AMF_MFS",0.684255231101216,"**","Positive","0.5-1","**"
15,6,"OM",3,8,"AMF_NE",0.269105517427606,"**","Positive","0.25-0.5","**"
15,6,"OM",5,6,"AMF_RE",0.0902099832581191,"","Positive","<0.25",""
15,6,"OM",7,4,"AMF_RS",0.291431622334538,"*","Positive","0.25-0.5","*"
15,6,"OM",9,2,"AMF_RZS",0.176161403465183,"","Positive","<0.25",""
15,6,"OM",11,0,"Rhizobia_MFS",0.49309754865242,"**","Positive","0.25-0.5","**"
15,6,"OM",13,-2,"Rhizobia_NE",0.264048149063858,"**","Positive","0.25-0.5","**"
15,6,"OM",15,-4,"Rhizobia_RE",0.349875346504701,"**","Positive","0.25-0.5","**"
15,6,"OM",17,-6,"Rhizobia_RS",0.51689450983605,"**","Positive","0.5-1","**"
15,6,"OM",19,-8,"Rhizobia_RZS",0.26345404613371,"*","Positive","0.25-0.5","*"
10,11,"MBC",1,10,"AMF_MFS",0.565032159820897,"**","Positive","0.5-1","**"
10,11,"MBC",3,8,"AMF_NE",0.190314367893011,"*","Positive","<0.25","*"
10,11,"MBC",5,6,"AMF_RE",0.0436149487804455,"","Positive","<0.25",""
10,11,"MBC",7,4,"AMF_RS",0.241377994434731,"*","Positive","<0.25","*"
10,11,"MBC",9,2,"AMF_RZS",0.136433635412359,"","Positive","<0.25",""
10,11,"MBC",11,0,"Rhizobia_MFS",0.375420487582492,"**","Positive","0.25-0.5","**"
10,11,"MBC",13,-2,"Rhizobia_NE",0.228673386727783,"*","Positive","<0.25","*"
10,11,"MBC",15,-4,"Rhizobia_RE",0.185730187262934,"*","Positive","<0.25","*"
10,11,"MBC",17,-6,"Rhizobia_RS",0.445483456149082,"**","Positive","0.25-0.5","**"
10,11,"MBC",19,-8,"Rhizobia_RZS",0.215876530104512,"*","Positive","<0.25","*"
19,2,"TP",1,10,"AMF_MFS",0.682801248095587,"**","Positive","0.5-1","**"
19,2,"TP",3,8,"AMF_NE",0.194049855835442,"*","Positive","<0.25","*"
19,2,"TP",5,6,"AMF_RE",0.0590660169459679,"","Positive","<0.25",""
19,2,"TP",7,4,"AMF_RS",0.289772652606932,"*","Positive","0.25-0.5","*"
19,2,"TP",9,2,"AMF_RZS",0.197115073237016,"","Positive","<0.25",""
19,2,"TP",11,0,"Rhizobia_MFS",0.409806750122735,"**","Positive","0.25-0.5","**"
19,2,"TP",13,-2,"Rhizobia_NE",0.241820246651088,"**","Positive","<0.25","**"
19,2,"TP",15,-4,"Rhizobia_RE",0.166809017583176,"*","Positive","<0.25","*"
19,2,"TP",17,-6,"Rhizobia_RS",0.509934461520416,"**","Positive","0.5-1","**"
19,2,"TP",19,-8,"Rhizobia_RZS",0.248169951736094,"*","Positive","<0.25","*"
3,18,"AP",1,10,"AMF_MFS",0.649713680857937,"**","Positive","0.5-1","**"
3,18,"AP",3,8,"AMF_NE",0.246451138578016,"**","Positive","<0.25","**"
3,18,"AP",5,6,"AMF_RE",0.295893386747,"**","Positive","0.25-0.5","**"
3,18,"AP",7,4,"AMF_RS",0.428584658535059,"**","Positive","0.25-0.5","**"
3,18,"AP",9,2,"AMF_RZS",0.203731422290194,"*","Positive","<0.25","*"
3,18,"AP",11,0,"Rhizobia_MFS",0.413173713478607,"**","Positive","0.25-0.5","**"
3,18,"AP",13,-2,"Rhizobia_NE",0.270891147321586,"**","Positive","0.25-0.5","**"
3,18,"AP",15,-4,"Rhizobia_RE",0.275478188785196,"**","Positive","0.25-0.5","**"
3,18,"AP",17,-6,"Rhizobia_RS",0.652176977625845,"**","Positive","0.5-1","**"
