tax,Index,r,P_value,P_value_sig
TN,TN,1,0.00E+00,***
TN,NH4_N,0.65538017,0.00170804,**
TN,NO3_N,0.34285714,0.13891001,
TN,MBN,0.8347766,4.71E-06,***
TN,TC,0.87819549,3.57E-07,***
TN,OM,0.90075188,6.16E-08,***
TN,MBC,0.66516125,0.00137314,**
TN,TP,-0.3112782,0.18157577,
TN,AP,-0.21135767,0.37104154,
TN,TK,0.16842105,0.47782868,
TN,AK,0.26237448,0.26376270,
TN,pH,-0.38299484,0.09555896,
TN,APP,0.47368421,0.03487999,*
TN,LAP,0.1593985,0.50205246,
TN,NAG,0.14736842,0.53524735,
TN,Urease,0.78496241,4.15E-05,***
TN,BG,0.40300752,0.07809347,
TN,CBH,0.4962406,0.02605146,*
TN,BX,0.53082707,0.01603544,*
TN,AKP,0.09323308,0.69582886,
TN,EMF,0.70526316,5.14E-04,***
NH4_N,TN,0.65538017,0.00170804,**
NH4_N,NH4_N,1,0.00E+00,***
NH4_N,NO3_N,0.57787827,0.00761689,**
NH4_N,MBN,0.68964223,7.67E-04,***
NH4_N,TC,0.54477066,0.01300059,*
NH4_N,OM,0.5816405,0.00714292,**
NH4_N,MBC,0.51036595,0.02149173,*
NH4_N,TP,-0.41309267,0.07024982,
NH4_N,AP,-0.50658641,0.02264431,*
NH4_N,TK,0.18585408,0.43273597,
NH4_N,AK,-0.1274806,0.59223845,
NH4_N,pH,-0.4499247,0.04653735,*
NH4_N,APP,0.53574131,0.01490708,*
NH4_N,LAP,-0.03310761,0.88979355,
NH4_N,NAG,-0.1647856,0.48751822,
NH4_N,Urease,0.51918751,0.01898251,*
NH4_N,BG,0.09255082,0.69795402,
NH4_N,CBH,0.34838234,0.13224310,
NH4_N,BX,0.53574131,0.01490708,*
NH4_N,AKP,-0.02182092,0.92724390,
NH4_N,EMF,0.5899174,0.00618484,**
NO3_N,TN,0.34285714,0.13891001,
NO3_N,NH4_N,0.57787827,0.00761689,**
NO3_N,NO3_N,1,0.00E+00,***
NO3_N,MBN,0.40496827,0.07651978,
NO3_N,TC,0.54586466,0.01278363,*
NO3_N,OM,0.39097744,0.08828010,
NO3_N,MBC,0.55593319,0.01092090,*
NO3_N,TP,-0.55488722,0.01110350,*
NO3_N,AP,-0.75968415,1.02E-04,***
NO3_N,TK,-0.21052632,0.37296991,
NO3_N,AK,-0.41979918,0.06537091,
NO3_N,pH,-0.4762981,0.03375152,*
NO3_N,APP,0.31278195,0.17936353,
NO3_N,LAP,-0.34285714,0.13891001,
NO3_N,NAG,-0.70977444,4.56E-04,***
NO3_N,Urease,0.18646617,0.43119491,
NO3_N,BG,-0.52781955,0.01675913,*
NO3_N,CBH,0.08120301,0.73360763,
NO3_N,BX,0.11278195,0.63591706,
NO3_N,AKP,0.19699248,0.40515233,
NO3_N,EMF,0.24210526,0.30375506,
MBN,TN,0.8347766,4.71E-06,***
MBN,NH4_N,0.68964223,7.67E-04,***
MBN,NO3_N,0.40496827,0.07651978,
MBN,MBN,1,0.00E+00,***
MBN,TC,0.74068546,1.88E-04,***
MBN,OM,0.81445291,1.24E-05,***
MBN,MBC,0.36500765,0.11355325,
MBN,TP,-0.32367352,0.16388612,
MBN,AP,-0.35655131,0.12280585,
MBN,TK,0.00075273,0.99748704,
MBN,AK,0.04606258,0.84708766,
