ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1000	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10000	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Alguacil12a_Para_1
ASV_100	Fungi	Glomeromycota	Glomeromycetes				
ASV_10001	Fungi	Glomeromycota	Glomeromycetes				
ASV_10002	Fungi	Glomeromycota	Glomeromycetes				
ASV_10003	Fungi	Glomeromycota	Glomeromycetes				
ASV_10004	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10005	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10006	Fungi	Glomeromycota	Glomeromycetes				
ASV_10007	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10008	Fungi	Glomeromycota	Glomeromycetes				
ASV_10009	Fungi	Glomeromycota	Glomeromycetes				
ASV_10010	Fungi	Glomeromycota	Glomeromycetes				
ASV_1001	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10011	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10012	Fungi	Glomeromycota	Glomeromycetes				
ASV_10013	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10014	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10015	Fungi	Glomeromycota	Glomeromycetes				
ASV_10016	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10017	Fungi	Glomeromycota	Glomeromycetes				
ASV_10018	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10019	Fungi	Glomeromycota	Glomeromycetes				
ASV_10020	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_1002	Fungi	Glomeromycota	Glomeromycetes				
ASV_10021	Fungi	Glomeromycota	Glomeromycetes				
ASV_10022	Fungi	Glomeromycota	Glomeromycetes				
ASV_10023	Fungi	Glomeromycota	Glomeromycetes				
ASV_10024	Fungi	Glomeromycota	Glomeromycetes				
ASV_10025	Fungi	Glomeromycota	Glomeromycetes				
ASV_10026	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10027	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10028	Fungi	Glomeromycota	Glomeromycetes				
ASV_10029	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_1003	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Torrecillas12b_Glo_G5
ASV_10030	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10031	Fungi	Glomeromycota	Glomeromycetes				
ASV_10032	Fungi	Glomeromycota	Glomeromycetes				
ASV_10033	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10034	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10035	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
