"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108","bin109","bin110","bin111","bin112","bin113","bin114","bin115","bin116","bin117","bin118","bin119","bin120","bin121","bin122","bin123","bin124","bin125","bin126","bin127","bin128","bin129","bin130","bin131","bin132","bin133","bin134","bin135","bin136","bin137","bin138","bin139","bin140","bin141","bin142","bin143","bin144","bin145","bin146","bin147","bin148","bin149","bin150","bin151","bin152","bin153","bin154","bin155","bin156","bin157","bin158","bin159"
"CbMPDiCbraya","Niche","Rootzone","HeS",0,0.000147474894921454,5.0557692957819e-05,0,0.00027664670272986,4.01968694180433e-05,1.46517866055836e-05,0.000196900594853565,0.000128259439757448,2.39444317385053e-05,0,0,3.27394094274923e-06,0,5.36656094744052e-06,2.65691600719836e-05,0,1.51342689666634e-05,0,1.19683092052935e-05,1.35241661379825e-05,1.79216085233882e-05,1.79772830556413e-05,0.00144266247350196,0,1.92648851111195e-05,0.000555742228982522,0,0.000190362963420151,8.04565721368016e-05,0,0,7.0790516723102e-05,0,5.68862403991053e-06,0,1.95373203745399e-05,0,0,0,0,0,1.2344127872926e-06,7.93152286475892e-05,0.000528351281035545,0,0,0,0,0,0.00131030768484672,2.90328570370601e-05,0,1.91635694890693e-05,1.28818914279027e-05,0,2.68342268011548e-07,0,0,0,0.000134783472010501,0,0,0,0,0,2.15751582983318e-05,5.90413197043419e-07,8.26384209089446e-06,0,2.03899962753005e-06,0,0,0,0,0,1.12681647550879e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71014198411116e-05,0,0,0,3.64334496628162e-05,0,0,0,0,1.50280864200844e-05,0,0,0,0,0,0,0,0,0,0,1.93734417764823e-05,0,9.35936911410792e-05,1.93198552298848e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32933995479233e-05,1.46513250802516e-05,0,0,0,0,0,0,0,0,0,0,4.86743093024279e-05,1.47603904224865e-05,0,2.99555498292856e-05,0,0,4.18596863314171e-06,0.000622588043025066,0,0,0,8.52234786494482e-05,0
"CbMPDiCbraya","Niche","Rootzone","HoS",2.62965861835972e-05,0.00855191563362537,0.000295083467887804,5.29673131731667e-05,0.0059476106325083,0.00292698548488824,0.00187864110978604,0.0123452401610863,0.025467699850657,0.000981147652910007,4.13239540791209e-06,3.2198664616465e-07,0.000222182152014171,0,5.47402142585924e-06,4.92173267697335e-05,1.44871027989594e-05,0.000483388321942134,0.00505262039501902,7.48662585519714e-05,3.21923198730421e-06,3.793912519213e-05,1.00914714224285e-05,0.0534711900661359,6.43993885947988e-06,6.28963967033322e-05,0.0147949763568377,0,0.00448712450185691,0.000168889465432753,2.33994877768953e-05,0,0.00550166470716284,1.1913537306187e-05,5.82839013179725e-05,2.26458434105975e-05,0.000634538886644313,0,0,0.000494856883645049,4.29419891779569e-07,2.46895358747058e-06,3.64946930197854e-06,0.0023709671736501,0.0316395008003062,2.24846397814289e-05,0.0211839597908132,0,0,0.00199320545226602,0,0.00023315475684625,1.07331434651414e-07,0.000633658722112493,3.41897331874119e-05,0,0,3.27386213645696e-06,0,0,0.00442970058805246,0,1.12156858994648e-05,2.68309438583736e-07,0,0,0.00033597654619578,2.03924369732934e-06,4.29394724247673e-07,5.90368316811271e-07,4.29353100568062e-07,2.25398311015323e-06,1.44893335176369e-06,8.58594580278666e-07,1.08937999213154e-05,6.44001758347525e-06,0,0.000193477411889367,1.60980193007163e-07,5.36694427171399e-07,0,1.82454794619287e-06,3.75730630220675e-07,6.43975920807724e-06,5.90413197043419e-07,0,7.29990814276297e-06,3.75676985605576e-07,0,1.35233278582464e-05,2.14670530796961e-07,2.35571661569601e-05,1.62624392212995e-05,3.86436507945027e-06,2.14658712952735e-06,0.000278739995568475,1.07870078287563e-05,0.000107426821118189,2.36158273831412e-06,8.09276746639425e-05,0.000418502784991861,8.56951535753784e-05,1.11097290630686e-05,0.000202693165888816,5.60767115173029e-05,0,0,1.10542724252949e-05,0,0,8.58623031288905e-07,8.04996181583721e-07,0,1.35238986609194e-05,3.7569995321479e-05,0.000450684071000202,1.77093209155646e-06,1.52949064426866e-05,3.21967505557519e-06,1.50259632031595e-06,3.84258238912531e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166271389299839,0.000363822917317384,0,0.0246142756899831,0,5.50661378964684e-05,0.0409210359428097,6.39591905798194e-05,0,0.0175228987184091,0.00353676753105762,0,0.0100686734050275,0.000223273317481343,0.00133114517341943,0.000546020566495299,0.000432117309242459,2.68331322637289e-07,0.00112189959005783,0.00343782286384974,0.000991288055172561,1.58852318166561e-05,0.00832765953494867,2.84425966287176e-06,1.54587568603013e-05
"CbMPDiCbraya","Niche","Rootzone","DL",0.000152849845418929,0.00200115883731307,0.000526249843951655,0,0.0119498148798329,0.00179361633198151,0.0039000878476675,0.00119289800495812,0.0553464742993389,0,0,0,4.25575218148491e-05,0,0,0.000438141988585924,0.000672812660907923,0.00117213860654735,2.415021309494e-05,0.00247834442977667,3.91751819094371e-05,0.00162802568683722,0.000200724292937766,0,0,0.000792834712294589,0.00273963555335446,0.00221339047570359,0.0082823223281154,0.0015785976979355,1.32557458310041e-05,0,0,0,0.00062138485494192,4.34613989371887e-05,0.000594866648616513,0,0,0.0739513575193326,0,0,0,0,0,0,0.00221027817447639,0.0115402114172731,0.00550400830424989,0.00360126817477876,0.00517584924731682,0.00244840793907867,2.55417130918628e-05,0,2.6298275605207e-06,0,0,0,0,0.0196848446048863,0.00589475607295753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4341298139618e-05,1.34148153361862e-06,0,0,0,0,0,0,0,0,0,0,9.65883339710134e-07,0,0,0,0,0.000654593839008588,0,7.72152127816885e-05,0,0,0,0,1.41138775477553e-05,0.00072096316302475,0,0.000197199529518724,0.00041798463590748,1.64731807498953e-05,0,0.000253659531231271,0.000350844288340512,1.93193520381455e-06,0,0,0,0,0.000318635185972866,0.000206464625212916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166815341029082,0.00621428489256106,0.000835940467191095,0.00583817695751794,0.00542048591318972,0.0212697207555739,0.00529025585434085,0.0114056128087766,0.00720989096253606,0.000495201690019226,0.00418199538997959,0.0103596428151913,0.00061637286750815,0.0242885193384276,0.00391672450329511,0.0187811136170029,8.08213451435825e-05,0.00146192443096481,0,0,0,0.0138103908663151,0,0
"CbMPDiCbraya","Niche","Rootzone","HD",3.64940346124798e-06,0,0,2.8440756625387e-06,0.00356094530450554,2.52221052537967e-06,0,0,7.26680871911966e-05,0.000299851037760381,9.71282153369148e-06,1.07315021098133e-07,0,7.62127516812051e-06,5.36662645274578e-08,4.07914187121034e-06,3.75652916360393e-07,0,0,0,0,1.28783067217662e-06,0,0.00106259596746445,0,0,6.01074452134856e-06,0,0,0,0,0.00281535024906551,0.00185056235921865,1.45450170267366e-05,1.07321593453995e-07,3.75690122197807e-07,1.24522175990446e-05,1.34164569793953e-06,0,9.10793160413792e-05,3.22057254670023e-06,1.07343474429174e-07,0,0,0,2.11979155435143e-05,0.000252313246032816,0,3.86385149682498e-05,0,3.18743437225138e-05,1.05732392759632e-05,5.04490158830872e-06,3.69238251165579e-05,1.82479090913205e-06,0,6.97643937371708e-06,0.000347922482745557,0,3.64896461055667e-06,0,0,1.62059778285104e-05,2.89753623516684e-06,0,0,5.7048183168706e-05,5.36813722877713e-07,7.83544103890226e-06,3.48844627575535e-06,1.21285562155632e-05,1.60998793582373e-07,0,4.29357479655309e-07,7.62032731618782e-06,0,1.07332529054916e-07,5.41979049303947e-06,2.57594245319281e-06,5.19496897385387e-05,2.41512966026103e-06,5.63453758442029e-06,5.36697033693644e-06,4.12140571490304e-05,2.14693958439649e-06,0,0.000199580941248179,0,9.65887713753546e-07,2.68331322637289e-07,0,0,0,1.12699156846654e-06,0,0.00134852499647274,5.90404439715849e-07,9.66154776076304e-07,5.36662645274578e-08,5.90226064386566e-07,1.62633867196989e-05,0,0,9.2832422648724e-06,1.07342492707613e-06,3.81073172410234e-06,0,0,0,0,0,5.36553225006814e-08,0,0,1.93236431676344e-06,2.83380309705664e-05,9.65986225871786e-07,0.000204958571026908,0.000547022240584887,1.39514889968958e-05,3.27369477875096e-06,0,0,1.07352232335995e-07,0,0,0,0,0,1.50216526393044e-06,0,0,0,0,0.000139217354399845,1.77631373567615e-05,4.84646696774712e-05,0,7.99766500382523e-06,0,0,7.78148347891244e-05,7.80229443948494e-05,1.4272508808119e-05,0,2.11981256840239e-05,7.83477128777713e-06,0,7.10116518236745e-05,9.46657892872738e-05,1.49187864340707e-05,1.23433065189173e-06,2.79042149147368e-06,3.06426904902503e-05,3.05926056151724e-06,0.000224967524923792,0.000346891535388161,1.72262126321238e-05,3.41862573019644e-05
"CbMPDiCbraya","Niche","Rootzone","DR",0.000523843961814614,0.0286740890856353,0.000290593353806399,0.00089858713215988,0.0175167072491083,0.00109827970211902,0.000885450598297878,0.000899900043345047,0.00597279122546898,0.0117447313507075,4.6311360672513e-05,6.70883161614227e-06,0.000145979670496237,3.59597250594297e-06,3.90727674381397e-05,0.000172381769620147,0.000135164765392773,0.000130092376588204,0.000439636972795423,0.00127274077575218,0.000358066346708827,0.00121273273753345,8.2220788602805e-05,0.0019169168858525,0.000843942880719697,0.000182417079769876,0.00085257349239856,0.000886491589290975,0.00442690447411343,0.000542845280550232,5.61363389795497e-05,0.0377162809906309,0.0062292769439918,0.000450760005356046,0.000269999386568666,6.81046406822356e-05,0.00108892087282863,1.71733144372773e-06,0,0.00325649801431616,4.29496533426105e-07,5.24858943205366e-05,6.95529544344035e-05,2.85015319710942e-05,0,2.87108043868278e-05,0.00778514889531022,0.00166563150414966,0.00498890742414939,0.00783805996827644,0.00247267394366156,0.00117890718284015,0.000220145781781857,0.000242235322759385,0.000163632175985716,0,2.13035089907444e-05,7.19563162824312e-05,0,0.00909839626267758,0.00546932515753298,0,6.33288852430204e-05,8.45183027875693e-05,0,6.42349850721196e-05,0.000439832514767094,0.000145692334803729,4.8726486464188e-05,5.09809620244155e-06,5.06548239553648e-05,3.32696537261746e-05,2.40404426116375e-05,5.68288500942345e-05,1.30942010874305e-05,4.28264220884454e-05,5.45223022252168e-05,0.000112108524269753,1.45967405840666e-05,0.000215664877916942,2.91907034568638e-05,3.63868766730846e-05,3.809775193092e-05,2.30762650212624e-06,9.20834539625147e-05,0,3.88559012871397e-05,3.02643352414998e-05,4.13190843958665e-06,3.51501665263601e-05,2.83337658277332e-05,0.000742157434416424,0.000303920473897942,8.10819755739133e-05,5.42023477869321e-05,0.0049422527434755,0.000757424256886636,0.000113131573494204,5.06036321343001e-05,0.000198024807811465,0.000279916122264628,0.000313999030784861,0.000154937572677464,0.00107282747889103,0.000127243942145108,0.000191946962337696,8.37250642574487e-06,8.26525941594404e-05,6.12852410502572e-05,1.12148771281108e-05,1.85127154707106e-05,2.46317851144904e-05,0,5.43127380692252e-05,0.000331154941060643,0.000248196134923665,0.000220656803102113,0.00030384212839711,0.000437762811901448,2.94077101305133e-05,6.02667413449499e-05,0,0,1.93234018204792e-06,0,0,0,1.01975468910186e-05,0,5.3648759426087e-07,1.01949270043226e-06,0,0,4.07905202830862e-06,0.000173164550402623,0.000370904596763223,0.00120580154277574,0.000203514050894238,0.00713375553683923,0.00439614617017191,0.00611081756981591,0.00763860418876025,0.0190664315491087,0.00338944140238278,0.00857734855355508,0.00346026244340213,0.00601514681605444,0.000561972651431412,0.00271619119163755,0.00074145787773299,0.0105838875485918,0.000364286646879914,9.50119175480129e-05,3.34910760897133e-05,0.000499474821033452,0.000518821682895681,0.00481768087644672,0.00124372333006562,0.0034068126734251
"CbMPDiCbraya","Niche","Rhizosphere","HeS",0,0.000169401822626201,0,0,0.00347511597019231,0,0.000125464050632096,0.000231058131944413,0,0,0,0,0,8.58782828846774e-07,0,0,0,0,0.000295519132452398,0,0,6.44152810223993e-06,2.24347741607942e-05,0,0,4.03113168665444e-05,0,2.00241625687272e-05,0.000189695263737609,0.000281239231024755,0,0,0,0,0,0,2.22742417090075e-05,0,0,0.000291068011389431,0,0,2.14732937741325e-07,8.10407116855091e-05,0,2.56029851899881e-05,0,0,9.66069382239298e-07,0,3.18243772892422e-05,8.80236527285205e-05,0,0,8.69372476279298e-06,0,0,0,0,0,0,0,0,0,0,0,0.000100479639990897,0,5.36730523834255e-07,0,8.05125320439878e-06,0,0,0,0,0,1.50285681558595e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29356101200676e-05,0,0,0,0,0,0,0,0,0,0,0,5.85009489790367e-05,0,0,0,0,0,0,0,0,0,4.28291727851199e-05,0,4.83099278829992e-07,8.54541199406545e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000433577972786827,0,0,0,0,0.000362738480350006,0,0,0,0,0,0,0.000212527075734775,0,0.00539152499402485,7.73441282334515e-05,0.00442747077390346,0.00298041663261083,0.0204859270085831,1.72314391633573e-05,0.00410766560284944,0
"CbMPDiCbraya","Niche","Rhizosphere","HoS",4.59478600048763e-05,0.00334176629074735,0,3.12377725061903e-05,0.0205558669072026,0,5.50094010619768e-05,0.0025315481669066,4.99136982711437e-06,0.0104387690909138,2.46871549123418e-05,1.07360995290535e-07,3.51574571349614e-05,4.50876310481285e-06,1.44909093824011e-06,1.33096101863686e-05,2.95190178512859e-06,0.000128014543737655,0.00100518841833071,7.57851785629791e-05,0,0.000188554346688843,3.75700532342543e-05,0.169612683253576,1.15930591640302e-05,5.90965341795354e-05,0.000700678930864349,0.000667928654778287,0.00182876669227238,0.000141216241755693,2.0717979264676e-05,0.00361155729601537,0.0152727206627,4.32071010319183e-05,0.000180506541580661,1.93227888420214e-06,0.0011477111818054,0,0,9.83107702762634e-05,0,6.11879262020045e-06,0,0.000746794695081829,0.0363994491670543,5.67874484459786e-05,0.0047013991333302,1.22365748682773e-05,0,0.000788459838520644,0,0.000215983448081905,2.36173379957053e-06,0.000203907441608727,0.000101336731180014,0,0,0.000221946629454163,0,4.4601619025287e-05,0.000718299040289564,0,4.29362959040817e-07,4.83033594126688e-07,0,0,2.72129534458393e-05,5.90430052159533e-06,2.14706668307038e-07,9.66108792731182e-07,9.01697667633259e-06,2.14681475769409e-07,2.6834883630769e-07,0,3.75716392703532e-07,0,1.05203041870811e-05,0.000138159531899633,6.44112302648843e-07,7.51474397389392e-07,3.05936464760739e-06,2.36146013797182e-06,1.61004266626593e-07,4.24002238378751e-06,1.12696529046378e-06,0,4.07957322158695e-06,4.29384845993345e-07,1.61030538203996e-07,5.37255356425805e-05,0,1.9320150899639e-06,3.67678970270149e-05,9.12433776772741e-07,6.44039397516842e-06,0,5.90451073547571e-06,1.39551115440326e-06,3.75716391989032e-07,1.34168913124516e-05,0.000472923092162585,7.31012212225319e-05,1.59403912541589e-05,8.05101096992043e-05,6.39801581480397e-05,9.07002561827148e-06,0,1.07348734094741e-06,0,0,4.29367334510453e-07,0,2.68358686519476e-07,5.90420864073827e-07,1.8250514722725e-06,0.000902437764320469,5.47460482406991e-06,2.76955430692354e-05,1.66926625286935e-05,0,2.52273698353969e-06,0,0,0,0,0,0,1.18088988413194e-06,0,0,0,0,0,0,0.0030339089812449,0.000567113165916005,0,0.0134558760672122,0.00132286681334117,0,0.0151985628191879,0.000861552373528434,0.000686506838501103,0.00711213313312802,0.0129441444072795,6.92387632227401e-06,0.000826596850590312,4.48656366253643e-05,0,0.00373073762475693,5.10952750454746e-05,0.0022297327098545,0.000585756221223213,0.00476243150244534,0.101988820807868,0.00613037030455697,0.00689245585946369,0.0167370079796533,7.51434972427704e-07
"CbMPDiCbraya","Niche","Rhizosphere","DL",0.0030956801168344,0.00642880376981621,0,0,0.00798142531824034,0,0.000208595851038305,0,0.000178022065868372,0.0031387516562386,0,0,6.81599109302502e-06,0,0,6.92336623948276e-06,0,0.000112228756168018,0,0.000535416774522341,3.60155879807347e-05,0.000655763596149468,0.00030390726719569,0.00520843241732111,0,0.00054638441819357,0.00200991375146571,0.00323215841376405,0.00148401286703373,0.00137856855311322,0.000121894221113146,0,0.000681203232543654,0,0.00113298375180724,1.67989593043865e-05,6.7619894483188e-05,0,0,0,0,7.16015558578742e-05,0,0,0,0,0,0,0.00213537753917041,0.00108898324881623,0.00212766202486171,0.000254138894958117,0.000106206357483301,0,0,0,0,0,0,0,0.00141338403065205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1808592284212e-06,0,0,0,0,0,0,0,0,0,0,2.5226658026114e-06,0,0,0,0,3.67065980794365e-05,0,4.31008309191636e-05,0.000468420169890258,0,0,0,0.000112878001851104,0.000741548967151137,0,0.000323363000561895,0.000279537960283536,3.59603379270924e-06,0,0,5.74857399292691e-05,0,0,0,0,0,0.000757720409887627,0.00011143120509292,0.000463968678102852,7.00994159093427e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201105829128431,0.0131474677984185,0.0015310946544415,0,0.00518288429159572,0.00882971173884639,0.0210217484964218,0.00873037394880974,0.0169259263812648,0.00749238853705068,0.00306191330280189,0.000291584294839424,0.000997855010630139,0.00118152218962943,0.000926077880167026,0.0106353789053055,0.00172690485008772,0.000975624529011241,5.35611231287992e-05,0.00882507847193387,0.0477358958515468,0.0133860620998965,0.0134727958331632,0
"CbMPDiCbraya","Niche","Rhizosphere","HD",0,4.4010211842041e-06,0,0,0.00213556498860514,5.36651701239558e-08,0,0,0.000500598790739579,1.18074538206251e-06,1.073456644774e-06,0,0,3.38118154914373e-06,1.61015213786849e-07,0,0,0,3.75695593679446e-07,0,5.36783067524925e-07,4.93771118112687e-06,0,3.96643697308819e-05,0,0,1.85171796056999e-05,6.17275445671548e-06,4.84217117493235e-05,0,0,0.00170299524661647,0.000532138665844848,7.51456868043241e-07,1.0738070540533e-07,1.61071058107995e-07,1.50284369015837e-06,1.55655372564315e-06,0,0.000111002389700835,0,0,0,1.61005360405132e-07,2.0610871175641e-05,6.81626802968225e-06,2.2811466100263e-05,3.22000870777e-07,1.2237471489337e-05,3.38120889369451e-06,6.80571609367657e-05,0,2.84469403664655e-06,5.41025204058628e-05,7.51425122127042e-07,0,1.12718530186388e-06,0.000218819598221816,0,3.48903188787559e-06,2.22219033614567e-05,0,5.15264445100728e-06,3.22056697007986e-07,0,0,3.22035286186472e-05,0,2.57628940769182e-06,1.34179892149391e-06,3.22037545671685e-06,5.36629814508538e-08,0,5.3677211017999e-08,3.91820321868053e-06,0,0,0,1.07325962901708e-07,3.4136526995368e-05,1.1271557437274e-06,3.32773092536678e-06,1.61011054415377e-06,3.87504779368991e-05,1.55639721339763e-06,0,7.6645819678594e-05,0,3.22052317786629e-07,0,0,1.61011927763609e-07,0,4.29378278545577e-07,0,0.00126196785079835,4.83074109206234e-07,1.07343037792922e-06,0,2.14724179834504e-07,1.6101565038309e-06,0,0,4.29388570117787e-06,0,1.60998793984104e-06,0,0,0,0,0,0,0,0,1.61005360405132e-07,9.98351479308016e-06,2.89809870056428e-06,7.06889259026558e-05,0.000197992515411465,7.08491238362102e-06,6.44091513627552e-07,0,0,5.36750213626585e-07,0,0,0,0,0,0,0,0,0,0,1.98577438070828e-06,7.51357254689495e-07,6.01072673373723e-06,0,1.74439419281129e-05,1.12716537681758e-05,3.66583613795101e-05,0,0.00013252014718858,4.72280639958249e-06,0,0,0,0,1.41160445944283e-05,6.70885113755492e-06,9.07018976990661e-06,4.29362951538819e-07,7.51502853932131e-07,4.72337781138964e-06,0,2.67824443314508e-05,0.000135576145832059,1.05197174673387e-05,0
"CbMPDiCbraya","Niche","Rhizosphere","DR",0.000288006086967211,0.0320968962389011,6.32233307826222e-05,0.000258378855444178,0.00369026013603564,0.000555743284539242,0.000554217141054305,0.000265154927389718,0.00344832587826952,0.00895773703554298,0.000105784033951716,1.93249791522962e-06,0.000174218809056472,7.56748070847954e-06,3.40836584049872e-05,0.00016026553503006,0.000255050719001315,0.00022987483631361,0.00045091488608877,0.000960272023682393,0.000128652856247514,0.00080450155210718,4.09542698202725e-05,4.13309271327274e-06,0.00113567442582903,0.000174114148919058,0.00256050206879979,0.000594450138885407,0.00418412367423658,0.000443539719041327,2.66745330000891e-05,0.0505784879889583,0.00334512919892967,0.000387404944714383,9.37648028698767e-05,5.04536765113686e-05,0.00155403733220154,3.54249010708842e-06,0,0.0018072580066683,0,6.09705622045008e-05,9.56461934520456e-05,8.67489272265704e-05,0.000277638800100513,8.00781195427656e-05,0.00306385352060622,0.00070229407166413,0.00311857308462967,0.00729923493674432,0.00356278467156237,0.000545264252480226,7.1121760024148e-05,0.000323272081433087,6.36017969825417e-05,0,9.07059041873624e-06,0.000453594952205955,0,0.00071266069386594,0.00442171719550157,0,2.19521555400422e-05,9.30135853480849e-05,0,2.75345788997391e-05,8.68986315352749e-05,7.56794027740578e-05,1.19695507739347e-05,1.09494067773071e-05,2.5601916068463e-05,2.11470739644753e-05,9.92901097024674e-06,1.62631757434002e-05,1.20231205029977e-05,1.01983164628094e-05,2.24888915947273e-05,0.000131074421740085,4.71798359908792e-05,0.000318974757831674,2.02885827396312e-05,3.00024105239703e-05,7.06340350333426e-05,4.36882122213503e-05,3.19869787084459e-05,1.52974227019911e-05,0.000169126489237646,4.08984244975593e-05,4.61614818166632e-06,0.000169605352462162,1.12181418687e-05,3.35993441057459e-05,0.000205934480737815,7.03664437392663e-05,3.51019962733011e-05,0.00352969975750608,0.000320969757678762,2.30252170533979e-05,7.78274126299453e-06,7.64248450120596e-05,0.000347255062239554,0.000300137263609702,0.000113472013356172,0.000598337769473753,5.98998845331764e-05,8.99030029350964e-05,3.05922662750857e-06,7.91132514723768e-05,3.5693410844113e-05,3.05878994269867e-06,4.66944774922936e-06,0,8.90975798091261e-06,6.46716980483596e-05,0.000430151354423691,0.000473551976220474,0.000227472299720054,0.000317201236644046,0.000724765978499749,5.15278455804627e-06,2.94667320545777e-05,0,0,4.83075192263926e-07,0,0,0,1.00375640151215e-05,0,0,0,0,0,0,0.000122429775696752,0.000862692153270135,0.0010073437018335,0.00090360703187132,0.00232073806970846,0.00583997492865968,0.00954394931496003,0.00628518769984561,0.0126783152719872,0.00292669001673831,0.00606529309767073,0.00437862160904617,0.00630224431560652,0.000288109166948121,0.00446530187650523,0.000582348612785838,0.00750262935298983,0.000660575635761623,0.00031849947355298,0.000337728551322584,0.00120691176920712,0.00082421665233885,0.00210524957566263,0.000359823006443444,0.00206219745663191
