"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","Niche","Rootzone","0.00656060180321712","0.324448519090642","0.375388741367684","0.0144449713660296","0.279157166372427"
"CbMPDiCbraya","Niche","Rhizosphere","0.04421447021409","0.477318308101009","0.235572190803929","0.00774131204343761","0.235153718837534"
"CbMPDiCbraya","Niche","Root","0.0313797523308839","0.462653086127903","0.171324934490026","0.00192513469120026","0.332717092359987"
"CbMPDiCbraya","Niche","Nodule","0.0312787080400976","0.27541251807646","0.344828287640295","0.00245697046830871","0.346023515774838"
"CbMPDiCbraya","Niche","Original","0.00602871754699011","0.415069974224884","0.373274438061584","0.0203615235006815","0.18526534666586"
"CbMPDiCbraya","Niche","Rootzone_vs_Rhizosphere","0.0252456451308755","0.364930086846576","0.344661091944493","0.00984651459433391","0.255316661483721"
"CbMPDiCbraya","Niche","Rootzone_vs_Root","0.032538289494855","0.270856750429737","0.33902735790016","0.00508774280939182","0.352489859365856"
"CbMPDiCbraya","Niche","Rootzone_vs_Nodule","0.0562888536416924","0.172517306135712","0.366536468139783","0.00261431156690085","0.402043060515912"
"CbMPDiCbraya","Niche","Rootzone_vs_Original","0.0351827654498583","0.387097877034572","0.454588585438847","0.00610803720645321","0.117022734870269"
"CbMPDiCbraya","Niche","Rhizosphere_vs_Root","0.0524684622165497","0.358757764618135","0.278246157733254","0.00294447776917434","0.307583137662887"
"CbMPDiCbraya","Niche","Rhizosphere_vs_Nodule","0.0858247229558179","0.271139605014678","0.295330965167588","0.00180888300552381","0.345895823856392"
"CbMPDiCbraya","Niche","Rhizosphere_vs_Original","0.0885856402389847","0.449219993078723","0.327011354040381","0.00629848252088893","0.128884530121023"
"CbMPDiCbraya","Niche","Root_vs_Nodule","0.0429000053182668","0.321061338522244","0.264458414103104","0.00216188032620749","0.369418361730178"
"CbMPDiCbraya","Niche","Root_vs_Original","0.0896747206764704","0.199130272510899","0.396083213645295","0.010242375390185","0.304869417777151"
"CbMPDiCbraya","Niche","Nodule_vs_Original","0.0863725313330233","0.218812657724439","0.342392604355996","0.00791865187392254","0.34450355471262"
"CbMPDiCbraya","treatment","N0","0.0566437225305592","0.312877532959842","0.362871624529243","0.00722857439802235","0.260378545582334"
"CbMPDiCbraya","treatment","N2","0.0576501085175884","0.322657727579037","0.370412508201449","0.00630332438001659","0.242976331321909"
"CbMPDiCbraya","treatment","N4","0.0280987322519563","0.363690249486121","0.266799785755523","0.00603384909980801","0.335377383406592"
"CbMPDiCbraya","treatment","N6","0.0536914858727764","0.306672348655024","0.297037914418798","0.00703727392673112","0.33556097712667"
"CbMPDiCbraya","treatment","N0_vs_N2","0.056114173581362","0.319373776366158","0.372954067953763","0.00586084401580906","0.245697138082908"
"CbMPDiCbraya","treatment","N0_vs_N4","0.0529320397557866","0.320680763109646","0.326563687110837","0.00613962311982072","0.29368388690391"
"CbMPDiCbraya","treatment","N0_vs_N6","0.0641815785912996","0.288426240408464","0.347229870585149","0.00653557663160171","0.293626733783486"
"CbMPDiCbraya","treatment","N2_vs_N4","0.0502260612120245","0.340542812932174","0.324797491452831","0.00564740880855854","0.278786225594412"
"CbMPDiCbraya","treatment","N2_vs_N6","0.0621804434465148","0.294718801491371","0.351467350459051","0.00591492833716423","0.285718476265899"
"CbMPDiCbraya","treatment","N4_vs_N6","0.037414131122447","0.332372102060587","0.29182236070257","0.00661893041033265","0.331772475704064"
"CbMPDiCbraya","group","N0.Z","0.00189556096493657","0.272007534858795","0.392793219011149","0.0225000621439361","0.310803623021183"
"CbMPDiCbraya","group","N2.Z","7.3415013488962e-05","0.30454058940823","0.384920163068343","0.0122008234305196","0.298265009079418"
"CbMPDiCbraya","group","N4.Z","0.00174639068459649","0.394934305102292","0.235001271929286","0.0296423968879665","0.338675635395859"
"CbMPDiCbraya","group","N6.Z","0.017441071809301","0.343278009285642","0.358390731087747","0.0133522115030547","0.267537976314256"
"CbMPDiCbraya","group","N0.RH","0.0277996087074422","0.252297257621452","0.438884803406438","0.00888345802015918","0.272134872244509"
"CbMPDiCbraya","group","N2.RH","0.0955644776513379","0.491081280202518","0.221469882446692","0.00094537940517317","0.190938980294279"
