"Method","name1","name2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","N0.N.1","N0.N.2",0.00397707572760091,0.318543906537431,0.342213571261023,0,0.335265446473945
"CbMPDiCbraya","N0.N.1","N0.N.3",0.0947619727793989,0.440178806140843,0.086865450929016,0.014782758349061,0.363411011801681
"CbMPDiCbraya","N0.N.1","N0.N.4",0.2764985417389,0.175960106871163,0.299708347779976,0.000622055434317065,0.247210948175644
"CbMPDiCbraya","N0.N.1","N0.N.5",0.129499346544717,0.333396125544144,0.241384948650415,0.000142764949179115,0.295576814311545
"CbMPDiCbraya","N0.N.1","N0.O.1",0.0623824767229505,0.124712841492919,0.373032360746769,0.000795453832784462,0.439076867204578
"CbMPDiCbraya","N0.N.1","N0.O.2",0.028838897840142,0.11010381187412,0.297587240725255,0.0105137566029655,0.552956292957517
"CbMPDiCbraya","N0.N.1","N0.O.3",0.0186443098137609,0.130254069704461,0.339220307456223,0.00942388325101585,0.502457429774539
"CbMPDiCbraya","N0.N.1","N0.O.4",0.0601329716721392,0.0959874480082827,0.283608471346269,0.00248812357314627,0.557782985400163
"CbMPDiCbraya","N0.N.1","N0.O.5",0.0209204594136967,0.146230066517086,0.33156970197235,0.00768030580053668,0.49359946629633
"CbMPDiCbraya","N0.N.1","N0.RH.1",0.0420241745876995,0.211894703186887,0.258640257165762,0.00280430334598169,0.48463656171367
"CbMPDiCbraya","N0.N.1","N0.RH.2",0.0137062088518201,0.148251244261042,0.1384756067572,0.00217219067525878,0.697394749454679
"CbMPDiCbraya","N0.N.1","N0.RH.3",0.117591770889187,0.238911466560289,0.153359369085586,0.000244767042219427,0.489892626422717
"CbMPDiCbraya","N0.N.1","N0.RH.4",0.240875755392978,0.0886685005636617,0.2818275921311,0.000234531766408326,0.388393620145852
"CbMPDiCbraya","N0.N.1","N0.RH.5",0.578784503428842,0.0100246784394844,0.0799800143089957,0.000254946159556146,0.330955857663121
"CbMPDiCbraya","N0.N.1","N0.RT.1",0.202743359298909,0.324310344878008,0.212095357962872,0.000367137146578772,0.260483800713632
"CbMPDiCbraya","N0.N.1","N0.RT.2",0.0543600203977563,0.332223768224312,0.230021429583763,0.000183569821800237,0.383211211972369
"CbMPDiCbraya","N0.N.1","N0.RT.3",0,0.59090681808447,0.0975297463317672,9.17770068382662e-05,0.311471658576925
"CbMPDiCbraya","N0.N.1","N0.RT.4",0.16032573055596,0.470736129018408,0.063847290123246,0.00113187704232478,0.303958973260062
"CbMPDiCbraya","N0.N.1","N0.RT.5",0.0791519714473446,0.368307640757962,0.0588704766600152,0.000152958211816532,0.493516952922862
"CbMPDiCbraya","N0.N.1","N0.Z.1",0.038852581240749,0.191151758033552,0.253873129593246,0.00316116133452182,0.512961369797931
"CbMPDiCbraya","N0.N.1","N0.Z.2",0.0197002179088555,0.272029557217272,0.10385967733108,0.00334454295417389,0.601066004588619
"CbMPDiCbraya","N0.N.1","N0.Z.3",0.115197389383743,0.175811212446574,0.223802345121844,7.13771716320735e-05,0.485117675876207
"CbMPDiCbraya","N0.N.1","N0.Z.4",0.0550738705754403,0.200718848043754,0.208600626697832,0.000948580969611304,0.534658073713363
"CbMPDiCbraya","N0.N.1","N0.Z.5",0.017923167151978,0.108614381530353,0.238634928205944,0.00595377859361849,0.628873744518106
"CbMPDiCbraya","N0.N.1","N2.N.1",0.00559849890885358,0.118659623503498,0.218596398197059,0,0.65714547939059
"CbMPDiCbraya","N0.N.1","N2.N.2",0.00397707572760091,0.198008071967071,0.630262924122509,0.000673067920208131,0.167078860262611
"CbMPDiCbraya","N0.N.1","N2.N.3",0.112235129662663,0.435796747326906,0.111420756925661,8.15810405661724e-05,0.340465785044205
"CbMPDiCbraya","N0.N.1","N2.N.4",0.218481328486285,0.188565560744269,0.253423023179115,0.0013665831016223,0.338163504488709
"CbMPDiCbraya","N0.N.1","N2.N.5",0.000244657056977,0.181360639042349,0.335926225501992,0.0109272501918925,0.47154122820679
"CbMPDiCbraya","N0.N.1","N2.O.1",0.0419503455684368,0.109278338048502,0.272769428747461,0.00768020297501355,0.568321684660586
"CbMPDiCbraya","N0.N.1","N2.O.2",0.0102446483180428,0.159166575241431,0.258797804197644,0.00556604154674576,0.566224930696137
"CbMPDiCbraya","N0.N.1","N2.O.3",0.118768272889555,0.148061767368341,0.138168323153633,0.00185522768084581,0.593146408907626
"CbMPDiCbraya","N0.N.1","N2.O.4",0.091821333877218,0.110687196181392,0.191360248959113,0.00242707173070396,0.603704149251574
"CbMPDiCbraya","N0.N.1","N2.O.5",0.0177191444242807,0.10050529646874,0.24940032402102,0.00378255972356944,0.62859267536239
"CbMPDiCbraya","N0.N.1","N2.RH.1",0.208012700577327,0.109545176422598,0.200569435205579,0.000387515350365881,0.481485172444129
"CbMPDiCbraya","N0.N.1","N2.RH.2",0.257283350899875,0.344639380218578,0.0843855610563595,0.000458913944793127,0.313232793880394
"CbMPDiCbraya","N0.N.1","N2.RH.3",0.0329483942646309,0.47306409227907,0.182862519396425,0.00447658240650953,0.306648411653365
"CbMPDiCbraya","N0.N.1","N2.RH.4",0.151702296359889,0.0693132917990515,0.405796366298195,0.000632336271291296,0.372555709271573
"CbMPDiCbraya","N0.N.1","N2.RH.5",0.139524065728706,0.00285545289522527,0.383117704092941,0.000265144205610522,0.474237633077518
"CbMPDiCbraya","N0.N.1","N2.RT.1",0.129885412219726,0.0820179144751294,0.102270487861094,0.000927906350648619,0.684898279093401
"CbMPDiCbraya","N0.N.1","N2.RT.2",0.102535160243835,0.402413397396147,0.108696100296482,0.0011727066602311,0.385182635403305
"CbMPDiCbraya","N0.N.1","N2.RT.3",0.166434925980862,0.293277998495157,0.0801533679887038,5.09881503538578e-05,0.460082719384923
"CbMPDiCbraya","N0.N.1","N2.RT.4",0.0280534640396865,0.297400538724773,0.240300269763346,0.000407872760079949,0.433837854712115
"CbMPDiCbraya","N0.N.1","N2.RT.5",0.0849496471630185,0.3364459203623,0.131235005595504,0.00243694535730659,0.444932481521871
"CbMPDiCbraya","N0.N.1","N2.Z.1",0.0524844350383755,0.192655877655018,0.277742942090792,0.00148870737704445,0.475628037838769
"CbMPDiCbraya","N0.N.1","N2.Z.2",0.0957104981901111,0.181380443134186,0.258269477498291,0.0184286101479437,0.446210971029467
"CbMPDiCbraya","N0.N.1","N2.Z.3",0.0885152840676617,0.163003198616219,0.12008555734477,0.000856504849408874,0.62753945512194
"CbMPDiCbraya","N0.N.1","N2.Z.4",0.0901268618276223,0.125252307150502,0.322928352698438,0.0135871246900538,0.448105353633384
"CbMPDiCbraya","N0.N.1","N2.Z.5",0.0318167580739118,0.123004325583916,0.582107227087637,5.09881503538578e-05,0.263020701104181
"CbMPDiCbraya","N0.N.1","N4.N.1",0.00397707572760091,0.152577739199707,0.470727238842675,0,0.372717946230017
"CbMPDiCbraya","N0.N.1","N4.N.2",0,0.173689418771896,0.283154639750692,0.000387476672144034,0.542768464805268
"CbMPDiCbraya","N0.N.1","N4.N.3",0.00397707572760091,0.159021843323612,0.271358936183231,0.00019375497134466,0.565448389794212
"CbMPDiCbraya","N0.N.1","N4.N.4",0,0.121984995682414,0.38171300694767,0,0.496301997369916
"CbMPDiCbraya","N0.N.1","N4.N.5",0,0.164101390807407,0.321770516318261,0,0.514128092874332
"CbMPDiCbraya","N0.N.1","N4.O.1",0.00937009319113359,0.134812166713978,0.166844015956208,0.00705572691641102,0.681917997222269
"CbMPDiCbraya","N0.N.1","N4.O.2",0.0284316676946261,0.185998647879961,0.203339855531161,0.004763185691704,0.577466643202548
"CbMPDiCbraya","N0.N.1","N4.O.3",0.00838228095937347,0.122318337131813,0.258965730069667,0.00332437332851168,0.607009278510634
"CbMPDiCbraya","N0.N.1","N4.O.4",0.110440684584413,0.0928719743575001,0.4015536747566,0.00135638235751688,0.39377728394397
"CbMPDiCbraya","N0.N.1","N4.O.5",0.0109132448034596,0.138790962164164,0.209955241662837,0.00438557169944633,0.635954979670093
"CbMPDiCbraya","N0.N.1","N4.RH.1",0,0.319094042544513,0.113968713670943,0.000438498093043177,0.566498745691501
"CbMPDiCbraya","N0.N.1","N4.RH.2",0.0334584242622015,0.375721482327507,0.0867716342721951,0.0025086169974098,0.501539842140686
"CbMPDiCbraya","N0.N.1","N4.RH.3",0.0162020395319199,0.349833330374144,0.112376828660603,0.000897245049858276,0.520690556383474
"CbMPDiCbraya","N0.N.1","N4.RH.4",0.151903003468633,0.392197631473325,0.0817645860531225,0.000550645819526911,0.373584133185393
"CbMPDiCbraya","N0.N.1","N4.RH.5",0.0501554888138122,0.372943801742655,0.0827438790855553,0.000254968417500347,0.493901861940477
"CbMPDiCbraya","N0.N.1","N4.RT.1",0.0682645247511137,0.274393052164632,0.362045424811419,5.09881503538578e-05,0.295246010122481
