"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1000","Bin64",4.75214575137155e-05,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_100","Bin118",0.00149552489405392,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_1001","Bin84",6.38329143806111e-05,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1002","Bin27",0.000203081486026631,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10026","Bin127",6.11845325501713e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","","",""
"ASV_1003","Bin158",7.36226883182342e-05,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Torrecillas12b_Glo_G5"
"ASV_10035","Bin19",6.11724733427221e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_10039","Bin29",1.01962992353765e-06,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_1004","Bin2",6.13935771107101e-05,"Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Alguacil12a_Para_1"
"ASV_10042","Bin116",2.03927646471032e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1005","Bin96",3.16104578407604e-05,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10051","Bin28",6.11895243534307e-07,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10055","Bin57",6.11733048011085e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1006","Bin114",2.93723278477798e-05,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_10062","Bin108",2.03973401868396e-07,"Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Para1_OTU2"
"ASV_10066","Bin44",2.03956761166633e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","","",""
"ASV_10069","Bin63",2.03973401868396e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","","",""
"ASV_1007","Bin3",0.000198027032855999,"Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Glom_1B13"
"ASV_10071","Bin46",4.07984252189871e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_10072","Bin159",8.15831209678528e-07,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10075","Bin75",4.0797176835363e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_10076","Bin90",2.0390269763269e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1008","Bin12",1.16254648280187e-05,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10083","Bin99",6.11757988539734e-07,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10087","Bin80",4.08005059262735e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1009","Bin143",7.36275472574307e-05,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10091","Bin130",2.03969241438391e-07,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_1010","Bin96",0.000107681103891637,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10100","Bin20",6.11857804246293e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_101","Bin58",0.00296659575151284,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_10102","Bin22",4.07905202830862e-07,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10106","Bin85",8.15810405661724e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1012","Bin117",2.40660288210225e-05,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_1013","Bin82",7.11831204338088e-05,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_10137","Bin87",6.11620795107034e-07,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"ASV_1014","Bin27",9.72922054606634e-05,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_10143","Bin149",2.03940123179834e-07,"Fungi","Glomeromycota","Glomeromycetes","","","",""
"ASV_1015","Bin3",0.000196803300762892,"Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Glom_1B13"
