"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7"
"Rootzone","Heterogeneous.Selection","0.006560602","0.007536405","0.004290068","0.0006863201","0.004912662","0.007153884","0.009771831","0.02099779","0.0006863201","0.004912662","0.007153884","0.009771831","0.01677833","0.01755201","0.02099779",NA,NA,NA,NA,NA
"Rootzone","Homogeneous.Selection","0.324448519","0.324151680","0.024248608","0.2447284161","0.308661813","0.323142986","0.339047131","0.38707611","0.2784317151","0.308661813","0.323142986","0.339047131","0.37999452","0.38707611","0.24472842",NA,NA,NA,NA,NA
"Rootzone","Dispersal.Limitation","0.375388741","0.376473506","0.034245033","0.2948314454","0.354782823","0.375775284","0.397735305","0.49650918","0.2948314454","0.354782823","0.375775284","0.397735305","0.44582573","0.49650918",NA,NA,NA,NA,NA,NA
"Rootzone","Homogenizing.Dispersal","0.014444971","0.014598595","0.003042310","0.0090467365","0.012103988","0.014253246","0.016550804","0.02338145","0.0090467365","0.012103988","0.014253246","0.016550804","0.02214925","0.02338145",NA,NA,NA,NA,NA,NA
"Rootzone","Drift.and.Others","0.279157166","0.277239813","0.016276955","0.2312459136","0.269253375","0.277699385","0.284866858","0.33701053","0.2493027664","0.269253375","0.277699385","0.284866858","0.30538185","0.31291627","0.23428012","0.2428257","0.31796","0.2312459","0.3370105","0.2446652"
"Rootzone","Stochasticity","0.668990879","0.668311914","0.023509490","0.6118854937","0.652787355","0.667356788","0.683528022","0.74110022","0.6118854937","0.652787355","0.667356788","0.683528022","0.70987741","0.74110022",NA,NA,NA,NA,NA,NA
"Rhizosphere","Heterogeneous.Selection","0.044214470","0.042886648","0.021274111","0.011319205","0.024876950","0.042330431","0.054152299","0.10643133","0.011319205","0.024876950","0.042330431","0.054152299","0.09134280","0.10541578","0.1064313",NA,NA,NA,NA,NA
"Rhizosphere","Homogeneous.Selection","0.477318308","0.481662713","0.042422355","0.397358246","0.449308871","0.484669797","0.513604499","0.57529484","0.397358246","0.449308871","0.484669797","0.513604499","0.57529484",NA,NA,NA,NA,NA,NA,NA
"Rhizosphere","Dispersal.Limitation","0.235572191","0.232288684","0.032500445","0.148226020","0.206345048","0.232132665","0.254223184","0.30157745","0.148226020","0.206345048","0.232132665","0.254223184","0.30157745",NA,NA,NA,NA,NA,NA,NA
"Rhizosphere","Homogenizing.Dispersal","0.007741312","0.008144749","0.002701143","0.002977607","0.006130497","0.007782099","0.009595198","0.01595811","0.002977607","0.006130497","0.007782099","0.009595198","0.01456873","0.01595811",NA,NA,NA,NA,NA,NA
"Rhizosphere","Drift.and.Others","0.235153719","0.235017206","0.020472121","0.189140776","0.220484086","0.235705619","0.249454163","0.27356389","0.189140776","0.220484086","0.235705619","0.249454163","0.27356389",NA,NA,NA,NA,NA,NA,NA
"Rhizosphere","Stochasticity","0.478467222","0.475450639","0.034878832","0.391914503","0.449516286","0.477230757","0.498056085","0.55169851","0.391914503","0.449516286","0.477230757","0.498056085","0.55169851",NA,NA,NA,NA,NA,NA,NA
"Root","Heterogeneous.Selection","0.031379752","0.030781705","0.0119694401","0.0128943831","0.021779797","0.027547746","0.036431163","0.072169888","0.012894383","0.021779797","0.027547746","0.036431163","0.057067583","0.072169888","0.062535086","0.0609921797",NA,NA,NA,NA
"Root","Homogeneous.Selection","0.462653086","0.460551649","0.0415401317","0.3816957882","0.433419182","0.458825954","0.484593602","0.594871873","0.381695788","0.433419182","0.458825954","0.484593602","0.552243406","0.594871873",NA,NA,NA,NA,NA,NA
"Root","Dispersal.Limitation","0.171324934","0.172396329","0.0271246221","0.1067162019","0.151264126","0.169632912","0.189144020","0.253218031","0.106716202","0.151264126","0.169632912","0.189144020","0.228163756","0.253218031",NA,NA,NA,NA,NA,NA
"Root","Homogenizing.Dispersal","0.001925135","0.001937408","0.0004295239","0.0008568942","0.001663465","0.001877619","0.002198324","0.003129215","0.001005022","0.001663465","0.001877619","0.002198324","0.002927978","0.003129215","0.003116586","0.0008568942",NA,NA,NA,NA
"Root","Drift.and.Others","0.332717092","0.334332909","0.0350900660","0.2366895168","0.311231237","0.336268877","0.357672819","0.421163205","0.254594617","0.311231237","0.336268877","0.357672819","0.421163205","0.236689517",NA,NA,NA,NA,NA,NA
"Root","Stochasticity","0.505967162","0.508666646","0.0446638444","0.3854141807","0.479222045","0.515241685","0.539600625","0.598228895","0.405270608","0.479222045","0.515241685","0.539600625","0.598228895","0.385414181",NA,NA,NA,NA,NA,NA
"Nodule","Heterogeneous.Selection","0.03127871","0.031633154","0.008310276","0.0136741821","0.025583103","0.031278708","0.036752809","0.055886019","0.0136741821","0.025583103","0.031278708","0.036752809","0.052323778","0.055886019",NA,NA,NA,NA,NA,NA
"Nodule","Homogeneous.Selection","0.27541252","0.277510014","0.051633502","0.1760977894","0.241295962","0.275412518","0.314493688","0.445128770","0.1760977894","0.241295962","0.275412518","0.314493688","0.394706376","0.445128770",NA,NA,NA,NA,NA,NA
"Nodule","Dispersal.Limitation","0.34482829","0.337660017","0.043473570","0.2335168197","0.306890169","0.335401762","0.370331979","0.483157297","0.2335168197","0.306890169","0.335401762","0.370331979","0.417370876","0.483157297",NA,NA,NA,NA,NA,NA
"Nodule","Homogenizing.Dispersal","0.00245697","0.002305184","0.001423420","0.0001168089","0.001346777","0.002238013","0.003258508","0.007201608","0.0001168089","0.001346777","0.002238013","0.003258508","0.005920691","0.007201608",NA,NA,NA,NA,NA,NA
"Nodule","Drift.and.Others","0.34602352","0.350891630","0.046351711","0.2454164754","0.321701001","0.346545654","0.377629789","0.481086203","0.2454164754","0.321701001","0.346545654","0.377629789","0.445515088","0.469454828","0.4764103","0.4810862",NA,NA,NA,NA
"Nodule","Stochasticity","0.69330877","0.690856831","0.053764170","0.5248503254","0.658426530","0.695039463","0.730045873","0.795471987","0.5688853239","0.658426530","0.695039463","0.730045873","0.795471987","0.524850325",NA,NA,NA,NA,NA,NA
"Original","Heterogeneous.Selection","0.006028718","0.005941337","0.001181855","0.003421867","0.005066171","0.006028718","0.00667050","0.008863098","0.003421867","0.005066171","0.006028718","0.00667050","0.008863098",NA,NA,NA,NA,NA,NA,NA
"Original","Homogeneous.Selection","0.415069974","0.413408324","0.026131536","0.332554701","0.397417887","0.410599231","0.42833093","0.484530525","0.362156275","0.397417887","0.410599231","0.42833093","0.467529784","0.48453053","0.35033059","0.33255470","0.4797027",NA,NA,NA
"Original","Dispersal.Limitation","0.373274438","0.376219628","0.031909185","0.283980043","0.362543233","0.377766731","0.39556103","0.466945625","0.313780006","0.362543233","0.377766731","0.39556103","0.438791559","0.29366482","0.46694562","0.29246938","0.2839800",NA,NA,NA
"Original","Homogenizing.Dispersal","0.020361524","0.020036970","0.002774903","0.014818462","0.018111277","0.019720695","0.02150162","0.029037175","0.014818462","0.018111277","0.019720695","0.02150162","0.026161742","0.02724389","0.02903718","0.02688666",NA,NA,NA,NA
"Original","Drift.and.Others","0.185265347","0.184393741","0.010223969","0.159471145","0.178077834","0.185265347","0.18966284","0.213660929","0.162252004","0.178077834","0.185265347","0.18966284","0.204997587","0.20872679","0.21366093","0.15947115",NA,NA,NA,NA
"Original","Stochasticity","0.578901308","0.580650339","0.026122002","0.508551116","0.567802490","0.583648755","0.59582793","0.662990781","0.526635488","0.567802490","0.583648755","0.59582793","0.632201444","0.50855112","0.64172500","0.66299078","0.5160323",NA,NA,NA
"Rootzone_vs_Rhizosphere","Heterogeneous.Selection","0.025245645","0.025078931","0.011154579","0.003683460","0.017445767","0.023577409","0.02991674","0.06239518","0.003683460","0.017445767","0.023577409","0.02991674","0.04784877","0.06239518","0.05180465","0.05955673","0.05226293","0.05023773",NA,NA
"Rootzone_vs_Rhizosphere","Homogeneous.Selection","0.364930087","0.365340068","0.020903382","0.317796563","0.351718573","0.363780925","0.38095063","0.43908470","0.317796563","0.351718573","0.363780925","0.38095063","0.40347160","0.43908470",NA,NA,NA,NA,NA,NA
"Rootzone_vs_Rhizosphere","Dispersal.Limitation","0.344661092","0.345737468","0.020609263","0.283184611","0.332558630","0.344185418","0.36235515","0.39202012","0.306168129","0.332558630","0.344185418","0.36235515","0.39202012","0.28318461",NA,NA,NA,NA,NA,NA
"Rootzone_vs_Rhizosphere","Homogenizing.Dispersal","0.009846515","0.009800571","0.002001202","0.004709048","0.008284797","0.009359919","0.01129117","0.01555381","0.004709048","0.008284797","0.009359919","0.01129117","0.01555381",NA,NA,NA,NA,NA,NA,NA
"Rootzone_vs_Rhizosphere","Drift.and.Others","0.255316661","0.254042962","0.010429638","0.227223881","0.246970683","0.255961981","0.26106627","0.27377630","0.227223881","0.246970683","0.255961981","0.26106627","0.27377630",NA,NA,NA,NA,NA,NA,NA
"Rootzone_vs_Rhizosphere","Stochasticity","0.609824268","0.609581000","0.019318901","0.552551107","0.596768469","0.608507496","0.62410098","0.64609637","0.566318714","0.596768469","0.608507496","0.62410098","0.64609637","0.55255111",NA,NA,NA,NA,NA,NA
"Rootzone_vs_Root","Heterogeneous.Selection","0.032538289","0.032344253","0.005486967","0.021378024","0.029041394","0.031806522","0.035691102","0.050611993","0.021378024","0.029041394","0.031806522","0.035691102","0.045425174","0.050611993",NA,NA,NA,NA,NA,NA
"Rootzone_vs_Root","Homogeneous.Selection","0.270856750","0.272472988","0.016625371","0.240172867","0.260851089","0.271351826","0.284427349","0.308041141","0.240172867","0.260851089","0.271351826","0.284427349","0.308041141",NA,NA,NA,NA,NA,NA,NA
