"","bin.id.strict","bin.id.united","bin.id.new"
"ASV_2492",1,"8884",138
"ASV_2834",2,"8884",138
"ASV_12057",3,"8884",138
"ASV_78",4,"8884",138
"ASV_111",5,"8884",138
"ASV_3992",6,"8884",138
"ASV_9858",7,"8884",138
"ASV_12011",8,"8884",138
"ASV_8565",9,"8884",138
"ASV_9198",10,"8884",138
"ASV_10637",11,"8884",138
"ASV_8037",12,"8884",138
"ASV_9952",13,"8884",138
"ASV_11536",14,"8884",138
"ASV_8599",15,"8884",138
"ASV_9156",16,"8884",138
"ASV_8928",17,"8884",138
"ASV_12238",18,"8884",138
"ASV_12010",19,"8884",138
"ASV_10619",20,"8884",138
"ASV_11539",21,"8884",138
"ASV_8970",22,"8884",138
"ASV_10638",23,"8884",138
"ASV_333",24,"8884",138
"ASV_8023",25,"8884",138
"ASV_236",26,"8884",138
"ASV_144",27,"8884",138
"ASV_2147",28,"8884",138
"ASV_11414",29,"8937",139
"ASV_11102",30,"8937",139
"ASV_11618",31,"8937",139
"ASV_7158",32,"8937",139
"ASV_497",33,"8937",139
"ASV_12106",34,"8937",139
"ASV_8286",35,"8937",139
"ASV_12216",36,"8937",139
"ASV_1637",37,"8937",139
"ASV_7062",38,"8937",139
"ASV_2950",39,"8937",139
"ASV_4218",40,"8937",139
"ASV_2845",41,"8937",139
"ASV_8398",42,"8937",139
"ASV_4568",43,"8937",139
"ASV_69",44,"8937",139
"ASV_4309",45,"8937",139
"ASV_846",46,"8937",139
"ASV_12285",47,"8937",139
"ASV_7624",48,"8937",139
"ASV_275",49,"8937",139
"ASV_3166",50,"8937",139
"ASV_4757",51,"8937",139
"ASV_9542",52,"8937",139
"ASV_2865",53,"8937",139
"ASV_6169",54,"8937",139
"ASV_5033",55,"8937",139
"ASV_6094",56,"8937",139
"ASV_5667",57,"8937",139
"ASV_5850",58,"8937",139
"ASV_6239",59,"8937",139
"ASV_10222",60,"8937",139
"ASV_5117",61,"8937",139
"ASV_3915",62,"8937",139
"ASV_11133",63,"8937",139
"ASV_8193",64,"8937",139
"ASV_3310",65,"8937",139
"ASV_3343",66,"8937",139
"ASV_12287",67,"8937",139
"ASV_4181",68,"8937",139
"ASV_5580",69,"8937",139
"ASV_2038",70,"8937",139
"ASV_7887",71,"8937",139
"ASV_7083",72,"8937",139
"ASV_3558",73,"8937",139
"ASV_7517",74,"8937",139
"ASV_736",75,"8937",139
"ASV_1372",76,"8937",139
"ASV_8044",77,"8937",139
"ASV_9204",78,"8937",139
"ASV_8494",79,"8937",139
"ASV_3384",80,"8937",139
"ASV_4335",81,"8937",139
"ASV_1212",82,"8937",139
"ASV_1953",83,"8937",139
"ASV_44",84,"8937",139
"ASV_3813",85,"8937",139
"ASV_112",86,"8937",139
"ASV_6159",87,"8937",139
"ASV_10639",88,"8937",139
"ASV_8617",89,"8937",139
"ASV_9205",90,"8937",139
"ASV_10540",91,"8937",139
"ASV_10226",92,"8937",139
"ASV_2263",93,"8937",139
"ASV_12231",94,"8937",139
"ASV_11081",95,"8937",139
"ASV_298",96,"8937",139
"ASV_1241",97,"8937",139
"ASV_606",98,"8937",139
"ASV_315",99,"8937",139
"ASV_3458",100,"8937",139
"ASV_4700",101,"8937",139
"ASV_301",102,"8884",138
"ASV_91",103,"8979",140
"ASV_192",104,"8979",140
"ASV_4295",105,"8979",140
"ASV_4266",106,"8979",140
"ASV_7252",107,"8979",140
"ASV_11651",108,"8979",140
"ASV_6517",109,"8979",140
"ASV_700",110,"8979",140
"ASV_3850",111,"8979",140
"ASV_7024",112,"8979",140
"ASV_4032",113,"8979",140
"ASV_8440",114,"8979",140
"ASV_5900",115,"8979",140
"ASV_1627",116,"8979",140
"ASV_562",117,"8979",140
"ASV_12004",118,"8979",140
"ASV_2280",119,"8979",140
"ASV_5248",120,"8979",140
"ASV_678",121,"8979",140
"ASV_1179",122,"8979",140
"ASV_485",123,"8979",140
"ASV_325",124,"8979",140
"ASV_412",125,"8979",140
"ASV_4493",126,"8979",140
"ASV_1389",127,"8979",140
"ASV_8740",128,"8979",140
"ASV_5597",129,"8979",140
"ASV_4153",130,"8979",140
"ASV_4350",131,"8979",140
"ASV_4833",132,"8979",140
"ASV_9612",133,"8979",140
"ASV_5324",134,"8979",140
"ASV_3640",135,"9009",141
"ASV_4638",136,"9009",141
"ASV_531",137,"9009",141
"ASV_6366",138,"9009",141
"ASV_739",139,"9009",141
"ASV_6882",140,"9009",141
"ASV_11063",141,"9009",141
"ASV_8913",142,"9009",141
"ASV_12262",143,"9009",141
"ASV_4840",144,"9009",141
"ASV_3223",145,"9009",141
"ASV_1911",146,"9009",141
"ASV_10584",147,"9009",141
"ASV_4400",148,"9009",141
"ASV_3142",149,"9009",141
"ASV_3899",150,"9009",141
"ASV_9626",151,"9009",141
"ASV_92",152,"9009",141
"ASV_2386",153,"9009",141
"ASV_2858",154,"9009",141
"ASV_186",155,"9009",141
"ASV_10527",156,"9009",141
"ASV_80",157,"9009",141
"ASV_45",158,"9009",141
"ASV_11110",159,"9009",141
"ASV_12220",160,"9009",141
"ASV_6029",161,"9009",141
"ASV_10270",162,"9009",141
"ASV_5261",163,"9009",141
"ASV_6883",164,"9009",141
"ASV_11409",165,"9009",141
"ASV_8971",166,"9009",141
"ASV_9201",167,"9009",141
"ASV_6684",168,"9009",141
"ASV_1708",169,"9009",141
"ASV_6314",170,"9009",141
"ASV_82",171,"9009",141
"ASV_5290",172,"9057",142
"ASV_1540",173,"9057",142
"ASV_10631",174,"9057",142
"ASV_271",175,"9057",142
"ASV_453",176,"9057",142
"ASV_814",177,"9057",142
"ASV_1860",178,"9057",142
"ASV_3974",179,"9057",142
"ASV_1053",180,"9057",142
"ASV_1162",181,"9057",142
"ASV_767",182,"9057",142
"ASV_10577",183,"9057",142
"ASV_2024",184,"9057",142
"ASV_3176",185,"9057",142
"ASV_5214",186,"9057",142
