"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108","bin109","bin110","bin111","bin112","bin113","bin114","bin115","bin116","bin117","bin118","bin119","bin120","bin121","bin122","bin123","bin124","bin125","bin126","bin127","bin128","bin129"
"CbMPDiCbraya","Niche","Nodule","HeS","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","0","0","0","0","0","0","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0.0582109583777883","NaN","NaN","NaN"
"CbMPDiCbraya","Niche","Nodule","HoS","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.157894736842105","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0.390177042069931","0","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","0.039489859740185","0","0","0.0526315789473684","0.0239013362769247","0","0","NaN","NaN","NaN","NaN","0.0526315789473684","NaN","NaN","NaN","NaN","0.0292303597212989","NaN","NaN","NaN","NaN","NaN","NaN","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","0.105263157894737","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","0.0280475427261809","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.210526315789474","0.00139620977969117","NaN","NaN","NaN"
"CbMPDiCbraya","Niche","Nodule","DL","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","0","0","0","0","0.00955844637393232","0","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0.0260883341425935","NaN","NaN","NaN"
"CbMPDiCbraya","Niche","Nodule","HD","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","0","0","0","0","0","0","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","NaN","NaN","NaN"
"CbMPDiCbraya","Niche","Nodule","DR","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.842105263157895","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","0.609822957930069","1","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","0.960510140259815","1","1","0.947368421052632","0.966540217349143","1","1","NaN","NaN","NaN","NaN","0.947368421052632","NaN","NaN","NaN","NaN","0.970769640278701","NaN","NaN","NaN","NaN","NaN","NaN","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","1","1","0.894736842105263","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","0.971952457273819","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.789473684210526","0.914304497699927","NaN","NaN","NaN"
"CbMPDiCbraya","Niche","Nodule","DominantProcess","","","","","DR","","","","","","","","","","","DR","","","","","DR","","","","","DR","DR","HoS","","","","","","","","","DR","","","","DR","DR","DR","DR","DR","DR","DR","","","","","DR","","","","","DR","","","","","","","DR","DR","","","","","","","","","","","","","","DR","","","","","","","","","","","","","","","DR","","DR","DR","DR","","","","","","","","","DR","","","DR","","","","","","","","","","","","","","","DR","DR","","",""
"CbMPDiCbraya","Niche","Nodule","DominantProcessImportance","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.842105263157895","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","0.609822957930069","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","0.960510140259815","1","1","0.947368421052632","0.966540217349143","1","1","NaN","NaN","NaN","NaN","0.947368421052632","NaN","NaN","NaN","NaN","0.970769640278701","NaN","NaN","NaN","NaN","NaN","NaN","1","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","1","1","0.894736842105263","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","0.971952457273819","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.789473684210526","0.914304497699927","NaN","NaN","NaN"
"CbMPDiCbraya","Niche","Nodule","DominantProcessPvalue","","","","","0.33","","","","","","","","","","","0","","","","","0.36","","","","","0.16","0.05","0","","","","","","","","","0.1","","","","0.02","0.33","0.31","0.12","0","0.03","0.33","","","","","0.1","","","","","0","","","","","","","0.36","0.36","","","","","","","","","","","","","","0.33","","","","","","","","","","","","","","","0.33","","0.33","0.37","0.03","","","","","","","","","0.36","","","0","","","","","","","","","","","","","","","0.01","0","","",""
"CbMPDiCbraya","Niche","Root","HeS","0.0226357713870934","0","0","0","0","0.0371023368951584","0.00555254671614274","0","0.0779914546241497","0.011294754953206","0.0220427166709727","0","0.163594245062045","0.0273592380873394","0","0","0.0213909080988481","0.0302670432408244","0.037910319681196","0.00424519706874706","0","0","0","0.029815118939317","0","0","0.0220736207514385","0","0.00892251755697292","0.00245934173186202","0","0.0510390598143967","0.0350833902092182","0","0","0","0","0","0.0858845431974171","0.0132275514819678","0","0.00180239399263488","0.0138646778683647","0","0.00888698238157141","0.0139779090993951","0","0.0236730938395162","0.170468680467257","0","0.00312946133263342","0","0.00156879769771429","0","0.118649740635321","0.132456275958482","0","0.0225582376084341","0","0.0123607955633946","0.112967033194522","0.00642059800619213","0.00892162809095225","0.00432017966518441","0","0","0","0","0","0","0.0162504990498586","0","0.0398171713203946","0.0546118384166833","0","0","0.0788436277449824","0","0","0.0263262686500969","0","0","0.0109652618446838","0","0","0","0","0.00956721020375009","0","0.0489314413762376","0.0129931008607505","0.0119129192996705","0","0.12416784858372","0","0","0","0.0562380375350996","0.0788844920201245","0.0421052650366312","0","0","0","0.00771080739184027","0","0","0.0186552940411938","0","0","0","0","0","0","0.00850716890691977","0","0","0","0","0.105627934700143","0","0","0","0","0","0.0140995271161681","0.139269734944239","0","0","0.0480849618616857"
"CbMPDiCbraya","Niche","Root","HoS","0.136852253725534","0.0112302457603003","0.0708549819317102","0","0","0.0182883787965033","0.109687239125662","0.13843029139997","0.0149813447113797","0.0364508616183294","0.0141113481711565","0.0228168101578676","0.00799046226343781","0","0.0276368585694466","0.0440052381097827","0.288492475095162","0.302954668309551","0.652250623167467","0.334038149924389","0.3196206539407","0.243683072148229","0.0632021113358463","0.296532315904434","0","0.797631692444045","0","0.159936554846435","0.170795539590758","0.140927474026244","0","0.080887044592889","0.0484806760450072","0.125636350916054","0.0188304532316693","0.0191501236935051","0.0045971086445779","0.188827208256008","0.0810786402108415","0.0867705118405582","0.0367392605155155","0.0502318465719861","0.531458657932812","0.0817755942529658","0.140705143501219","0.113538299271022","0.0674812927826666","0.0110447204701625","0.1142337786027","0.0397340223466552","0.0750536853268773","0.00635850169773911","0.211262047646842","0.12483958173932","0.00190137890443325","0.00206322877116016","0.0228297761169967","0.021402754081528","0.0490174416213039","0.0333828873344629","0.0222354749447115","0.124515466886916","0.00758208989405884","0.348618994767329","0","0.210549626074861","0.0181060983296811","0.00698521206522737","0.00625417716977629","0","0.0781761079497102","0.00909944819954878","0.0792756632976827","0.0987883542798442","0.0574158014087526","0","0.272664884986789","0.0138986090453375","0.375976004859897","0.0210243847166611","0.10238425232598","0.0509033743744368","0.0701798241720104","0.052643966343492","0.0818820732164507","0","0.0955959690521666","0.330130352262004","0.0733693775362286","0.0193035059562558","0.00806782097989445","0.147001921414307","0.0256434979540531","0.0596383411964872","0.0551161271446432","0.494099989794454","0","0.717900330090867","0.0587423689107024","0","0","0","0.362875415824159","0.0765958419920639","0","0.0119869925032729","0.795691785701638","0.0171515656975612","0.309111037496219","0","0","0.0111908844768827","0.366091825115649","0.00637972420764136","0.250452829698445","0","0.108613165894851","0.244250244902374","0.020148324001755","0.191669911263629","0.00950672707618003","0.103956100133554","0.0234714639586758","0.130768263129555","0.141868892859774","0.0263183308612783","0.0498043513554697","0.0860643484328428","0"
