"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","Niche","Nodule","8.98412500329744e-05","0.99728349116799","4.17008868763058e-05","0","0.00258496669510124"
"CbMPDiCbraya","Niche","Root","0.00856312125253907","0.1931869292018","0.286598218647527","0.0208019528633549","0.490849778034779"
"CbMPDiCbraya","Niche","Rhizosphere","0.00218587920206495","0.203708280202933","0.18775973198353","0.0418677452043278","0.564478363407144"
"CbMPDiCbraya","Niche","Rootzone","0.00542793435566081","0.134488649121752","0.129690880364155","0.0210741239371213","0.709318412221311"
"CbMPDiCbraya","Niche","Original","0.00539717842308016","0.17671808959779","0.30230323760936","0.013702977453714","0.501878516916055"
"CbMPDiCbraya","Niche","Nodule_vs_Root","0.0217111958795062","0.290108933923307","0.338417223703906","0.00440415128090256","0.345358495212378"
"CbMPDiCbraya","Niche","Nodule_vs_Rhizosphere","0.0275590404397771","0.17926140964692","0.439903741888171","0.00825514526476571","0.345020662760366"
"CbMPDiCbraya","Niche","Nodule_vs_Rootzone","0.0150526163414265","0.143430788507409","0.370996923841744","1.02304621046636e-05","0.470509440847315"
"CbMPDiCbraya","Niche","Nodule_vs_Original","0.0341470021984785","0.0831387192664272","0.497546721980189","0.000618417444906351","0.384549139109999"
"CbMPDiCbraya","Niche","Root_vs_Rhizosphere","0.00860460323299547","0.19078009269232","0.301976781165235","0.0141450894034944","0.484493433505955"
"CbMPDiCbraya","Niche","Root_vs_Rootzone","0.0203608362503168","0.147449641956065","0.282650877595958","0.00213955262902803","0.547399091568632"
"CbMPDiCbraya","Niche","Root_vs_Original","0.0291097322296574","0.111257980299794","0.395474018218375","0.00400700255120309","0.460151266700971"
"CbMPDiCbraya","Niche","Rhizosphere_vs_Rootzone","0.00472420551652268","0.165718682775073","0.219417316384606","0.0156591193758814","0.594480675947918"
"CbMPDiCbraya","Niche","Rhizosphere_vs_Original","0.00605927521182137","0.155137463987475","0.340893275851239","0.0139846542155941","0.48392533073387"
"CbMPDiCbraya","Niche","Rootzone_vs_Original","0.00578811512604907","0.135148385828916","0.2895861990992","0.00440047527262761","0.565076824673208"
"CbMPDiCbraya","treatment","N0","0.0214708150663843","0.361888715545729","0.192441742896165","0.00675828218891933","0.417440444302803"
"CbMPDiCbraya","treatment","N2","0.0154852927576514","0.198563947565163","0.32214496681934","0.0120581450750921","0.451747647782754"
"CbMPDiCbraya","treatment","N4","0.00884347866075001","0.126209540449518","0.392500781590518","0.0126530810765288","0.459793118222686"
"CbMPDiCbraya","treatment","N6","0.0108660734052771","0.132752908168103","0.346443419014203","0.0152351995535674","0.494702399858849"
"CbMPDiCbraya","treatment","N0_vs_N2","0.0200818980612891","0.265244967166889","0.247685616402329","0.00463525403128787","0.462352264338205"
"CbMPDiCbraya","treatment","N0_vs_N4","0.016534037623288","0.213282124988798","0.300584875432867","0.00563986297717862","0.463959098977868"
"CbMPDiCbraya","treatment","N0_vs_N6","0.0179820994019866","0.218762568789855","0.288543899461622","0.00715017466428915","0.467561257682248"
"CbMPDiCbraya","treatment","N2_vs_N4","0.0127975293124966","0.163378203402155","0.357867844353057","0.010840618994661","0.45511580393763"
"CbMPDiCbraya","treatment","N2_vs_N6","0.0127166332798498","0.161725642187954","0.340593728107247","0.00911476728321931","0.47584922914173"
"CbMPDiCbraya","treatment","N4_vs_N6","0.0100687660897993","0.127640956665083","0.363765276240889","0.0131041455519069","0.485420855452321"
"CbMPDiCbraya","group","N0.N","0","0.99879856021598","0","0","0.00120143978402047"
"CbMPDiCbraya","group","N0.RT","0.00839079536273224","0.265908904380285","0.196211393664607","0.00813329500349743","0.521355611588878"
"CbMPDiCbraya","group","N0.RH","0.000736327719406618","0.50259115964412","0.0215459562450357","0.0154952136034972","0.459631342787941"
"CbMPDiCbraya","group","N0.Z","0.0106633123359344","0.34768103784501","0.0564749660796599","0.0168986461106895","0.568282037628706"
"CbMPDiCbraya","group","N0.O","0.00937370433182643","0.402528783009974","0.168159932578505","0.0399311187456286","0.380006461334067"
"CbMPDiCbraya","group","N2.N","0","0.996832447386795","0","0","0.00316755261320546"
"CbMPDiCbraya","group","N2.RT","0.00473299323288782","0.256770830252358","0.30378473228651","0.0248645864897165","0.409846857738528"
"CbMPDiCbraya","group","N2.RH","0.000544772191684773","0.188031375716842","0.157464166130778","0.0717052726739797","0.582254413286716"
"CbMPDiCbraya","group","N2.Z","0.000327332412670693","0.100840909796473","0.138484042541318","0.0829130116570254","0.677434703592512"
"CbMPDiCbraya","group","N2.O","0.000694140597122858","0.278527871857465","0.0788657679044666","0.0134652311698265","0.628446988471119"
"CbMPDiCbraya","group","N4.N","6.826872597183e-05","0.999044506287889","2.72888570760911e-05","0","0.000859936129063072"
"CbMPDiCbraya","group","N4.RT","0.0011312436387109","0.141436143303752","0.261804604624806","0.0150643661430967","0.580563642289635"
"CbMPDiCbraya","group","N4.RH","0","0.210581896242307","0.148639019067473","0.0574977089340148","0.583281375756205"
"CbMPDiCbraya","group","N4.Z","0.000653558444585921","0.101220372447948","0.102102703399805","0.0350188572093591","0.761004508498302"
"CbMPDiCbraya","group","N4.O","8.16920936957693e-05","0.0810090389720727","0.13481622728347","0.0273920173673276","0.756701024283434"
"CbMPDiCbraya","group","N6.N","0","0.994709705023644","0","0","0.00529029497635569"
"CbMPDiCbraya","group","N6.RT","0.00598803503264551","0.222206127506363","0.263271854268324","0.0527480908585258","0.455785892334142"
"CbMPDiCbraya","group","N6.RH","0.000450562811833286","0.070559608352238","0.203614354082953","0.0442795997400524","0.681095875012923"
"CbMPDiCbraya","group","N6.Z","0.000819377442582357","0.10279930029565","0.140724472762754","0.0268583576554299","0.728798491843584"
"CbMPDiCbraya","group","N6.O","0.000217947013930268","0.0673722835631684","0.134261876252861","0.0267811840011119","0.771366709168928"
"CbMPDiCbraya","group","N0.N_vs_N0.RT","0.0326494684230784","0.426334102201062","0.198140552246765","0.00237526994596884","0.340500607183126"
"CbMPDiCbraya","group","N0.N_vs_N0.RH","0.0260137085533707","0.562623992444216","0.210130940064746","0.000480135195349386","0.200751223742318"
"CbMPDiCbraya","group","N0.N_vs_N0.Z","0.0281185001512525","0.278436568731464","0.187936836017142","0","0.505508095100141"
"CbMPDiCbraya","group","N0.N_vs_N0.O","0.0472943275573563","0.133194211769973","0.564668825435406","0.00218339266846118","0.252659242568804"
"CbMPDiCbraya","group","N0.N_vs_N2.N","0","0.997837344197195","6.00645362855623e-05","0","0.00210259126651925"
"CbMPDiCbraya","group","N0.N_vs_N2.RT","0.0256168313761627","0.462812029642358","0.278733071007657","0.00211214695711751","0.230725921016705"
"CbMPDiCbraya","group","N0.N_vs_N2.RH","0.0388566857562127","0.0520083706786035","0.517587875697439","0.00958413940854025","0.381962928459205"
"CbMPDiCbraya","group","N0.N_vs_N2.Z","0.0151339608380833","0.0302836733989366","0.491021879527339","0","0.463560486235641"
"CbMPDiCbraya","group","N0.N_vs_N2.O","0.0498588668883402","0.0699233003282057","0.506133228948602","8.71934604904632e-05","0.373997410374362"
"CbMPDiCbraya","group","N0.N_vs_N4.N","6.5526039241135e-05","0.998929713570316","8.19120147007478e-05","0","0.000922848375742266"
"CbMPDiCbraya","group","N0.N_vs_N4.RT","0.0213544034223476","0.177758722822412","0.381848492523097","0.00650568975047896","0.412532691481664"
"CbMPDiCbraya","group","N0.N_vs_N4.RH","0.0497164326314793","0.0570044964569382","0.526678931133292","0.00943308098224077","0.35716705879605"
"CbMPDiCbraya","group","N0.N_vs_N4.Z","0.0106275479696067","0.0179117137692618","0.472674953412665","0","0.498785784848467"
"CbMPDiCbraya","group","N0.N_vs_N4.O","0.0226141814791673","0.111958944096387","0.346713977064285","3.26545586333279e-05","0.518680242801528"
"CbMPDiCbraya","group","N0.N_vs_N6.N","3.82081225044202e-05","0.996501188100982","0","0","0.00346060377651359"
"CbMPDiCbraya","group","N0.N_vs_N6.RT","0.0175652605674331","0.235721278380882","0.405915910499316","0.00600553453599916","0.334792016016369"
"CbMPDiCbraya","group","N0.N_vs_N6.RH","0.0372945099540846","0.0401587870879539","0.513613121201728","0.0111639725276911","0.397769609228542"
"CbMPDiCbraya","group","N0.N_vs_N6.Z","0.00515753180819696","0.235048568911684","0.225321466972862","0","0.534472432307257"
"CbMPDiCbraya","group","N0.N_vs_N6.O","0.0246451454992743","0.0101658587705753","0.494967050179473","5.4421768707483e-06","0.470216503373807"
