"Method","name1","name2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","N0.N.1","N0.N.2",0,0.998361551064992,0,0,0.00163844893500819
"CbMPDiCbraya","N0.N.1","N0.N.3",0,0.999044238121245,0,0,0.000955761878754779
"CbMPDiCbraya","N0.N.1","N0.N.4",0,0.998907924297458,0,0,0.00109207570254162
"CbMPDiCbraya","N0.N.1","N0.N.5",0,0.998634625887493,0,0,0.00136537411250683
"CbMPDiCbraya","N0.N.1","N0.O.1",0.0834699453551913,0.137431693989071,0.573224416768883,0.0087431693989071,0.197130774487947
"CbMPDiCbraya","N0.N.1","N0.O.2",0.0322448979591837,0.0844897959183673,0.588024795936944,0.00217687074829932,0.293063639437206
"CbMPDiCbraya","N0.N.1","N0.O.3",0.0207542051003798,0.248372219207813,0.53309376438162,0.000135648399348888,0.197644162910838
"CbMPDiCbraya","N0.N.1","N0.O.4",0.0226281352235551,0.151581243184297,0.561476527774717,0.000681570338058888,0.263632523479372
"CbMPDiCbraya","N0.N.1","N0.O.5",0.0773744541484716,0.0408024017467249,0.559088055301825,0,0.322735088802978
"CbMPDiCbraya","N0.N.1","N0.RH.1",0.000817884405670665,0.21782988004362,0.616956353292711,0.00436205016357688,0.160033832094421
"CbMPDiCbraya","N0.N.1","N0.RH.2",0.0209016393442623,0.860519498736096,0,0,0.118578861919641
"CbMPDiCbraya","N0.N.1","N0.RH.3",0.0574195308237861,0.879295490794265,0,0.0010911074740862,0.0621938709078628
"CbMPDiCbraya","N0.N.1","N0.RH.4",0.0088411316648531,0.111262241566921,0.649888586066706,0,0.23000804070152
"CbMPDiCbraya","N0.N.1","N0.RH.5",0.0615468409586057,0.722492694207363,0.0159313725490196,0,0.200029092285012
"CbMPDiCbraya","N0.N.1","N0.RT.1",0.046806768558952,0.0529475982532751,0.67003237844593,0.0013646288209607,0.228848625920882
"CbMPDiCbraya","N0.N.1","N0.RT.2",0,0.933380240440327,0.00683994528043776,0.00314637482900137,0.0566334394502343
"CbMPDiCbraya","N0.N.1","N0.RT.3",0.0178620125443142,0.788245592191088,0.0212707935642214,0.00190891737114808,0.170712684329229
"CbMPDiCbraya","N0.N.1","N0.RT.4",0.105457025920873,0.1268758526603,0.601363697664074,0.00559345156889495,0.160709972185858
"CbMPDiCbraya","N0.N.1","N0.RT.5",0.00177208287895311,0.919709897458469,0.00572519083969466,0,0.0727928288228837
