"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Bin28",0.329234277639012,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group"
"ASV_6","Bin26",0.0315717529916884,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium giardinii"
"ASV_8","Bin16",0.0312006198058362,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Phyllobacterium","Phyllobacterium sophorae"
"ASV_14","Bin60",0.0467078529717522,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys taiwanensis"
"ASV_38","Bin26",0.00666593849148934,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium giardinii"
"ASV_45","Bin21",0.00408453006199177,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium",NA
"ASV_46","Bin79",0.0080231190493934,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,"Pseudorhodoplanes","Pseudorhodoplanes sinuspersici"
"ASV_57","Bin25",0.000155468118183603,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",NA
"ASV_70","Bin103",0.00898123794323339,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga","Microvirga sp. KLBC 81"
"ASV_75","Bin20",0.00335873104736589,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium",NA
"ASV_76","Bin57",0.00606198910952283,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi"
"ASV_89","Bin52",0.00212671593393504,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi"
"ASV_90","Bin60",0.0105857830906894,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys taiwanensis"
"ASV_96","Bin79",0.00277224475616614,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,"Pseudorhodoplanes","Pseudorhodoplanes sinuspersici"
"ASV_99","Bin98",0.00249838811008496,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Boseaceae","Bosea","Bosea sp. Tri-44"
"ASV_100","Bin27",0.00253256730224496,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti"
"ASV_105","Bin57",0.00457393137504156,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi"
"ASV_113","Bin53",0.00566866220361133,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV_125","Bin57",0.00395037172931609,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi"
"ASV_126","Bin113",0.00695333249241678,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,"Hyphomicrobiaceae bacterium"
