"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"Nodule","Heterogeneous.Selection","8.984125e-05","8.231800e-05","7.412727e-05","0.000000000","1.380255e-05","7.239722e-05","1.199224e-04","0.0003666786","0.000000000","1.380255e-05","7.239722e-05","1.199224e-04","0.0002603664","0.0003666786","0.0003129488",NA,NA,NA,NA
"Nodule","Homogeneous.Selection","9.972835e-01","9.972241e-01","7.347023e-04","0.995387515","9.967901e-01","9.972782e-01","9.978233e-01","0.9985793806","0.995387515","9.967901e-01","9.972782e-01","9.978233e-01","0.9985793806",NA,NA,NA,NA,NA,NA
"Nodule","Dispersal.Limitation","4.170089e-05","4.084214e-05","4.560765e-05","0.000000000","9.580701e-06","2.553264e-05","5.556611e-05","0.0002381111","0.000000000","9.580701e-06","2.553264e-05","5.556611e-05","0.0001182966","0.0002381111","0.0001448413","0.0001742173","0.0001533934","0.0002110845","0.0001518746"
"Nodule","Homogenizing.Dispersal","0.000000e+00","0.000000e+00","0.000000e+00","0.000000000","0.000000e+00","0.000000e+00","0.000000e+00","0.0000000000","0.000000000","0.000000e+00","0.000000e+00","0.000000e+00","0.0000000000",NA,NA,NA,NA,NA,NA
"Nodule","Drift.and.Others","2.584967e-03","2.652780e-03","7.231888e-04","0.001215886","2.097721e-03","2.575967e-03","3.117545e-03","0.0044941883","0.001215886","2.097721e-03","2.575967e-03","3.117545e-03","0.0044941883",NA,NA,NA,NA,NA,NA
"Nodule","Stochasticity","2.626668e-03","2.693623e-03","7.426811e-04","0.001279637","2.117118e-03","2.600322e-03","3.199362e-03","0.0046124849","0.001279637","2.117118e-03","2.600322e-03","3.199362e-03","0.0046124849",NA,NA,NA,NA,NA,NA
"Root","Heterogeneous.Selection","0.008563121","0.008679388","0.002266556","0.00382236","0.00724435","0.008553649","0.009798987","0.01564210","0.00382236","0.00724435","0.008553649","0.009798987","0.01290143","0.01392408","0.01450402","0.01564210",NA,NA,NA
"Root","Homogeneous.Selection","0.193186929","0.193878526","0.036084572","0.12201238","0.16953058","0.189605528","0.214072186","0.30780315","0.12201238","0.16953058","0.189605528","0.214072186","0.27887682","0.30486400","0.30780315","0.28179143",NA,NA,NA
"Root","Dispersal.Limitation","0.286598219","0.289167625","0.036263143","0.21473309","0.26125998","0.292838826","0.314536670","0.39244834","0.21473309","0.26125998","0.292838826","0.314536670","0.39244834",NA,NA,NA,NA,NA,NA
"Root","Homogenizing.Dispersal","0.020801953","0.019808374","0.007322308","0.01038535","0.01489946","0.017943769","0.022284800","0.04316438","0.01038535","0.01489946","0.017943769","0.022284800","0.03304360","0.03792765","0.04032861","0.04128379","0.0378684","0.04316438","0.03861004"
"Root","Drift.and.Others","0.490849778","0.488466086","0.045700510","0.40210769","0.45542861","0.488292418","0.514548678","0.61142978","0.40210769","0.45542861","0.488292418","0.514548678","0.59135059","0.61142978",NA,NA,NA,NA,NA
"Root","Stochasticity","0.798249950","0.797442085","0.037489850","0.67769284","0.77622312","0.802053462","0.825056125","0.87243061","0.70682972","0.77622312","0.802053462","0.825056125","0.87243061","0.68121192","0.67769284",NA,NA,NA,NA
"Rhizosphere","Heterogeneous.Selection","0.002185879","0.002181945","0.0005988994","0.000803869","0.001776127","0.002185126","0.00259491","0.003883069","0.000803869","0.001776127","0.002185126","0.00259491","0.003726582","0.003883069",NA,NA,NA,NA,NA
"Rhizosphere","Homogeneous.Selection","0.203708280","0.203757017","0.0322375726","0.131192795","0.179713318","0.202021937","0.22348775","0.290817270","0.131192795","0.179713318","0.202021937","0.22348775","0.264831944","0.290817270","0.2901872",NA,NA,NA,NA
"Rhizosphere","Dispersal.Limitation","0.187759732","0.187227935","0.0251993555","0.118361479","0.171861669","0.185534829","0.20202079","0.269873816","0.135957973","0.171861669","0.185534829","0.20202079","0.244221774","0.250762199","0.2698738","0.1183615",NA,NA,NA
"Rhizosphere","Homogenizing.Dispersal","0.041867745","0.041541182","0.0065474902","0.025394989","0.036896585","0.041112938","0.04544729","0.060620343","0.025394989","0.036896585","0.041112938","0.04544729","0.056712511","0.060620343",NA,NA,NA,NA,NA
"Rhizosphere","Drift.and.Others","0.564478363","0.565291921","0.0298477702","0.483787793","0.544384329","0.567730271","0.58489570","0.634109799","0.483787793","0.544384329","0.567730271","0.58489570","0.634109799",NA,NA,NA,NA,NA,NA
"Rhizosphere","Stochasticity","0.794105841","0.794061038","0.0324738269","0.705456148","0.774244534","0.797010892","0.81802026","0.867899827","0.732467614","0.774244534","0.797010892","0.81802026","0.867899827","0.705456148","0.7082220",NA,NA,NA,NA
"Rootzone","Heterogeneous.Selection","0.005427934","0.005601359","0.002022268","0.0005138531","0.004311045","0.005420067","0.006817768","0.01079729","0.001290611","0.004311045","0.005420067","0.006817768","0.01017037","0.0005138531","0.01079729",NA,NA,NA,NA
