"Group1","Group2","Heterogeneous.Selection_Relative.Diff","Heterogeneous.Selection_Cohen.d","Heterogeneous.Selection_Effect.Size","Heterogeneous.Selection_P.value","Homogeneous.Selection_Relative.Diff","Homogeneous.Selection_Cohen.d","Homogeneous.Selection_Effect.Size","Homogeneous.Selection_P.value","Dispersal.Limitation_Relative.Diff","Dispersal.Limitation_Cohen.d","Dispersal.Limitation_Effect.Size","Dispersal.Limitation_P.value","Homogenizing.Dispersal_Relative.Diff","Homogenizing.Dispersal_Cohen.d","Homogenizing.Dispersal_Effect.Size","Homogenizing.Dispersal_P.value","Drift.and.Others_Relative.Diff","Drift.and.Others_Cohen.d","Drift.and.Others_Effect.Size","Drift.and.Others_P.value","Stochasticity_Relative.Diff","Stochasticity_Cohen.d","Stochasticity_Effect.Size","Stochasticity_P.value"
"Nodule","Root","-0.989508352458943","-5.36125912925434","large","0","0.806286847308036","31.4779054533956","large","0","-0.999854497047912","-11.2755449707141","large","0","-1","-3.8257434007352","large","0","-0.994733690813815","-15.0317307029547","large","0","-0.996709467274664","-29.9740747653054","large","0"
"Nodule","Rhizosphere","-0.958899261245496","-4.92041772734161","large","0","0.795736837111025","34.7991632207339","large","0","-0.999777902927131","-10.5051135893229","large","0","-1","-8.97261408378674","large","0","-0.995420609782989","-26.6505150164072","large","0","-0.996692295349434","-34.4545151990959","large","0"
"Nodule","Rootzone","-0.983448353619222","-3.85698847408265","large","0","0.865145016123507","54.3750111988992","large","0","-0.999678459373865","-17.7262050510971","large","0","-1","-4.23641096460557","large","0","-0.996355703375856","-46.1789367336706","large","0","-0.99694603159238","-50.5685906101861","large","0"
"Nodule","Original","-0.983354033720882","-4.22236977228542","large","0","0.822800546521809","44.7702279866757","large","0","-0.999862056102323","-15.6935833044626","large","0","-1","-8.77576650308707","large","0","-0.994849417522421","-18.3141389618315","large","0","-0.996788462384398","-42.6242283762382","large","0"
"Nodule","Nodule_vs_Root","-0.995861985192728","-5.93779474236632","large","0","0.709100835928268","12.8738928053079","large","0","-0.999876776700607","-6.97034195528007","large","0","-1","-9.04257794299871","large","0","-0.992515120574892","-11.5528677529827","large","0","-0.99618316708214","-12.7386938831906","large","0"
"Nodule","Nodule_vs_Rhizosphere","-0.996740044333935","-6.89502713796321","large","0","0.820250298701952","18.1222669595949","large","0","-0.99990520451884","-11.8138352404274","large","0","-1","-6.37044336063972","large","0","-0.992507791636536","-14.6309433901873","large","0","-0.996688432546875","-17.3440551072991","large","0"
"Nodule","Nodule_vs_Rootzone","-0.994031519305669","-5.74207508444467","large","0","0.856178519169682","24.0623865866779","large","0","-0.999887597755678","-10.5826639594889","large","0","-1","-2.03133140617583","large","0.07999200079992","-0.994506025871774","-17.6109696501997","large","0","-0.99687865028793","-24.046639214847","large","0"
"Nodule","Nodule_vs_Original","-0.997368985730848","-7.60421973247795","large","0","0.916634818481696","43.4451778955523","large","0","-0.999916186993032","-23.5703111664945","large","0","-1","-2.14912234670088","large","0","-0.993277928794526","-23.6726745544011","large","0","-0.997024328657811","-39.5977194770067","large","0"
"Nodule","Root_vs_Rhizosphere","-0.989558931701991","-7.17239662201786","large","0","0.808700239819589","40.6873238712365","large","0","-0.999861906976042","-12.7876901270423","large","0","-1","-9.48162414915216","large","0","-0.99466459911253","-25.854198071351","large","0","-0.996719188893081","-40.1762027933888","large","0"
"Nodule","Root_vs_Rootzone","-0.995587546163209","-9.95925213578391","large","0","0.852148718732548","53.102070100507","large","0","-0.999852465036617","-15.4421212231843","large","0","-1","-3.13987537349903","large","0","-0.995277729293095","-31.3594380244017","large","0","-0.996843666600949","-50.2078083289347","large","0"
"Nodule","Root_vs_Original","-0.996913704003727","-11.3206017727758","large","0","0.888438963158318","89.1377139262195","large","0","-0.999894554673745","-22.3670599723428","large","0","-1","-3.93403076548502","large","0","-0.994382354494786","-28.1931199038457","large","0","-0.996944428890978","-76.8632403008243","large","0"
"Nodule","Rhizosphere_vs_Rootzone","-0.980982781185374","-6.69738162404969","large","0","0.83382991472065","56.342499770995","large","0","-0.999809947147457","-11.2595134713551","large","0","-1","-6.03519730251802","large","0","-0.995651722924417","-42.1886131248366","large","0","-0.996833650697578","-54.4244627788102","large","0"
"Nodule","Rhizosphere_vs_Original","-0.985172937869252","-8.13000855155027","large","0","0.844439955778489","62.3039170813977","large","0","-0.999877671723585","-17.1768726142641","large","0","-1","-6.3105160407642","large","0","-0.994658335633762","-28.1200058526325","large","0","-0.99686855344426","-60.8465199803811","large","0"
"Nodule","Rootzone_vs_Original","-0.984478323586093","-6.77551921205808","large","0","0.864483482354016","92.370889177125","large","0","-0.99985599836247","-14.6349261070877","large","0","-1","-6.38139468439714","large","0","-0.995425459721169","-35.222222705172","large","0","-0.996942405788516","-87.8823675054354","large","0"
"Root","Rhizosphere","0.74473335859669","3.91954583474323","large","9.99900009999e-05","-0.0516491081788716","-0.288716573437209","small","0.405059494050595","0.344867763416052","3.26466359155383","large","0.0098990100989901","-0.503150868005076","-3.12895338608345","large","0.0292970702929707","-0.130436505888285","-1.99047159272422","large","0.0921907809219078","0.00519149290647345","0.0964040532971872","negligible","0.457854214578542"
"Root","Rootzone","0.366126649899842","1.43304944669237","large","0.154284571542846","0.303841881656148","1.94294200214985","large","0.0681931806819318","0.547481903494817","6.02966543507612","large","0","-0.0129149413080447","-0.0322625228826627","negligible","0.463053694630537","-0.307997974425016","-6.20422824527308","large","0","-0.0718924069329528","-1.95317893538379","large","0.0697930206979302"
"Root","Original","0.369718323037896","1.69549347933098","large","0.11048895110489","0.0852482084168673","0.559092361790883","medium","0.363263673632637","-0.0519512099375098","-0.312575698012753","small","0.413258674132587","0.341264854135236","1.19382093692522","large","0.17018298170183","-0.0219749172549683","-0.411195900859276","small","0.374762523747625","-0.0240067844107517","-0.641908013174329","medium","0.338466153384662"
"Root","Nodule_vs_Root","-0.605589609155429","-3.22182513117437","large","0.0060993900609939","-0.334088314381692","-1.64540446791978","large","0.118788121187881","-0.153121654061311","-0.935323068510202","large","0.265473452654735","0.788281835372245","2.95688248532731","large","0","0.296406944309736","3.40064302223212","large","0.0091990800919908","0.137889240595784","1.87137987510367","large","0.0922907709229077"
"Root","Nodule_vs_Rhizosphere","-0.689280863343139","-4.39075007332467","large","0.0001999800019998","0.0720831352950036","0.310865676326194","small","0.375462453754625","-0.348497884065773","-3.30596564816706","large","0.0145985401459854","0.603155274940165","2.17912886435275","large","0.0073992600739926","0.297095204684152","3.50097621758737","large","0.0044995500449955","0.00635189471072859","0.0508775561195965","negligible","0.513148685131487"
"Root","Nodule_vs_Rootzone","-0.43112073952404","-2.0777195893404","large","0.0716928307169283","0.257554384760762","1.19927617165285","large","0.216078392160784","-0.227491657667271","-1.88633359372473","large","0.0961903809619038","0.999508197034583","3.82355180531587","large","0","0.0414390269644213","0.381905986824137","small","0.402159784021598","-0.0514150830236815","-1.05158462157784","large","0.239176082391761"
"Root","Nodule_vs_Original","-0.749227730072287","-5.36726717254788","large","0","0.569646250862128","3.40491904986727","large","0.007999200079992","-0.423977274924265","-6.25745641628765","large","0","0.970271183240889","3.70493986802763","large","0","0.216564504420022","2.80625664589518","large","0.0094990500949905","-0.0956870541729603","-2.51383562514176","large","0.035996400359964"
"Root","Root_vs_Rhizosphere","-0.00482090566330066","0.131283421011059","negligible","0.522547745225477","0.0124585887845748","0.00937397912624127","negligible","0.526247375262474","-0.0509263078385244","-0.393497949183322","small","0.389361063893611","0.320011467365034","1.00821632100922","large","0.225077492250775","0.0129496738376299","0.207745612798019","small","0.466253374662534","-0.00295442082731269","-0.0169967756096621","negligible","0.523047695230477"
"Root","Root_vs_Rootzone","-0.579431750873894","-4.47895140015117","large","0.000999900009999","0.236751458469317","1.56731409674114","large","0.123487651234877","0.0137730829947134","0.112398030768962","negligible","0.465253474652535","0.897146549505114","3.37414508531387","large","0","-0.103305457398194","-1.55048093182323","large","0.143585641435856","-0.0407834650150449","-1.14110102850968","large","0.205879412058794"
"Root","Root_vs_Original","-0.705833046316556","-6.79413765616627","large","0","0.424091574106572","3.0117636210697","large","0.0047995200479952","-0.275304557455727","-3.42683431584077","large","0.0096990300969903","0.807373731806599","2.99137082659395","large","0.0005999400059994","0.0625415609979822","0.807516014026755","large","0.300669933006699","-0.0714053425162801","-2.14940388669963","large","0.0415958404159584"
"Root","Rhizosphere_vs_Rootzone","0.4483079969092","2.28419191314601","large","0.0397960203979602","0.142184807948546","0.876369239277576","large","0.271872812718728","0.234407954731723","2.23673062441252","large","0.05999400059994","0.247228398278568","0.840261825243336","large","0.285071492850715","-0.174321726686736","-3.0204371646778","large","0.0243975602439756","-0.037739610354577","-0.975895078831073","large","0.247075292470753"
"Root","Rhizosphere_vs_Original","0.292398760554194","1.54085108372165","large","0.135486451354865","0.196956726687128","1.41300612840044","large","0.147885211478852","-0.159272889933462","-1.71260406817593","large","0.110988901109889","0.327723973443393","0.989916141569274","large","0.23997600239976","0.0141070600635338","0.182407261699765","negligible","0.475652434756524","-0.0483466304319451","-1.45706287363324","large","0.14028597140286"
"Root","Rootzone_vs_Original","0.324064794208908","1.51552856435653","large","0.138986101389861","0.300426864346801","2.05785230014282","large","0.0461953804619538","-0.01031810376657","0.0595840280477247","negligible","0.513848615138486","0.788458549947992","2.97660828697416","large","0","-0.13135744273596","-2.11179083957424","large","0.0820917908209179","-0.0707905173098107","-2.07724399361764","large","0.0461953804619538"
"Rhizosphere","Rootzone","-0.597290781568628","-2.29283134311091","large","0.0487951204879512","0.339797827620089","2.45799924667492","large","0.0333966603339666","0.309272126701099","3.0530621283202","large","0.0144985501449855","0.496650134028644","3.24964488071092","large","0.016998300169983","-0.204196093487244","-5.56205706552255","large","0","-0.0767106709188045","-2.2720425299818","large","0.045995400459954"
"Rhizosphere","Original","-0.594995934780033","-2.37429096301112","large","0.0540945905409459","0.132494322657161","0.938222228436287","large","0.262973702629737","-0.378902675775655","-4.28974795062132","large","0.0025997400259974","0.672708014562543","5.78104190866531","large","0","0.110898575657075","1.71408659496153","large","0.114288571142886","-0.0290736462662495","-0.815257199403413","large","0.291770822917708"
"Rhizosphere","Nodule_vs_Root","-0.89932018419454","-5.31333940705849","large","0","-0.297821416775862","-1.50918795419387","large","0.14008599140086","-0.445182695110672","-2.95144276028125","large","0.0127987201279872","0.894808013677142","7.97119695850825","large","0","0.388181164061235","6.24147993456496","large","0","0.133390242185409","1.8610757294095","large","0.0922907709229077"
"Rhizosphere","Nodule_vs_Rhizosphere","-0.920683769565867","-6.33187571907878","large","0","0.120009213821151","0.513813401629368","medium","0.321667833216678","-0.573179961648835","-6.09995713522712","large","9.99900009999e-05","0.802828042817257","6.94273147297606","large","0","0.388779650157271","6.84932718019835","large","0","0.00116645745988383","-0.0135901842147631","negligible","0.54014598540146"
"Rhizosphere","Nodule_vs_Rootzone","-0.854784101814303","-4.87243883749418","large","0","0.295901038659182","1.4765072549851","large","0.168883111688831","-0.493904881907801","-4.67514822161368","large","0.0004999500049995","0.99975564812352","8.97015910652267","large","0","0.166470370968057","2.72922590943651","large","0.0322967703229677","-0.0563396548913517","-1.18387660863028","large","0.217078292170783"
"Rhizosphere","Nodule_vs_Original","-0.935986204898468","-7.10741948238064","large","0","0.591873638206533","3.94778626432738","large","0.003999600039996","-0.622628943797953","-11.2186862373509","large","0","0.985229263197999","8.82757131235116","large","0","0.318753093052331","6.69734395947347","large","0","-0.100381788416453","-2.82664101429229","large","0.0273972602739726"
"Rhizosphere","Root_vs_Rhizosphere","-0.745963974993883","-5.04647071370572","large","0","0.0634642219635558","0.337588166834298","small","0.411958804119588","-0.378231229371267","-3.90289317944613","large","0.003999600039996","0.662148287793815","5.57775554749033","large","0","0.141697069518141","3.01401466185997","large","0.0214978502149785","-0.00813057587901841","-0.130087545213606","negligible","0.473952604739526"
"Rhizosphere","Root_vs_Rootzone","-0.892642955564708","-8.73564223292733","large","0","0.276172564958201","2.04948944688571","large","0.0684931506849315","-0.335718560011239","-3.83113340712386","large","0.0058994100589941","0.948897352398933","8.40725070182505","large","0","0.030256734262449","0.732796581966423","medium","0.29017098290171","-0.0457632308521913","-1.37946513515654","large","0.164083591640836"
"Rhizosphere","Root_vs_Original","-0.924908989721384","-10.3718163561765","large","0","0.453836730696666","3.71384705618033","large","0.0013998600139986","-0.525228653883776","-8.31003134751989","large","0","0.904293805848687","7.91350183399563","large","0","0.184820364196891","3.985565364619","large","0.0040995900409959","-0.076226135093596","-2.55423816397817","large","0.0240975902409759"
"Rhizosphere","Rhizosphere_vs_Rootzone","-0.537302262905382","-3.11586567029831","large","0.0142985701429857","0.186490197600291","1.31554793595093","large","0.178082191780822","-0.144280246074947","-1.14776713695983","large","0.207479252074793","0.625986083094278","5.05530216975635","large","9.99900009999e-05","-0.0504681039344703","-1.16721864949189","large","0.210878912108789","-0.0427351783416016","-1.20609828534032","large","0.200779922007799"
"Rhizosphere","Rhizosphere_vs_Original","-0.639250714705877","-4.52459644840709","large","0.0003999600039996","0.23843319558278","1.9120248914132","large","0.07999200079992","-0.44921256802535","-5.87492496869738","large","0","0.665980239744353","5.30643969833018","large","0","0.142703490328775","3.07843281593287","large","0.0183981601839816","-0.0532871321494792","-1.75193634878932","large","0.100889911008899"
"Rhizosphere","Rootzone_vs_Original","-0.622350427650007","-3.90078476333864","large","0.0070992900709929","0.336559192909185","2.6714081859462","large","0.0165983401659834","-0.35162748581395","-3.77317690056168","large","0.0103989601039896","0.894895814160712","7.96792869214784","large","0","-0.00105907947368039","0.0275076713774878","negligible","0.528047195280472","-0.0756145017478247","-2.48800476416404","large","0.023997600239976"
"Rootzone","Original","0.00566623149164863","0.181707069212729","negligible","0.456354364563544","-0.238965012422624","-1.6836754040056","large","0.117888211178882","-0.57099076612688","-8.36921976315808","large","0","0.349772379881626","1.34235910591429","large","0.151384861513849","0.292449613221845","6.49906873171536","large","0","0.0490634788821667","1.58344710307066","large","0.132686731326867"
"Rootzone","Nodule_vs_Root","-0.749993764241039","-4.07841929362893","large","0.0002999700029997","-0.536420173956776","-2.76890408237995","large","0.0246975302469753","-0.616772222924366","-4.29574473155849","large","0","0.79101616304226","3.28204356645289","large","0","0.513112180281844","11.215480098446","large","0","0.199868458132149","3.08372117400492","large","0.0135986401359864"
"Rootzone","Nodule_vs_Rhizosphere","-0.803043419907086","-5.18299674620536","large","0","-0.249762403483016","-0.881021882753906","large","0.273772622737726","-0.705183502628345","-8.19566160604134","large","0","0.60828050127272","2.41833550118735","large","0.0235976402359764","0.513588457855063","12.8589737266898","large","0","0.0777876486443424","1.31653660620735","large","0.161283871612839"
"Rootzone","Nodule_vs_Rootzone","-0.639402597359603","-3.175046981277","large","0.0101989801019898","-0.0623446296204081","-0.15046455062719","negligible","0.500849915008499","-0.650425995393219","-6.77588929343685","large","0","0.999514548641016","4.23401100451595","large","0","0.336673865022251","7.73389706541377","large","0","0.0215872333017314","0.393522589958304","small","0.438856114388561"
"Rootzone","Nodule_vs_Original","-0.841042141148699","-6.08094675199754","large","0","0.381816087756505","2.06095474574316","large","0.0772922707729227","-0.739339292905","-16.5267259885847","large","0","0.97065512916449","4.10290886290967","large","0","0.457861050151314","14.4906971816676","large","0","-0.0256378111953326","-0.915228922886057","large","0.245575442455754"
"Rootzone","Root_vs_Rhizosphere","-0.369182493523155","-1.5299078800949","large","0.144185581441856","-0.295059315551082","-2.29323265606785","large","0.0466953304669533","-0.570526979379943","-7.04155826627827","large","0","0.328793479354158","1.14083886846409","large","0.195980401959804","0.316959174951191","9.56469995724339","large","0","0.0691422614428945","2.33759296924107","large","0.0441955804419558"
"Rootzone","Root_vs_Rootzone","-0.733412994980677","-5.9084417810982","large","0","-0.0879011482318493","-0.494651826904416","small","0.370962903709629","-0.541162293684631","-7.91019349721865","large","0","0.898474895781585","3.73500118194056","large","9.99900009999e-05","0.22827452081162","7.14364228572279","large","0","0.0324316155771812","1.08969310182249","large","0.224977502249775"
"Rootzone","Root_vs_Original","-0.813535407579917","-8.03764352881743","large","0","0.17273330480796","1.28964105350589","large","0.185081491850815","-0.672062197793884","-13.9829992205235","large","0","0.809861488754704","3.30969202893466","large","0.000999900009999","0.351276861318241","11.2653774772688","large","0","0.000524517789056115","-0.0182901078991392","negligible","0.503849615038496"
"Rootzone","Rhizosphere_vs_Rootzone","0.129649474924877","0.570436719116799","medium","0.35016498350165","-0.188452099246461","-1.50552359965335","large","0.142985701429857","-0.408930514231489","-4.31076092966328","large","0.0002999700029997","0.256950399333163","0.945686166402438","large","0.250874912508749","0.161898710501206","5.55929200272736","large","0","0.0354922606665338","1.39316791454442","large","0.160783921607839"
"Rootzone","Rhizosphere_vs_Original","-0.104194121258735","-0.230491295254261","small","0.417458254174583","-0.133100118662443","-0.841549564088004","large","0.273272672732727","-0.619555768472387","-10.139266710073","large","0","0.336406378869177","1.11024038326878","large","0.214978502149785","0.317760088563889","9.9771360855129","large","0","0.0247419672476911","0.820730232079559","large","0.277772222777722"
"Rootzone","Rootzone_vs_Original","-0.0622276444998975","-0.192489555430271","negligible","0.426757324267573","-0.00488157296972031","-0.134671187931162","negligible","0.455454454554545","-0.552151032170808","-7.58825099351826","large","0","0.791190595359633","3.30097225049603","large","0.0001999800019998","0.203352380345512","6.59314103227609","large","0","0.00118583553404119","0.143249142744465","negligible","0.451354864513549"
"Original","Nodule_vs_Root","-0.751410357447205","-4.24615685509476","large","0","-0.390856092544509","-2.0261146750044","large","0.0747925207479252","-0.106714385572005","-0.793707538358904","medium","0.301269873012699","0.678598954440455","5.58494581123209","large","0","0.3118683434897","4.1287413381123","large","0.0031996800319968","0.158585747734991","2.3349765074481","large","0.0488951104889511"
"Original","Nodule_vs_Rhizosphere","-0.804159421483696","-5.34604088329784","large","0","-0.0141877722268246","-0.0292014633597081","negligible","0.535246475352465","-0.312796848892889","-3.33523873227544","large","0.0134986501349865","0.397565580717769","2.60077620329603","large","0.0328967103289671","0.312541479399338","4.34907609725744","large","0.000999900009999","0.03020619055456","0.478110703542085","small","0.396560343965603"
"Original","Nodule_vs_Rootzone","-0.64144582571825","-3.39675265309835","large","0.0058994100589941","0.188363857747345","0.87299925508111","large","0.278172182781722","-0.18515971917246","-1.80295818936349","large","0.105789421057894","0.999253413198758","8.76826446048536","large","0","0.0625033250307201","0.873387504718652","large","0.259474052594741","-0.0280824683769777","-0.631187838840025","medium","0.323567643235676"
"Original","Nodule_vs_Original","-0.841942833174368","-6.22965846672567","large","0","0.529540414025238","3.40548221566306","large","0.0146985301469853","-0.392412361986384","-6.95761670780679","large","0","0.954869848761319","8.24681013381092","large","0","0.233780434609997","3.72680613873086","large","0.0012998700129987","-0.0734434098693321","-2.24977535117749","large","0.0642935706429357"
"Original","Root_vs_Rhizosphere","-0.372756851543837","-1.87237034241527","large","0.0934906509349065","-0.073707916251032","-0.640747359812001","medium","0.326967303269673","0.00107989728031684","-0.123313764513647","negligible","0.537646235376462","-0.0312555076301736","-0.467223167487505","small","0.377862213778622","0.0346400230815375","0.760270276016896","medium","0.286971302869713","0.0211147454270922","0.741992583238221","medium","0.301869813018698"
"Original","Root_vs_Rootzone","-0.734923538663782","-6.33383026316976","large","0","0.165622250151866","1.21820680146846","large","0.197280271972803","0.0650087646060781","0.509855250201544","medium","0.35996400359964","0.843862209052374","6.68087912954062","large","0","-0.0831579287465249","-1.21324283015554","large","0.177382261773823","-0.0171893414178749","-0.580008365785842","medium","0.334566543345665"
"Original","Root_vs_Original","-0.814591959125565","-8.42056277825691","large","0","0.370421100901349","3.11330145255192","large","0.0125987401259874","-0.235592671874508","-3.72097915530842","large","0.0057994200579942","0.707581613942082","5.0944295130601","large","0.0022997700229977","0.0831421326250233","1.46218721300632","large","0.148285171482852","-0.0485644340026604","-1.84399636300055","large","0.0990900909909009"
"Original","Rhizosphere_vs_Rootzone","0.124689764503544","0.400741917344285","small","0.391660833916608","0.062242676161519","0.350857631413398","small","0.404659534046595","0.274181387801942","3.01455122262773","large","0.0171982801719828","-0.124920302043312","-0.555577522912089","medium","0.34966503349665","-0.155769838749099","-2.88393201638221","large","0.0327967203279672","-0.0140706161933045","-0.361018684806467","small","0.400559944005599"
"Original","Rhizosphere_vs_Original","-0.109269964739262","-0.500250509887127","medium","0.367663233676632","0.122118939036927","1.02033083584448","large","0.240875912408759","-0.113202697077308","-1.65396811134587","large","0.113988601139886","-0.0201418467369721","-0.31376632657019","small","0.422957704229577","0.0357719758408951","0.745682819628638","medium","0.298570142985701","-0.0249385401787843","-0.956289765098041","large","0.254574542545745"
"Original","Rootzone_vs_Original","-0.0675412797526297","-0.443159380424414","small","0.378162183781622","0.235231740358257","1.86460675417663","large","0.0988901109889011","0.0420671594876987","0.435382614827223","small","0.374962503749625","0.678867217910009","5.46885804463759","large","0","-0.111840204725616","-1.84653094495458","large","0.0901909809019098","-0.0479344857646512","-1.7554224511609","large","0.109489051094891"
"Nodule_vs_Root","Nodule_vs_Rhizosphere","-0.212193329918356","-1.16250979250214","large","0.206479352064794","0.38208931651064","1.62676633733713","large","0.118988101189881","-0.230701647930206","-1.5878674442352","large","0.134586541345865","-0.466496210587573","-2.72990309996754","large","0.0146985301469853","0.000978208026428834","-0.213564507526112","small","0.572342765723428","-0.132378198262415","-1.55106285763406","large","0.128687131286871"
"Nodule_vs_Root","Nodule_vs_Rootzone","0.306688750589039","1.41691882349981","large","0.158084191580842","0.505596788876117","2.3268256038363","large","0.0506949305069493","-0.0878166314708725","-0.503770083185617","medium","0.349165083491651","0.997677086582147","9.0188555018505","large","0","-0.265990296410545","-3.34032933764792","large","0.0133986601339866","-0.182214736866161","-2.4695894986358","large","0.0402959704029597"
"Nodule_vs_Root","Nodule_vs_Original","-0.364184423765506","-2.27066956456903","large","0.050994900509949","0.713422409499441","3.61697795591363","large","0.0047995200479952","-0.319828251793042","-2.93165486959784","large","0.0251974802519748","0.859583060284974","6.80244683406135","large","0","-0.101913227496293","-1.39666844551916","large","0.153284671532847","-0.220382079533987","-3.42738598264562","large","0.006999300069993"
"Nodule_vs_Root","Root_vs_Rhizosphere","0.603678982919701","3.42748225660119","large","0.0034996500349965","0.342384634239653","1.71298888352893","large","0.111488851114889","0.107679042277571","0.697653609846436","medium","0.33026697330267","-0.688644507272287","-6.2402696186366","large","0","-0.287176107396855","-4.06120644815441","large","0.0063993600639936","-0.140436278578818","-1.96837131834924","large","0.0798920107989201"
"Nodule_vs_Root","Root_vs_Rootzone","0.0621964647495106","0.256074161785432","small","0.444855514448555","0.491743877163587","2.57109542831029","large","0.0340965903409659","0.16478577980635","1.05584312052681","large","0.234276572342766","0.514196381421856","2.64492883403266","large","0.0344965503449655","-0.369091946750011","-6.03668645850197","large","9.99900009999e-05","-0.17304910459104","-2.63056282602892","large","0.0314968503149685"
"Nodule_vs_Root","Root_vs_Original","-0.254160233827691","-1.82477069834168","large","0.106089391060894","0.616495849351521","3.27007552876973","large","0.0114988501149885","-0.144274445060922","-1.06050857795581","large","0.232676732326767","0.0901759963200176","0.360923910266913","small","0.343165683431657","-0.249467468190609","-3.56140461054833","large","0.0125987401259874","-0.199448554658013","-3.17297330326598","large","0.0113988601139886"
"Nodule_vs_Root","Rhizosphere_vs_Rootzone","0.782406941435133","4.56290093243555","large","0","0.428770839512023","2.20916199412563","large","0.0572942705729427","0.351636675039383","2.3482083671141","large","0.0363963603639636","-0.718748470128789","-4.17030224360848","large","0","-0.419058500662459","-7.8533718764245","large","0","-0.170424964738188","-2.54400990524399","large","0.035996400359964"
"Nodule_vs_Root","Rhizosphere_vs_Original","0.720914718588077","4.20463115853458","large","0","0.465244100243782","2.48696229944939","large","0.0380961903809619","-0.0072634232551231","-0.0783952257631795","negligible","0.448955104489551","-0.685072565041218","-4.24507596175919","large","0","-0.286339289806045","-4.18342239690061","large","0.004999500049995","-0.179569390872103","-2.80857351055891","large","0.0227977202279772"
