"","bin.id.strict","bin.id.united","bin.id.new"
"ASV_3817",1,"9820",126
"ASV_15981",2,"9820",126
"ASV_20094",6356,"9820",126
"ASV_29162",6356,"9820",126
"ASV_15943",5,"6388",52
"ASV_9934",6,"6388",52
"ASV_9538",7,"6388",52
"ASV_218",8,"6388",52
"ASV_8057",9,"6388",52
"ASV_15582",10,"6388",52
"ASV_25047",11,"6388",52
"ASV_13551",12,"6388",52
"ASV_45331",13,"6388",52
"ASV_46572",14,"6426",53
"ASV_25510",15,"6426",53
"ASV_43582",16,"6426",53
"ASV_37494",17,"6426",53
"ASV_2113",18,"6426",53
"ASV_55709",19,"6426",53
"ASV_13485",20,"6426",53
"ASV_2930",21,"6426",53
"ASV_55941",22,"6426",53
"ASV_26859",23,"6426",53
"ASV_9058",24,"6426",53
"ASV_7716",25,"6426",53
"ASV_49987",26,"6426",53
"ASV_1186",27,"6426",53
"ASV_37690",28,"6426",53
"ASV_17041",29,"6426",53
"ASV_7334",30,"6426",53
"ASV_4099",31,"6426",53
"ASV_22477",32,"6426",53
"ASV_55582",33,"6426",53
"ASV_6479",34,"6426",53
"ASV_18725",35,"6426",53
"ASV_1917",36,"6426",53
"ASV_5152",37,"6426",53
"ASV_113",38,"6426",53
"ASV_856",39,"6426",53
"ASV_18011",40,"6426",53
"ASV_1280",41,"6426",53
"ASV_3744",42,"6426",53
"ASV_11611",43,"6477",54
"ASV_35859",44,"6477",54
"ASV_55357",45,"6477",54
"ASV_492",46,"6477",54
"ASV_42304",47,"6477",54
"ASV_37636",48,"6477",54
"ASV_12193",49,"6477",54
"ASV_40606",50,"6477",54
"ASV_9059",51,"6477",54
"ASV_1360",52,"6477",54
"ASV_2849",53,"6477",54
"ASV_43467",54,"6477",54
"ASV_10836",55,"6477",54
"ASV_6657",56,"6477",54
"ASV_25396",57,"6477",54
"ASV_46970",58,"6477",54
"ASV_20495",59,"6477",54
"ASV_365",60,"6477",54
"ASV_33648",61,"6477",54
"ASV_23326",62,"6477",54
"ASV_37846",63,"6477",54
"ASV_9894",64,"6477",54
"ASV_35888",65,"6477",54
"ASV_2329",66,"6477",54
"ASV_54600",67,"6477",54
"ASV_20629",68,"6477",54
"ASV_9232",69,"6477",54
"ASV_5511",70,"6477",54
