ASV	CK.N.1	CK.N.2	CK.N.3	CK.N.4	CK.N.5	CK.RT.1	CK.RT.2	CK.RT.3	CK.RT.4	CK.RT.5	CK.RH.1	CK.RH.2	CK.RH.3	CK.RH.4	CK.RH.5	CK.Z.1	CK.Z.2	CK.Z.3	CK.Z.4	CK.Z.5	CK.O.1	CK.O.2	CK.O.3	CK.O.4	CK.O.5	M.N.1	M.N.2	M.N.3	M.N.4	M.N.5	M.RT.1	M.RT.2	M.RT.3	M.RT.4	M.RT.5	M.RH.1	M.RH.2	M.RH.3	M.RH.4	M.RH.5	M.Z.1	M.Z.2	M.Z.3	M.Z.4	M.Z.5	M.O.1	M.O.2	M.O.3	M.O.4	M.O.5	N0.N.1	N0.N.2	N0.N.3	N0.N.4	N0.N.5	N0.RT.1	N0.RT.2	N0.RT.3	N0.RT.4	N0.RT.5	N0.RH.1	N0.RH.2	N0.RH.3	N0.RH.4	N0.RH.5	N0.Z.1	N0.Z.2	N0.Z.3	N0.Z.4	N0.Z.5	N0.O.1	N0.O.2	N0.O.3	N0.O.4	N0.O.5	N2.N.1	N2.N.2	N2.N.3	N2.N.4	N2.N.5	N2.RT.1	N2.RT.2	N2.RT.3	N2.RT.4	N2.RT.5	N2.RH.1	N2.RH.2	N2.RH.3	N2.RH.4	N2.RH.5	N2.Z.1	N2.Z.2	N2.Z.3	N2.Z.4	N2.Z.5	N2.O.1	N2.O.2	N2.O.3	N2.O.4	N2.O.5	N4.N.1	N4.N.2	N4.N.3	N4.N.4	N4.N.5	N4.RT.1	N4.RT.2	N4.RT.3	N4.RT.4	N4.RT.5	N4.RH.1	N4.RH.2	N4.RH.3	N4.RH.4	N4.RH.5	N4.Z.1	N4.Z.2	N4.Z.3	N4.Z.4	N4.Z.5	N4.O.1	N4.O.2	N4.O.3	N4.O.4	N4.O.5	N6.N.1	N6.N.2	N6.N.3	N6.N.4	N6.N.5	N6.RT.1	N6.RT.2	N6.RT.3	N6.RT.4	N6.RT.5	N6.RH.1	N6.RH.2	N6.RH.3	N6.RH.4	N6.RH.5	N6.Z.1	N6.Z.2	N6.Z.3	N6.Z.4	N6.Z.5	N6.O.1	N6.O.2	N6.O.3	N6.O.4	N6.O.5	NPK.N.1	NPK.N.2	NPK.N.3	NPK.N.4	NPK.N.5	NPK.RT.1	NPK.RT.2	NPK.RT.3	NPK.RT.4	NPK.RT.5	NPK.RH.1	NPK.RH.2	NPK.RH.3	NPK.RH.4	NPK.RH.5	NPK.Z.1	NPK.Z.2	NPK.Z.3	NPK.Z.4	NPK.Z.5	NPK.O.1	NPK.O.2	NPK.O.3	NPK.O.4	NPK.O.5
ASV_1	3630	3649	3621	3339	3629	501	449	467	2047	498	164	905	1158	329	802	324	314	607	476	459	51	44	29	37	43	3630	3646	3637	3598	3648	784	1108	1008	1637	905	2219	3368	2692	1514	1888	704	548	485	568	400	38	24	28	32	53	3635	3645	3649	3656	3651	835	2998	1313	492	2752	706	1760	2635	871	1168	499	571	851	1041	833	51	49	22	46	45	3651	3627	3638	3645	3646	1508	771	627	2085	634	242	823	340	353	211	231	234	192	227	199	69	65	43	43	51	3660	3659	3653	3663	3648	1343	1340	872	998	1360	227	264	183	953	207	179	214	236	193	180	37	37	19	28	12	3651	3652	3640	3622	3596	268	1176	429	1311	1870	218	1728	1155	256	378	193	229	338	449	275	23	16	14	16	28	3649	3633	3641	3646	3629	387	964	1213	609	394	1759	180	149	586	651	199	197	234	129	155	16	24	21	16	20
ASV_6	1	0	1	1	1	120	60	114	62	35	255	409	173	301	164	51	58	82	61	55	62	32	56	47	44	1	1	1	1	1	288	140	205	115	135	64	30	99	192	229	66	79	98	59	45	52	36	54	58	52	0	0	0	1	0	126	47	368	383	49	982	497	241	485	296	65	86	87	64	84	34	58	18	37	40	1	0	0	1	0	74	45	146	41	156	167	364	239	313	274	63	48	69	45	53	50	44	50	57	53	0	1	1	0	1	98	103	90	266	213	339	495	410	201	324	52	62	51	64	37	41	25	20	23	12	1	0	0	2	4	80	147	92	194	149	236	166	97	299	362	75	76	60	66	54	14	13	7	18	38	1	1	1	1	1	189	160	176	258	75	117	339	336	221	237	72	36	76	42	61	22	33	41	31	23
ASV_8	1	1	1	1	0	68	98	96	15	11	147	185	193	291	114	134	185	247	126	231	118	127	156	272	201	1	1	1	1	1	108	79	52	89	94	122	64	259	523	362	297	355	443	377	398	195	167	146	178	148	0	0	0	0	0	33	5	2	67	0	270	298	77	442	257	162	112	92	65	99	28	33	25	42	21	0	0	0	0	0	62	32	61	47	42	614	288	490	471	324	110	97	131	106	120	149	188	124	123	102	0	0	1	0	0	77	35	53	61	67	414	361	415	153	307	110	101	86	109	96	170	148	92	68	42	0	1	0	0	1	78	66	199	56	26	310	330	248	401	284	89	80	88	61	74	55	53	26	60	85	1	0	1	0	0	25	72	51	89	57	222	442	444	405	434	165	101	145	158	173	108	90	179	92	65
ASV_14	0	0	0	0	0	6	0	0	0	0	2	3	2	1	1	8	8	21	6	10	377	481	475	171	249	0	0	0	0	0	1	1	0	1	0	5	1	0	3	3	12	16	8	12	11	615	517	602	547	314	0	0	0	0	0	0	0	0	0	0	12	7	3	43	19	51	81	110	121	81	54	53	306	85	173	0	0	0	0	0	19	0	0	3	0	28	29	29	17	36	109	95	134	137	127	335	360	361	251	202	0	0	0	0	0	8	10	1	7	0	41	45	65	150	110	167	169	219	238	243	635	955	824	689	1353	0	0	0	0	0	3	15	0	2	0	34	24	57	63	68	153	135	215	286	155	1299	1427	1903	1132	769	0	0	0	0	0	3	3	1	1	0	5	10	11	16	7	49	37	44	33	31	998	846	645	973	1129
ASV_38	0	0	0	0	0	15	11	28	18	7	69	113	46	82	39	0	20	0	0	0	0	11	0	12	11	0	0	0	0	0	70	36	43	23	27	0	10	31	51	69	0	0	30	0	21	0	16	11	0	15	0	0	0	0	0	27	0	99	91	5	282	141	71	125	103	0	0	0	0	0	11	0	0	0	19	0	0	0	0	0	13	6	18	15	32	46	95	64	83	76	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	36	41	26	65	47	77	121	101	50	78	0	19	0	0	0	14	8	0	0	0	0	0	0	0	0	10	0	18	17	21	53	41	20	66	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	52	49	71	13	35	94	88	66	71	0	14	0	14	19	7	0	11	0	0
ASV_45	0	0	1	0	0	62	84	51	8	36	14	37	10	15	13	4	8	0	0	8	0	1	0	20	1	0	0	0	0	0	48	51	34	9	71	10	5	9	34	22	3	9	8	0	3	1	3	0	0	0	0	0	0	0	0	88	12	122	179	26	65	57	30	63	57	9	5	0	0	0	3	6	0	1	0	0	0	0	0	0	0	85	0	9	6	26	32	32	42	21	4	4	2	0	4	0	0	0	0	0	0	0	0	0	0	8	14	16	7	28	18	16	17	11	13	5	3	2	0	2	0	0	0	0	0	0	0	0	1	0	95	6	32	22	20	25	12	59	25	19	8	12	0	10	0	0	0	0	0	2	0	0	1	0	0	92	38	95	33	42	29	43	42	24	42	8	5	12	4	6	2	0	5	0	1
ASV_46	0	0	0	0	0	25	0	8	8	18	9	14	8	21	6	44	41	71	41	40	11	11	17	5	16	0	0	0	0	0	63	40	26	32	88	6	4	7	16	8	134	121	120	150	139	38	35	40	42	41	0	0	0	0	0	48	8	59	40	9	20	12	6	17	18	62	62	66	90	37	7	10	12	11	14	0	0	0	0	0	82	44	7	31	18	24	26	22	17	46	66	72	66	76	83	20	35	32	21	27	0	0	0	0	0	36	58	40	25	37	20	19	28	37	43	56	57	58	76	70	17	11	15	32	9	0	0	0	0	1	22	55	33	58	29	30	7	12	29	41	65	80	79	51	85	15	19	22	21	22	0	0	0	0	0	71	54	25	55	70	12	19	28	22	19	60	56	57	60	61	22	30	21	24	19
ASV_57	1	1	1	1	0	46	0	1	33	462	1208	275	65	208	1251	5	0	7	8	0	0	0	0	0	0	1	1	0	0	0	1	3	1	0	8	6	2	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	6	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0
ASV_70	0	0	0	0	0	19	9	5	0	6	41	68	60	193	40	119	143	149	121	118	132	106	131	40	129	0	0	0	0	0	13	0	9	6	0	23	5	31	68	71	54	74	74	59	68	130	121	83	111	110	0	0	0	0	0	5	0	0	0	0	21	17	7	51	25	89	114	69	67	79	163	164	175	235	176	0	0	0	0	0	0	0	7	4	0	50	27	43	38	27	34	35	28	0	32	86	92	112	144	178	0	0	0	0	0	0	1	0	0	6	37	17	16	34	26	24	28	34	42	36	80	73	43	52	26	0	0	0	0	0	3	0	10	1	3	14	14	12	22	30	23	31	19	29	0	26	0	15	39	36	0	0	0	0	0	0	0	2	6	0	38	68	67	75	60	46	46	46	41	41	40	73	64	54	33
ASV_75	0	0	1	0	0	25	7	79	0	35	44	195	770	123	133	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	16	0	0	4	7	7	0	41	19	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	21	5	15	11	46	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25	14	18	17	48	0	2	3	2	3	0	0	0	0	0	0	0	0	0	0	14	1	14	177	41	43	14	18	33	39	8	0	4	0	4	0	0	0	0	0	0	0	0	0	0	6	19	6	313	5	19	55	106	30	8	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	8	0	4	15	13	10	17	0	3	5	0	4	0	0	0	0	0
