sample	TN	NH4_N	NO3_N	MBN	TC	OM	MBC	TP	AP	TK	AK	pH	APP	LAP	NAG	Urease	BG	CBH	BX	AKP	EMF
N0.O.1	1.124672747	0.796398467	11.46394636	8.550804598	16.47857189	18.19851644	113.8979932	1.552706553	52.9	20.02442002	120	8.11	1.920858351	1.287377941	0.00494039	0.153350939	0.011636186	0.010809265	0.00482943	0.059233382	-0.273594735
N0.O.2	1.109150505	0.922145594	11.20197318	8.718467433	16.03424311	17.43639923	108.6411628	1.573398216	52.1	20.1135442	120	8.1	0.256402401	0.951537203	0.005924752	0.158168949	0.009338685	0.009346654	0.007995035	0.06241588	-0.321117081
N0.O.3	1.110307729	0.953582375	11.30676245	9.389118774	16.13422871	17.336625	113.8979932	1.567256273	50.3	20.0740436	119	8.03	0.085018507	1.084967515	0.004821331	0.153513206	0.009109372	0.008868732	0.005392078	0.052342077	-0.371243004
N0.O.4	1.150425977	0.838314176	11.36963602	8.718467433	16.46581769	17.92855566	115.65027	1.527609835	52.7	20.15316405	120	8	0.449421603	1.035590347	0.005327318	0.150646419	0.007412271	0.008960286	0.005688205	0.029506364	-0.392166303
N0.O.5	1.132215118	0.78591954	11.12862069	8.969961686	16.34610534	17.97550464	122.6593773	1.582955949	50.1	20.25524907	120	7.99	0.360681637	1.52094194	0.00565362	0.151775518	0.009031229	0.007878001	0.004076527	0.07447219	-0.259851215
N2.O.1	1.353230692	1.151430636	28.74351156	11.32416185	18.58348131	22.78202996	167.8111371	1.174960506	31.8	20.22116904	94	7.54	0.339141197	0.676292854	0.003382716	0.259890157	0.004557887	0.008131	0.004070004	0.091038462	0.008537377
N2.O.2	1.336027092	1.352138728	29.74705202	12.42277457	18.19019675	23.17222252	155.4461059	1.201641266	31	20.63305979	94	7.55	0.292128354	0.736967397	0.003039753	0.256970227	0.005713409	0.008920349	0.004742394	0.077593957	0.025622568
N2.O.3	1.323506093	1.352138728	29.03929191	12.59179191	18.24356556	23.5883546	151.9132399	1.209072978	31.6	19.72386588	93	7.6	6.530287116	0.431430014	0.00193455	0.256237442	0.003230583	0.010934601	0.01558906	0.056455119	0.046004485
N2.O.4	1.332627094	1.172557803	28.83858382	12.42277457	18.26255202	23.19222418	158.9789719	1.191860465	31.9	19.68992248	94	7.57	3.179865286	0.548734399	0.001688613	0.239202844	0.003503789	0.006638888	0.01096452	0.05010226	-0.11171926
N2.O.5	1.335964507	1.225375723	29.55690751	11.15514451	18.40659618	23.75616884	176.6433022	1.158346334	32.3	19.50078003	95	7.53	5.821136861	2.07726536	0.001812416	0.25831144	0.003716222	0.02501296	0.024350054	0.098389434	0.405291893
N4.O.1	1.561654812	1.232948718	21.47211538	13.12358974	19.15786409	25.80377952	160.7447234	1.271186441	41.9	20.17362547	123	7.86	4.108568044	1.331297564	0.00418771	0.263716822	0.015249289	0.011068058	0.01508884	0.056140094	0.380362612
N4.O.2	1.55946762	1.138910256	21.63929487	12.53846154	19.20727396	25.00745019	167.7336244	1.271699637	41.4	19.86273718	122	7.88	3.636381993	1.089358518	0.004834317	0.268866975	0.009142811	0.01164381	0.014171332	0.072393956	0.346804875
N4.O.3	1.583918786	1.337435897	21.4825641	13.04	19.12223482	25.44755918	169.4808497	1.266474465	42.9	20.09884679	120	7.89	4.073610819	0.603639695	0.004952588	0.264363298	0.007429175	0.01145878	0.01719813	0.062067138	0.349487587
N4.O.4	1.564406013	1.358333333	21.14820513	12.95641026	19.15993357	24.98855023	158.9974981	1.234817814	42.6	19.91902834	124	7.9	4.025937186	0.914818059	0.004446604	0.26623426	0.012520744	0.010766997	0.01666071	0.052044188	0.313241371
N4.O.5	1.528199172	1.337435897	21.44076923	12.28769231	19.08560658	25.35328211	190.4475527	1.233416252	44.6	20.23217247	124	7.87	3.492433289	1.264478044	0.004549145	0.258807098	0.008894302	0.010083438	0.015274891	0.058285824	0.367047909
N6.O.1	1.570665246	1.461361607	20.04904018	12.61607143	18.77264166	23.76030191	165.2557727	1.217228464	38.6	20.47440699	105	7.55	4.786141983	1.970995206	0.008293104	0.314190196	0.024717205	0.014666409	0.023240884	0.067451049	0.605179517
N6.O.2	1.497297293	1.198526786	20.02801339	12.53196429	18.00324941	24.58651044	165.2557727	1.194241687	38	20.2757502	105	7.58	5.183290494	1.945427345	0.008853039	0.319892395	0.023104895	0.016878138	0.024000338	0.057117767	0.561954175
N6.O.3	1.553301085	1.1775	20.0175	12.53196429	19.01136703	24.62158392	165.2557727	1.186198448	38.1	20.08983258	104	7.53	4.650908295	1.894211602	0.008269526	0.316867617	0.023316737	0.017839606	0.022626693	0.077561432	0.604380524
N6.O.4	1.517649001	1.188013393	19.69158482	13.03660714	18.27470565	24.6026169	151.1914516	1.171171171	39.4	20.14742015	104	7.52	5.052039623	1.983913891	0.008947777	0.315057254	0.024164691	0.019458845	0.027772187	0.069987572	0.612689452
N6.O.5	1.492331034	1.293147321	20.17520089	11.35446429	18.17473197	23.64314878	186.3522543	1.195562859	38	20.37797864	104	7.51	5.690345243	2.152451589	0.008294199	0.308932288	0.023835281	0.016678912	0.039323248	0.061979895	0.670505282
N0.Z.1	1.070376113	2.640466926	8.152723735	17.43564626	16.60947084	17.14045192	171.4660581	1.28443927	36.75	18.81422925	86	7.77	8.771670776	3.996117745	0.009918636	0.173333333	0.023152233	0.018646459	0.016819326	0.05378476	0.24174438
N0.Z.2	1.117382273	2.851755319	7.184441489	18.32983957	16.22627854	17.63044187	191.3869013	1.330039526	38.25	18.71530531	85	7.84	6.926695712	3.62478859	0.008105864	0.182916667	0.015014628	0.011478897	0.013912357	0.017233348	0.024540671
N0.Z.3	1.088482067	3.297678571	4.219553571	16.84737864	15.5025816	17.84545484	158.7017267	1.353174603	35.25	18.88888889	86	7.92	13.69494171	2.921073165	0.008321383	0.176666667	0.022690028	0.014376841	0.014692402	0.068767325	0.195649549
N0.Z.4	1.111174151	2.254071429	7.788321429	14.00629213	16.79243684	18.27264049	177.5157583	1.323587515	36.25	18.74596298	86	7.85	9.018672011	3.039337742	0.00824043	0.1975	0.01941317	0.014361684	0.014111173	0.059652117	0.106999952
N0.Z.5	1.114396453	3.102012579	6.942327044	12.53855908	16.41051531	17.68004757	128.2813083	1.396218984	38.75	18.91946833	89	7.83	9.703292942	2.775623719	0.006612818	0.196666667	0.0143534	0.007506338	0.014002428	0.040665226	-0.09305673
N2.Z.1	1.421170086	2.309877551	8.581836735	17.38378378	18.47234607	23.74271469	202.6565565	1.347678369	33	18.57153643	82	7.9	0.603928252	1.080641906	0.003286209	0.268333333	0.004219469	0.002067817	0.001513495	0.018309045	-0.245032196
N2.Z.2	1.41206786	3.003855422	9.183373494	21.29081851	18.44536662	23.71713874	206.856812	1.351778656	33.25	18.97075099	82	7.84	0.297871985	1.145791266	0.002894421	0.265416667	0.004376536	0.002827779	0.002076152	0.020948828	-0.119815709
N2.Z.3	1.418344378	3.128571429	7.055357143	18.73047273	18.58927965	23.83577632	188.3843764	1.354206685	32.5	19.05339992	82	7.81	1.060530019	1.200117586	0.002644899	0.2525	0.009578152	0.001481423	0.002199811	0.041820304	-0.12570577
N2.Z.4	1.393161863	2.363428571	4.871885714	18.07327731	18.33730578	23.55337487	229.7691087	1.346767757	33.25	18.81458252	81	7.88	0.98879499	1.118283498	0.002849609	0.259583333	0.00746967	0.001726424	0.002489981	0.042476419	-0.156720739
N2.Z.5	1.425661147	3.129	5.86425	21.76101266	18.98978114	24.21162187	220.8911574	1.371031746	33	18.72857143	82	7.89	0.498053274	1.166587633	0.002731765	0.23375	0.004431466	0.002147462	0.002091499	0.039820517	-0.096473887
N4.Z.1	1.532122046	2.948101266	7.493987342	16.20218182	19.2419064	25.17598651	171.6512548	1.344949099	34.25	18.79248238	83	7.89	6.232266718	3.870651781	0.009163639	0.28375	0.014217832	0.016487502	0.015766708	0.03937001	0.47599042
N4.Z.2	1.559251249	3.668421053	11.31282895	21.69230769	18.92395434	24.74914961	207.3854693	1.33967499	34.75	19.02338486	82	7.82	5.553310215	3.757047815	0.009036746	0.2675	0.013891367	0.016106412	0.014823074	0.028007914	0.598666075
N4.Z.3	1.606247276	3.873043478	14.70047826	17.89333333	19.25991774	24.60753169	176.5387484	1.369188337	34.75	18.59574468	83	7.83	7.248522515	3.237189141	0.00960656	0.263333333	0.019255138	0.010751818	0.014484112	0.062657659	0.582572982
N4.Z.4	1.599273533	3.040404624	13.32881503	19.448	19.58351016	24.93201085	197.9549244	1.373970992	33.75	19.04603175	83	7.85	6.45548076	2.64322268	0.009534634	0.25625	0.021391991	0.011255964	0.014450849	0.060425182	0.584339405
N4.Z.5	1.486248523	3.564593301	14.94617225	21.87111111	18.81153464	24.35147545	186.5634211	1.347140039	35.75	19.16298116	84	7.91	7.515352426	2.60230108	0.009670132	0.257083333	0.019523783	0.009458008	0.016336309	0.060866066	0.593167243
N6.Z.1	1.383305043	3.005506073	8.06888664	18.8	17.19539762	22.97162329	200.0547903	1.203327922	35.75	18.82954545	91	7.93	0.603586236	0.725600231	0.011808835	0.32625	0.011462237	0.004714822	0.002531759	0.092001448	0.172553055
