ID,Group,Location,Nitrogen,One
N0.O.1,N0.O,Original,N0,One
N0.O.2,N0.O,Original,N0,One
N0.O.3,N0.O,Original,N0,One
N0.O.4,N0.O,Original,N0,One
N0.O.5,N0.O,Original,N0,One
N0.Z.1,N0.Z,Bulksoil,N0,One
N0.Z.2,N0.Z,Bulksoil,N0,One
N0.Z.3,N0.Z,Bulksoil,N0,One
N0.Z.4,N0.Z,Bulksoil,N0,One
N0.Z.5,N0.Z,Bulksoil,N0,One
N0.RH.1,N0.RH,Rhizosphere,N0,One
N0.RH.2,N0.RH,Rhizosphere,N0,One
N0.RH.3,N0.RH,Rhizosphere,N0,One
N0.RH.4,N0.RH,Rhizosphere,N0,One
N0.RH.5,N0.RH,Rhizosphere,N0,One
N0.RT.1,N0.RT,Root,N0,One
N0.RT.2,N0.RT,Root,N0,One
N0.RT.3,N0.RT,Root,N0,One
N0.RT.4,N0.RT,Root,N0,One
N0.RT.5,N0.RT,Root,N0,One
N0.N.1,N0.N,Nodule,N0,One
N0.N.2,N0.N,Nodule,N0,One
N0.N.3,N0.N,Nodule,N0,One
N0.N.4,N0.N,Nodule,N0,One
N0.N.5,N0.N,Nodule,N0,One
N2.O.1,N2.O,Original,N2,One
N2.O.2,N2.O,Original,N2,One
N2.O.3,N2.O,Original,N2,One
N2.O.4,N2.O,Original,N2,One
N2.O.5,N2.O,Original,N2,One
N2.Z.1,N2.Z,Bulksoil,N2,One
N2.Z.2,N2.Z,Bulksoil,N2,One
N2.Z.3,N2.Z,Bulksoil,N2,One
N2.Z.4,N2.Z,Bulksoil,N2,One
N2.Z.5,N2.Z,Bulksoil,N2,One
N2.RH.1,N2.RH,Rhizosphere,N2,One
N2.RH.2,N2.RH,Rhizosphere,N2,One
N2.RH.3,N2.RH,Rhizosphere,N2,One
N2.RH.4,N2.RH,Rhizosphere,N2,One
N2.RH.5,N2.RH,Rhizosphere,N2,One
N2.RT.1,N2.RT,Root,N2,One
N2.RT.2,N2.RT,Root,N2,One
N2.RT.3,N2.RT,Root,N2,One
N2.RT.4,N2.RT,Root,N2,One
N2.RT.5,N2.RT,Root,N2,One
N2.N.1,N2.N,Nodule,N2,One
N2.N.2,N2.N,Nodule,N2,One
N2.N.3,N2.N,Nodule,N2,One
N2.N.4,N2.N,Nodule,N2,One
N2.N.5,N2.N,Nodule,N2,One
N4.O.1,N4.O,Original,N4,One
N4.O.2,N4.O,Original,N4,One
N4.O.3,N4.O,Original,N4,One
N4.O.4,N4.O,Original,N4,One
N4.O.5,N4.O,Original,N4,One
N4.Z.1,N4.Z,Bulksoil,N4,One
N4.Z.2,N4.Z,Bulksoil,N4,One
N4.Z.3,N4.Z,Bulksoil,N4,One
N4.Z.4,N4.Z,Bulksoil,N4,One
N4.Z.5,N4.Z,Bulksoil,N4,One
N4.RH.1,N4.RH,Rhizosphere,N4,One
N4.RH.2,N4.RH,Rhizosphere,N4,One
N4.RH.3,N4.RH,Rhizosphere,N4,One
N4.RH.4,N4.RH,Rhizosphere,N4,One
N4.RH.5,N4.RH,Rhizosphere,N4,One
N4.RT.1,N4.RT,Root,N4,One
N4.RT.2,N4.RT,Root,N4,One
N4.RT.3,N4.RT,Root,N4,One
N4.RT.4,N4.RT,Root,N4,One
N4.RT.5,N4.RT,Root,N4,One
N4.N.1,N4.N,Nodule,N4,One
N4.N.2,N4.N,Nodule,N4,One
N4.N.3,N4.N,Nodule,N4,One
N4.N.4,N4.N,Nodule,N4,One
N4.N.5,N4.N,Nodule,N4,One
N6.O.1,N6.O,Original,N6,One
N6.O.2,N6.O,Original,N6,One
N6.O.3,N6.O,Original,N6,One
N6.O.4,N6.O,Original,N6,One
N6.O.5,N6.O,Original,N6,One
N6.Z.1,N6.Z,Bulksoil,N6,One
N6.Z.2,N6.Z,Bulksoil,N6,One
N6.Z.3,N6.Z,Bulksoil,N6,One
N6.Z.4,N6.Z,Bulksoil,N6,One
N6.Z.5,N6.Z,Bulksoil,N6,One
N6.RH.1,N6.RH,Rhizosphere,N6,One
N6.RH.2,N6.RH,Rhizosphere,N6,One
N6.RH.3,N6.RH,Rhizosphere,N6,One
N6.RH.4,N6.RH,Rhizosphere,N6,One
N6.RH.5,N6.RH,Rhizosphere,N6,One
N6.RT.1,N6.RT,Root,N6,One
N6.RT.2,N6.RT,Root,N6,One
N6.RT.3,N6.RT,Root,N6,One
N6.RT.4,N6.RT,Root,N6,One
N6.RT.5,N6.RT,Root,N6,One
N6.N.1,N6.N,Nodule,N6,One
N6.N.2,N6.N,Nodule,N6,One
N6.N.3,N6.N,Nodule,N6,One
N6.N.4,N6.N,Nodule,N6,One
N6.N.5,N6.N,Nodule,N6,One
