"source","target","correlation","direct","cor"
"fun_ASV_161","bac_ASV_1410",1,"undirected","+"
"fun_ASV_149","bac_ASV_1410",1,"undirected","+"
"fun_ASV_962","bac_ASV_1410",1,"undirected","+"
"fun_ASV_1184","bac_ASV_1410",1,"undirected","+"
"fun_ASV_565","bac_ASV_1410",1,"undirected","+"
"fun_ASV_1141","bac_ASV_1410",1,"undirected","+"
"fun_ASV_1582","bac_ASV_1410",1,"undirected","+"
"fun_ASV_1003","bac_ASV_1410",1,"undirected","+"
"fun_ASV_2027","bac_ASV_1410",1,"undirected","+"
"fun_ASV_2374","bac_ASV_1410",1,"undirected","+"
"fun_ASV_12","bac_ASV_379",-0.814454556647489,"undirected","-"
"fun_ASV_68","bac_ASV_379",-0.814886028051585,"undirected","-"
"fun_ASV_73","bac_ASV_379",-0.815174907788231,"undirected","-"
"fun_ASV_186","bac_ASV_379",-0.807633587786259,"undirected","-"
"fun_ASV_77","bac_ASV_379",-0.853182620824686,"undirected","-"
"fun_ASV_214","bac_ASV_379",-0.903886560436601,"undirected","-"
"fun_ASV_515","bac_ASV_379",-0.824307492153411,"undirected","-"
"fun_ASV_738","bac_ASV_379",-0.812697527475194,"undirected","-"
"fun_ASV_1967","bac_ASV_379",-0.805499000071109,"undirected","-"
"fun_ASV_77","bac_ASV_3759",0.808366180108887,"undirected","+"
"fun_ASV_214","bac_ASV_3759",0.814990486477983,"undirected","+"
"fun_ASV_633","bac_ASV_3759",0.843421364431082,"undirected","+"
"fun_ASV_378","bac_ASV_3759",0.840832203599616,"undirected","+"
"fun_ASV_461","bac_ASV_3759",0.840960764373111,"undirected","+"
"fun_ASV_1776","bac_ASV_3759",0.827488965575241,"undirected","+"
"fun_ASV_908","bac_ASV_3759",0.852114090160553,"undirected","+"
"fun_ASV_1961","bac_ASV_3759",0.888287221112697,"undirected","+"
"fun_ASV_68","bac_ASV_1374",-0.848074742714797,"undirected","-"
"fun_ASV_73","bac_ASV_1374",-0.86038348441828,"undirected","-"
"fun_ASV_119","bac_ASV_1374",-0.857364594999268,"undirected","-"
"fun_ASV_214","bac_ASV_1374",-0.820538769209358,"undirected","-"
"fun_ASV_382","bac_ASV_1374",-0.8264209784544,"undirected","-"
"fun_ASV_253","bac_ASV_1374",-0.844534314968469,"undirected","-"
"fun_ASV_1315","bac_ASV_1374",-0.840567848014725,"undirected","-"
"fun_ASV_122","bac_ASV_625",1,"undirected","+"
"fun_ASV_514","bac_ASV_625",1,"undirected","+"
"fun_ASV_530","bac_ASV_625",1,"undirected","+"
"fun_ASV_958","bac_ASV_625",1,"undirected","+"
"fun_ASV_1866","bac_ASV_625",1,"undirected","+"
"fun_ASV_537","bac_ASV_625",1,"undirected","+"
"fun_ASV_122","bac_ASV_566",1,"undirected","+"
"fun_ASV_514","bac_ASV_566",1,"undirected","+"
"fun_ASV_530","bac_ASV_566",1,"undirected","+"
"fun_ASV_958","bac_ASV_566",1,"undirected","+"
"fun_ASV_1866","bac_ASV_566",1,"undirected","+"
"fun_ASV_537","bac_ASV_566",1,"undirected","+"
"fun_ASV_122","bac_ASV_1050",1,"undirected","+"
"fun_ASV_514","bac_ASV_1050",1,"undirected","+"
"fun_ASV_530","bac_ASV_1050",1,"undirected","+"
"fun_ASV_958","bac_ASV_1050",1,"undirected","+"
"fun_ASV_1866","bac_ASV_1050",1,"undirected","+"
"fun_ASV_537","bac_ASV_1050",1,"undirected","+"
"fun_ASV_12","bac_ASV_2017",-0.894126141954266,"undirected","-"
"fun_ASV_68","bac_ASV_2017",-0.855785325150446,"undirected","-"
"fun_ASV_73","bac_ASV_2017",-0.819813062095532,"undirected","-"
"fun_ASV_94","bac_ASV_2017",-0.83305785123967,"undirected","-"
"fun_ASV_77","bac_ASV_2017",-0.854890309875019,"undirected","-"
"fun_ASV_214","bac_ASV_2017",-0.867768595041322,"undirected","-"
"fun_ASV_122","bac_ASV_1164",1,"undirected","+"
"fun_ASV_514","bac_ASV_1164",1,"undirected","+"
"fun_ASV_530","bac_ASV_1164",1,"undirected","+"
"fun_ASV_958","bac_ASV_1164",1,"undirected","+"
"fun_ASV_1866","bac_ASV_1164",1,"undirected","+"
"fun_ASV_537","bac_ASV_1164",1,"undirected","+"
"fun_ASV_122","bac_ASV_1129",1,"undirected","+"
"fun_ASV_514","bac_ASV_1129",1,"undirected","+"
"fun_ASV_530","bac_ASV_1129",1,"undirected","+"
"fun_ASV_958","bac_ASV_1129",1,"undirected","+"
"fun_ASV_1866","bac_ASV_1129",1,"undirected","+"
"fun_ASV_537","bac_ASV_1129",1,"undirected","+"
"fun_ASV_122","bac_ASV_2163",1,"undirected","+"
"fun_ASV_514","bac_ASV_2163",1,"undirected","+"
"fun_ASV_530","bac_ASV_2163",1,"undirected","+"
"fun_ASV_958","bac_ASV_2163",1,"undirected","+"
"fun_ASV_1866","bac_ASV_2163",1,"undirected","+"
"fun_ASV_537","bac_ASV_2163",1,"undirected","+"
"fun_ASV_122","bac_ASV_1963",1,"undirected","+"
"fun_ASV_514","bac_ASV_1963",1,"undirected","+"
"fun_ASV_530","bac_ASV_1963",1,"undirected","+"
"fun_ASV_958","bac_ASV_1963",1,"undirected","+"
"fun_ASV_1866","bac_ASV_1963",1,"undirected","+"
"fun_ASV_537","bac_ASV_1963",1,"undirected","+"
"fun_ASV_122","bac_ASV_5467",1,"undirected","+"
"fun_ASV_514","bac_ASV_5467",1,"undirected","+"
"fun_ASV_530","bac_ASV_5467",1,"undirected","+"
"fun_ASV_958","bac_ASV_5467",1,"undirected","+"
"fun_ASV_1866","bac_ASV_5467",1,"undirected","+"
"fun_ASV_537","bac_ASV_5467",1,"undirected","+"
"fun_ASV_122","bac_ASV_3004",1,"undirected","+"
"fun_ASV_514","bac_ASV_3004",1,"undirected","+"
"fun_ASV_530","bac_ASV_3004",1,"undirected","+"
"fun_ASV_958","bac_ASV_3004",1,"undirected","+"
"fun_ASV_1866","bac_ASV_3004",1,"undirected","+"
"fun_ASV_537","bac_ASV_3004",1,"undirected","+"
"fun_ASV_122","bac_ASV_2800",1,"undirected","+"
"fun_ASV_514","bac_ASV_2800",1,"undirected","+"
"fun_ASV_530","bac_ASV_2800",1,"undirected","+"
"fun_ASV_958","bac_ASV_2800",1,"undirected","+"
"fun_ASV_1866","bac_ASV_2800",1,"undirected","+"
"fun_ASV_537","bac_ASV_2800",1,"undirected","+"
"fun_ASV_12","bac_ASV_584",-0.832957545874961,"undirected","-"
"fun_ASV_68","bac_ASV_584",-0.844645550527903,"undirected","-"
"fun_ASV_103","bac_ASV_584",-0.818065615696133,"undirected","-"
"fun_ASV_119","bac_ASV_584",-0.829820218170145,"undirected","-"
"fun_ASV_633","bac_ASV_513",0.803476675027905,"undirected","+"
"fun_ASV_461","bac_ASV_513",0.806922778910331,"undirected","+"
"fun_ASV_1776","bac_ASV_513",0.874939744681829,"undirected","+"
"fun_ASV_908","bac_ASV_513",0.832882761073666,"undirected","+"
"fun_ASV_168","bac_ASV_1837",1,"undirected","+"
"fun_ASV_997","bac_ASV_1837",1,"undirected","+"
"fun_ASV_2529","bac_ASV_1837",1,"undirected","+"
"fun_ASV_2746","bac_ASV_1837",1,"undirected","+"
"fun_ASV_885","bac_ASV_3063",1,"undirected","+"
"fun_ASV_652","bac_ASV_3063",1,"undirected","+"
"fun_ASV_1931","bac_ASV_3063",1,"undirected","+"
"fun_ASV_2522","bac_ASV_3063",1,"undirected","+"
"fun_ASV_885","bac_ASV_3815",1,"undirected","+"
"fun_ASV_652","bac_ASV_3815",1,"undirected","+"
"fun_ASV_1931","bac_ASV_3815",1,"undirected","+"
"fun_ASV_2522","bac_ASV_3815",1,"undirected","+"
"fun_ASV_885","bac_ASV_17592",1,"undirected","+"
"fun_ASV_652","bac_ASV_17592",1,"undirected","+"
"fun_ASV_1931","bac_ASV_17592",1,"undirected","+"
"fun_ASV_2522","bac_ASV_17592",1,"undirected","+"
"fun_ASV_885","bac_ASV_2259",1,"undirected","+"
"fun_ASV_652","bac_ASV_2259",1,"undirected","+"
"fun_ASV_1931","bac_ASV_2259",1,"undirected","+"
"fun_ASV_2522","bac_ASV_2259",1,"undirected","+"
"fun_ASV_885","bac_ASV_19418",1,"undirected","+"
"fun_ASV_652","bac_ASV_19418",1,"undirected","+"
"fun_ASV_1931","bac_ASV_19418",1,"undirected","+"
"fun_ASV_2522","bac_ASV_19418",1,"undirected","+"
"fun_ASV_103","bac_ASV_558",-0.823814041334638,"undirected","-"
"fun_ASV_259","bac_ASV_558",-0.818723046281789,"undirected","-"
"fun_ASV_1776","bac_ASV_558",-0.819608983660352,"undirected","-"
"fun_ASV_690","bac_ASV_651",0.84427044071952,"undirected","+"
"fun_ASV_709","bac_ASV_651",0.804310234145711,"undirected","+"
"fun_ASV_1497","bac_ASV_651",0.885791937804087,"undirected","+"
"fun_ASV_313","bac_ASV_2022",0.833411114786589,"undirected","+"
"fun_ASV_1642","bac_ASV_2022",0.994459833795014,"undirected","+"
"fun_ASV_1747","bac_ASV_2022",0.838054073643339,"undirected","+"
"fun_ASV_1611","bac_ASV_1874",1,"undirected","+"
"fun_ASV_1134","bac_ASV_1874",1,"undirected","+"
"fun_ASV_2245","bac_ASV_1874",1,"undirected","+"
"fun_ASV_470","bac_ASV_2056",0.838054073643339,"undirected","+"
"fun_ASV_663","bac_ASV_2056",0.838054073643339,"undirected","+"
"fun_ASV_1268","bac_ASV_2056",0.838054073643339,"undirected","+"
"fun_ASV_43","bac_ASV_3791",0.839305795123702,"undirected","+"
"fun_ASV_729","bac_ASV_3791",0.863176628289724,"undirected","+"
"fun_ASV_683","bac_ASV_3791",0.855028228717621,"undirected","+"
"fun_ASV_1611","bac_ASV_16688",1,"undirected","+"
"fun_ASV_1134","bac_ASV_16688",1,"undirected","+"
"fun_ASV_2245","bac_ASV_16688",1,"undirected","+"
"fun_ASV_231","bac_ASV_2104",1,"undirected","+"
"fun_ASV_1421","bac_ASV_2104",1,"undirected","+"
"fun_ASV_1069","bac_ASV_2104",1,"undirected","+"
"fun_ASV_1093","bac_ASV_4086",0.878871688289992,"undirected","+"
"fun_ASV_1413","bac_ASV_4086",0.858110939747709,"undirected","+"
"fun_ASV_734","bac_ASV_4086",0.816808046370372,"undirected","+"
"fun_ASV_231","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1421","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1069","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1459","bac_ASV_440",1,"undirected","+"
"fun_ASV_1388","bac_ASV_440",1,"undirected","+"
"fun_ASV_337","bac_ASV_1277",1,"undirected","+"
"fun_ASV_1348","bac_ASV_1277",1,"undirected","+"
"fun_ASV_1459","bac_ASV_1468",1,"undirected","+"
"fun_ASV_1388","bac_ASV_1468",1,"undirected","+"
"fun_ASV_1209","bac_ASV_1841",1,"undirected","+"
"fun_ASV_1346","bac_ASV_1841",1,"undirected","+"
"fun_ASV_1459","bac_ASV_1902",1,"undirected","+"
"fun_ASV_1388","bac_ASV_1902",1,"undirected","+"
"fun_ASV_678","bac_ASV_4768",0.833411114786589,"undirected","+"
"fun_ASV_1128","bac_ASV_4768",0.838054073643339,"undirected","+"
"fun_ASV_1459","bac_ASV_2178",1,"undirected","+"
"fun_ASV_1388","bac_ASV_2178",1,"undirected","+"
"fun_ASV_1209","bac_ASV_3767",1,"undirected","+"
"fun_ASV_1346","bac_ASV_3767",1,"undirected","+"
"fun_ASV_284","bac_ASV_381",0.825749696761194,"undirected","+"
"fun_ASV_272","bac_ASV_341",-0.804917824833573,"undirected","-"
"fun_ASV_734","bac_ASV_585",0.857676024653427,"undirected","+"
"fun_ASV_68","bac_ASV_348",-0.831578293058228,"undirected","-"
"fun_ASV_1674","bac_ASV_528",1,"undirected","+"
"fun_ASV_68","bac_ASV_583",-0.828550196369072,"undirected","-"
"fun_ASV_224","bac_ASV_459",0.98443579766537,"undirected","+"
"fun_ASV_1503","bac_ASV_631",1,"undirected","+"
"fun_ASV_315","bac_ASV_1381",-0.869898080724329,"undirected","-"
"fun_ASV_1674","bac_ASV_7554",1,"undirected","+"
"fun_ASV_1413","bac_ASV_636",0.833411114786589,"undirected","+"
"fun_ASV_1999","bac_ASV_1255",1,"undirected","+"
"fun_ASV_1002","bac_ASV_1152",0.811098650915772,"undirected","+"
"fun_ASV_370","bac_ASV_1469",0.885791937804087,"undirected","+"
"fun_ASV_246","bac_ASV_1211",1,"undirected","+"
"fun_ASV_915","bac_ASV_2787",1,"undirected","+"
"fun_ASV_174","bac_ASV_1431",1,"undirected","+"
"fun_ASV_246","bac_ASV_1917",1,"undirected","+"
"fun_ASV_1683","bac_ASV_3178",1,"undirected","+"
"fun_ASV_921","bac_ASV_2739",1,"undirected","+"
"fun_ASV_877","bac_ASV_2181",0.833411114786589,"undirected","+"
"fun_ASV_1272","bac_ASV_1173",0.994459833795014,"undirected","+"
"fun_ASV_246","bac_ASV_2183",1,"undirected","+"
