"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
1,1,0,1
1,1,0,1
2,0.555555555555556,4,2
6,0.29375,144.547186147186,6
2,0.309210526315789,16.1027777777778,2
4,0.3671875,185.9425940073,4
5,0.398305084745763,348.819073083779,5
3,0.309210526315789,158,3
1,0.279761904761905,0,1
3,0.313333333333333,200,3
2,0.309210526315789,16.1027777777778,2
2,0.309210526315789,16.1027777777778,2
2,0.301282051282051,68,2
1,0.279761904761905,0,1
2,0.309210526315789,16.1027777777778,2
3,0.273255813953488,31.8053391053391,3
3,0.273255813953488,12.9761904761905,3
1,0.209821428571429,0,1
1,0.209821428571429,0,1
2,0.211711711711712,46,2
1,0.209821428571429,0,1
1,0.197478991596639,0,1
1,0.197478991596639,0,1
2,0.215596330275229,28.4653170359053,2
1,0.18503937007874,0,1
3,0.264044943820225,84.775935828877,3
4,1,6,4
2,0.261111111111111,10.3085137085137,2
4,0.833333333333333,3,4
4,0.833333333333333,3,4
1,0.247368421052632,0,1
1,0.247368421052632,0,1
1,0.247368421052632,0,1
2,0.252688172043011,9.64957983193277,2
2,0.252688172043011,9.64957983193277,2
2,0.252688172043011,9.64957983193277,2
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,1,0,1
10,0.75,7.5,10
10,0.75,7.5,10
10,0.75,7.5,10
10,0.75,7.5,10
10,0.75,7.5,10
10,0.75,7.5,10
2,1,1,2
1,1,0,1
1,0.244791666666667,0,1
1,0.194214876033058,0,1
2,0.555555555555556,4,2
4,1,6,4
1,1,0,1
1,1,0,1
4,1,6,4
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,0.25,0,1
1,0.25,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
1,0.526315789473684,0,1
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
2,1,1,2
2,1,1,2
1,1,0,1
1,0.571428571428571,0,1
1,0.571428571428571,0,1
1,0.571428571428571,0,1
1,0.571428571428571,0,1
1,1,0,1
1,1,0,1
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,1,0,1
2,0.75,0.5,2
2,0.75,0.5,2
2,1,1,2
3,1,3,3
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,1,0,1
2,1,1,2
5,0.727272727272727,2.5,5
5,0.727272727272727,2.5,5
5,0.727272727272727,2.5,5
5,0.727272727272727,2.5,5
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
1,0.454545454545455,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,1,0,1
1,1,0,1
1,0.384615384615385,0,1
1,0.228155339805825,0,1
11,0.385245901639344,567.952380952381,11
9,0.335714285714286,188.914960529666,9
7,0.264044943820225,228.5,7
3,0.244791666666667,91,3
3,0.225961538461538,60.4172650878533,3
1,0.571428571428571,0,1
4,0.244791666666667,65.0163992869875,4
2,0.625,0.25,2
1,0.228155339805825,0,1
7,0.326388888888889,190.559163059163,7
4,0.215596330275229,7.75,4
3,1,3,3
3,1,3,3
1,1,0,1
6,0.625,1.5,6
1,0.666666666666667,0,1
1,0.175373134328358,0,1
1,1,0,1
6,0.625,1.5,6
6,0.625,1.5,6
6,0.321917808219178,104.456230370936,6
1,0.571428571428571,0,1
2,0.239795918367347,46,2
1,0.384615384615385,0,1
1,0.571428571428571,0,1
1,1,0,1
1,1,0,1
6,0.625,1.5,6
1,0.571428571428571,0,1
2,1,1,2
6,0.625,1.5,6
8,0.330985915492958,332.433600713013,8
10,1,45,10
3,0.8,1.5,3
1,0.666666666666667,0,1
1,0.666666666666667,0,1
6,0.625,1.5,6
1,0.571428571428571,0,1
1,1,0,1
4,1,6,4
6,0.625,1.5,6
1,1,0,1
1,1,0,1
3,1,3,3
6,0.625,1.5,6
1,1,0,1
2,0.625,0.25,2
2,0.75,0.5,2
1,0.571428571428571,0,1
1,0.666666666666667,0,1
2,0.625,0.25,2
1,0.6,0,1
3,1,3,3
1,1,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
3,0.8,1.5,3
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
4,0.666666666666667,1.2,4
6,0.625,1.5,6
1,1,0,1
6,0.625,1.5,6
1,0.571428571428571,0,1
1,1,0,1
1,0.571428571428571,0,1
1,1,0,1
1,1,0,1
1,0.571428571428571,0,1
1,0.666666666666667,0,1
1,0.571428571428571,0,1
4,0.666666666666667,1.2,4
1,0.6,0,1
1,0.571428571428571,0,1
1,1,0,1
1,0.571428571428571,0,1
1,0.6,0,1
3,0.8,1.5,3
4,0.666666666666667,1.2,4
4,0.666666666666667,1.2,4
3,0.714285714285714,8,3
2,1,1,2
3,0.8,1.5,3
2,0.625,0.25,2
2,0.75,0.5,2
4,0.666666666666667,1.2,4
