"source","target","correlation","direct","cor"
"fun_ASV_275","bac_ASV_545",1,"undirected","+"
"fun_ASV_174","bac_ASV_545",1,"undirected","+"
"fun_ASV_315","bac_ASV_545",1,"undirected","+"
"fun_ASV_801","bac_ASV_545",1,"undirected","+"
"fun_ASV_533","bac_ASV_545",1,"undirected","+"
"fun_ASV_882","bac_ASV_545",1,"undirected","+"
"fun_ASV_1315","bac_ASV_545",1,"undirected","+"
"fun_ASV_2437","bac_ASV_545",1,"undirected","+"
"fun_ASV_275","bac_ASV_1111",1,"undirected","+"
"fun_ASV_174","bac_ASV_1111",1,"undirected","+"
"fun_ASV_315","bac_ASV_1111",1,"undirected","+"
"fun_ASV_801","bac_ASV_1111",1,"undirected","+"
"fun_ASV_533","bac_ASV_1111",1,"undirected","+"
"fun_ASV_882","bac_ASV_1111",1,"undirected","+"
"fun_ASV_1315","bac_ASV_1111",1,"undirected","+"
"fun_ASV_2437","bac_ASV_1111",1,"undirected","+"
"fun_ASV_275","bac_ASV_1160",1,"undirected","+"
"fun_ASV_174","bac_ASV_1160",1,"undirected","+"
"fun_ASV_315","bac_ASV_1160",1,"undirected","+"
"fun_ASV_801","bac_ASV_1160",1,"undirected","+"
"fun_ASV_533","bac_ASV_1160",1,"undirected","+"
"fun_ASV_882","bac_ASV_1160",1,"undirected","+"
"fun_ASV_1315","bac_ASV_1160",1,"undirected","+"
"fun_ASV_2437","bac_ASV_1160",1,"undirected","+"
"fun_ASV_275","bac_ASV_1244",1,"undirected","+"
"fun_ASV_174","bac_ASV_1244",1,"undirected","+"
"fun_ASV_315","bac_ASV_1244",1,"undirected","+"
"fun_ASV_801","bac_ASV_1244",1,"undirected","+"
"fun_ASV_533","bac_ASV_1244",1,"undirected","+"
"fun_ASV_882","bac_ASV_1244",1,"undirected","+"
"fun_ASV_1315","bac_ASV_1244",1,"undirected","+"
"fun_ASV_2437","bac_ASV_1244",1,"undirected","+"
"fun_ASV_275","bac_ASV_1065",1,"undirected","+"
"fun_ASV_174","bac_ASV_1065",1,"undirected","+"
"fun_ASV_315","bac_ASV_1065",1,"undirected","+"
"fun_ASV_801","bac_ASV_1065",1,"undirected","+"
"fun_ASV_533","bac_ASV_1065",1,"undirected","+"
"fun_ASV_882","bac_ASV_1065",1,"undirected","+"
"fun_ASV_1315","bac_ASV_1065",1,"undirected","+"
"fun_ASV_2437","bac_ASV_1065",1,"undirected","+"
"fun_ASV_275","bac_ASV_1164",1,"undirected","+"
"fun_ASV_174","bac_ASV_1164",1,"undirected","+"
"fun_ASV_315","bac_ASV_1164",1,"undirected","+"
"fun_ASV_801","bac_ASV_1164",1,"undirected","+"
"fun_ASV_533","bac_ASV_1164",1,"undirected","+"
"fun_ASV_882","bac_ASV_1164",1,"undirected","+"
