"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_10147","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae",NA,NA,"bac","bac_ASV_10147"
"bac_ASV_1050","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,"bac","bac_ASV_1050"
"bac_ASV_1056","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA,"Bradyrhizobiaceae bacterium","bac","bac_ASV_1056"
"bac_ASV_1063","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. YM1C-6-2","bac","bac_ASV_1063"
"bac_ASV_1065","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,"Xanthobacteraceae bacterium","bac","bac_ASV_1065"
"bac_ASV_10753","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group","bac","bac_ASV_10753"
"bac_ASV_10803","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA,"Bradyrhizobiaceae bacterium","bac","bac_ASV_10803"
"bac_ASV_1087","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group","bac","bac_ASV_1087"
"bac_ASV_1092","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Boseaceae","Bosea","Bosea vestrisii","bac","bac_ASV_1092"
"bac_ASV_1099","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium camelthorni","bac","bac_ASV_1099"
"bac_ASV_1108","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Boseaceae","Bosea","Bosea vestrisii","bac","bac_ASV_1108"
"bac_ASV_1111","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia sp. P52-10","bac","bac_ASV_1111"
"bac_ASV_11163","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. GN54","bac","bac_ASV_11163"
"bac_ASV_11231","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group","bac","bac_ASV_11231"
"bac_ASV_1126","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. dw_411","bac","bac_ASV_1126"
"bac_ASV_1141","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia oryziradicis","bac","bac_ASV_1141"
"bac_ASV_1151","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes sp. Z2-YC6860","bac","bac_ASV_1151"
"bac_ASV_1160","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium murdochi","bac","bac_ASV_1160"
"bac_ASV_1164","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia sp. LC5","bac","bac_ASV_1164"
"bac_ASV_1202","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. M6A.T.Ce.TU.016.01.1.1","bac","bac_ASV_1202"
"bac_ASV_12053","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group","bac","bac_ASV_12053"
"bac_ASV_1213","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia sp. P52-10","bac","bac_ASV_1213"
"bac_ASV_1214","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia oryziradicis","bac","bac_ASV_1214"
"bac_ASV_1215","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",NA,"bac","bac_ASV_1215"
"bac_ASV_1225","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia oryziradicis","bac","bac_ASV_1225"
"bac_ASV_1226","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium sp. CS1BSMeth3","bac","bac_ASV_1226"
"bac_ASV_1244","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia sp. LC5","bac","bac_ASV_1244"
"bac_ASV_12724","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Alsobacteraceae","Alsobacter","Alsobacter soli","bac","bac_ASV_12724"
"bac_ASV_12804","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium giardinii","bac","bac_ASV_12804"
"bac_ASV_1292","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Boseaceae","Bosea","Bosea sp. Tri-44","bac","bac_ASV_1292"
"bac_ASV_1313","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium sp. CS1GBMeth3","bac","bac_ASV_1313"
"bac_ASV_1330","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia oryziradicis","bac","bac_ASV_1330"
"bac_ASV_1356","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aestuariivirgaceae","Aestuariivirga","Aestuariivirga sp. YIM B02566","bac","bac_ASV_1356"
"bac_ASV_1360","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,"bac","bac_ASV_1360"
"bac_ASV_13735","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Reyranellaceae","Reyranella","Reyranella sp. CPCC 100927","bac","bac_ASV_13735"
"bac_ASV_1403","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia sp. 66-22","bac","bac_ASV_1403"
"bac_ASV_1431","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,"Xanthobacteraceae bacterium","bac","bac_ASV_1431"
"bac_ASV_14373","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium giardinii","bac","bac_ASV_14373"
"bac_ASV_1442","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,"Pseudorhodoplanes","Pseudorhodoplanes sinuspersici","bac","bac_ASV_1442"
"bac_ASV_1485","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. YM1C-6-2","bac","bac_ASV_1485"
"bac_ASV_15675","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium sp. CS1BSMeth3","bac","bac_ASV_15675"
"bac_ASV_16404","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group","bac","bac_ASV_16404"
"bac_ASV_17491","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii group","bac","bac_ASV_17491"
"bac_ASV_1831","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium sp. CS1BSMeth3","bac","bac_ASV_1831"
