"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
3,1,3,3
14,0.85,22.75,14
14,0.85,22.75,14
14,0.85,22.75,14
14,0.85,22.75,14
1,0.666666666666667,0,1
1,0.666666666666667,0,1
4,0.7,1.5,4
4,0.7,1.5,4
4,0.7,1.5,4
4,0.7,1.5,4
1,1,0,1
14,0.818181818181818,18.2,14
14,0.818181818181818,18.2,14
14,0.818181818181818,18.2,14
14,0.818181818181818,18.2,14
14,0.818181818181818,18.2,14
1,1,0,1
1,1,0,1
11,0.72,6.875,11
11,0.72,6.875,11
11,0.72,6.875,11
11,0.72,6.875,11
11,0.72,6.875,11
11,0.72,6.875,11
11,0.72,6.875,11
11,0.72,6.875,11
4,1,6,4
8,0.9,14,8
8,0.9,14,8
5,1,10,5
2,1,1,2
1,0.6,0,1
4,0.566666666666667,0.428571428571429,4
2,1,1,2
4,0.7,1.5,4
1,0.6,0,1
4,0.566666666666667,0.428571428571429,4
1,1,0,1
5,0.580645161290323,0.714285714285714,5
5,0.580645161290323,0.714285714285714,5
1,1,0,1
4,0.566666666666667,0.428571428571429,4
1,1,0,1
5,0.580645161290323,0.714285714285714,5
8,0.642857142857143,2.54545454545455,8
1,0.571428571428571,0,1
2,0.5625,0.125,2
1,0.6,0,1
1,0.555555555555556,0,1
2,0.5625,0.125,2
5,0.580645161290323,0.714285714285714,5
8,0.642857142857143,2.54545454545455,8
8,0.642857142857143,2.54545454545455,8
5,0.580645161290323,0.714285714285714,5
8,0.642857142857143,2.54545454545455,8
4,0.566666666666667,0.428571428571429,4
8,0.642857142857143,2.54545454545455,8
4,0.566666666666667,0.428571428571429,4
4,0.566666666666667,0.428571428571429,4
8,0.642857142857143,2.54545454545455,8
4,0.566666666666667,0.428571428571429,4
4,0.566666666666667,0.428571428571429,4
5,0.580645161290323,0.714285714285714,5
4,0.566666666666667,0.428571428571429,4
8,0.642857142857143,2.54545454545455,8
2,0.5625,0.125,2
5,0.580645161290323,0.714285714285714,5
4,0.566666666666667,0.428571428571429,4
1,0.571428571428571,0,1
4,0.566666666666667,0.428571428571429,4
4,0.7,1.5,4
1,0.555555555555556,0,1
5,0.580645161290323,0.714285714285714,5
8,0.642857142857143,2.54545454545455,8
1,0.555555555555556,0,1
4,0.7,1.5,4
5,0.580645161290323,0.714285714285714,5
2,0.5625,0.125,2
5,0.580645161290323,0.714285714285714,5
4,0.7,1.5,4
4,0.566666666666667,0.428571428571429,4
4,0.566666666666667,0.428571428571429,4
5,0.580645161290323,0.714285714285714,5
1,0.571428571428571,0,1
1,0.666666666666667,0,1
2,0.5625,0.125,2
1,0.666666666666667,0,1
8,0.642857142857143,2.54545454545455,8
1,0.571428571428571,0,1
5,0.580645161290323,0.714285714285714,5
8,0.642857142857143,2.54545454545455,8
1,0.555555555555556,0,1
2,0.5625,0.125,2
2,0.5625,0.125,2
5,0.580645161290323,0.714285714285714,5
8,0.642857142857143,2.54545454545455,8
5,0.580645161290323,0.714285714285714,5
4,0.566666666666667,0.428571428571429,4
1,0.555555555555556,0,1
2,0.5625,0.125,2
