"z","module","p","roles","label","role_7"
1.75682805225634,"2",0.5,"Peripherals","","peripheral"
1.75682805225634,"2",0,"Peripherals","","ultra peripheral"
0.270281238808668,"2",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"2",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"2",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"2",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"2",0.32,"Peripherals","","peripheral"
-0.720749970156447,"2",0.5,"Peripherals","","peripheral"
-0.720749970156447,"2",0,"Peripherals","","ultra peripheral"
-0.22523436567389,"2",0,"Peripherals","","ultra peripheral"
0.765796843291225,"2",0.277777777777778,"Peripherals","","peripheral"
1.16189500386223,"28",0.375,"Peripherals","","peripheral"
1.16189500386223,"28",0,"Peripherals","","ultra peripheral"
1.16189500386223,"28",0,"Peripherals","","ultra peripheral"
1.16189500386223,"28",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"28",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"28",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"28",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"28",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"28",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"28",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
0.606845012804108,"3",0,"Peripherals","","ultra peripheral"
0.606845012804108,"3",0,"Peripherals","","ultra peripheral"
0.386174099057159,"3",0,"Peripherals","","ultra peripheral"
-0.055167728436737,"3",0,"Peripherals","","ultra peripheral"
0.165503185310211,"3",0,"Peripherals","","ultra peripheral"
-0.496509555930633,"3",0,"Peripherals","","ultra peripheral"
-0.496509555930633,"3",0,"Peripherals","","ultra peripheral"
0.386174099057159,"3",0,"Peripherals","","ultra peripheral"
0.165503185310211,"3",0,"Peripherals","","ultra peripheral"
-0.055167728436737,"3",0,"Peripherals","","ultra peripheral"
-0.496509555930633,"3",0,"Peripherals","","ultra peripheral"
-0.275838642183685,"3",0,"Peripherals","","ultra peripheral"
-0.275838642183685,"3",0,"Peripherals","","ultra peripheral"
-0.055167728436737,"3",0,"Peripherals","","ultra peripheral"
-0.496509555930633,"3",0,"Peripherals","","ultra peripheral"
-0.275838642183685,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.496509555930633,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
0.606845012804108,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
2.59288323652664,"3",0,"Module hubs","bac_ASV_1099","provincial hub"
1.71019958153885,"3",0,"Peripherals","","ultra peripheral"
3.91690871900833,"3",0,"Module hubs","bac_ASV_1909","provincial hub"
-0.275838642183685,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
0.827515926551056,"3",0,"Peripherals","","ultra peripheral"
-0.717180469677582,"3",0,"Peripherals","","ultra peripheral"
0.386174099057159,"3",0,"Peripherals","","ultra peripheral"
1.81838437606861,"4",0,"Peripherals","","ultra peripheral"
1.11900576988838,"4",0,"Peripherals","","ultra peripheral"
-0.279751442472094,"4",0,"Peripherals","","ultra peripheral"
-0.979130048652329,"4",0,"Peripherals","","ultra peripheral"
-0.979130048652329,"4",0,"Peripherals","","ultra peripheral"
1.11900576988838,"4",0,"Peripherals","","ultra peripheral"
-0.279751442472094,"4",0,"Peripherals","","ultra peripheral"
-0.279751442472094,"4",0,"Peripherals","","ultra peripheral"
-0.979130048652329,"4",0,"Peripherals","","ultra peripheral"
-0.279751442472094,"4",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
0.537920356636276,"1",0,"Peripherals","","ultra peripheral"
-0.0978037012065956,"1",0,"Peripherals","","ultra peripheral"
-0.0978037012065956,"1",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
-0.733527759049468,"1",0,"Peripherals","","ultra peripheral"
1.80936847232202,"1",0,"Peripherals","","ultra peripheral"
1.17364441447915,"1",0,"Peripherals","","ultra peripheral"
1.80936847232202,"1",0,"Peripherals","","ultra peripheral"
1.15470053837925,"44",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"44",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"44",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"9",0,"Peripherals","","ultra peripheral"
0,"9",0,"Peripherals","","ultra peripheral"
0,"23",0,"Peripherals","","ultra peripheral"
0,"23",0,"Peripherals","","ultra peripheral"
-0.730296743340221,"36",0,"Peripherals","","ultra peripheral"
-0.730296743340221,"36",0,"Peripherals","","ultra peripheral"
-0.730296743340221,"36",0,"Peripherals","","ultra peripheral"
1.09544511501033,"36",0,"Peripherals","","ultra peripheral"
1.09544511501033,"36",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"10",0,"Peripherals","","ultra peripheral"
2.47487373415292,"10",0,"Peripherals","","ultra peripheral"
0,"46",0,"Peripherals","","ultra peripheral"
0,"46",0,"Peripherals","","ultra peripheral"
1.20761472884912,"30",0,"Peripherals","","ultra peripheral"
1.20761472884912,"30",0,"Peripherals","","ultra peripheral"
1.20761472884912,"30",0,"Peripherals","","ultra peripheral"
-0.724568837309472,"30",0,"Peripherals","","ultra peripheral"
-0.724568837309472,"30",0,"Peripherals","","ultra peripheral"
-0.724568837309472,"30",0,"Peripherals","","ultra peripheral"
-0.724568837309472,"30",0,"Peripherals","","ultra peripheral"
-0.724568837309472,"30",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"41",0,"Peripherals","","ultra peripheral"
0,"41",0,"Peripherals","","ultra peripheral"
0,"5",0.448979591836735,"Peripherals","","peripheral"
0,"5",0,"Peripherals","","ultra peripheral"
-1.22474487139159,"5",0,"Peripherals","","ultra peripheral"
0,"5",0,"Peripherals","","ultra peripheral"
1.22474487139159,"5",0,"Peripherals","","ultra peripheral"
1.22474487139159,"5",0,"Peripherals","","ultra peripheral"
-1.22474487139159,"5",0,"Peripherals","","ultra peripheral"
0,"11",0,"Peripherals","","ultra peripheral"
0,"11",0,"Peripherals","","ultra peripheral"
0,"26",0,"Peripherals","","ultra peripheral"
0,"26",0,"Peripherals","","ultra peripheral"
0,"40",0,"Peripherals","","ultra peripheral"
0,"40",0.375,"Peripherals","","peripheral"
0,"19",0,"Peripherals","","ultra peripheral"
0,"19",0,"Peripherals","","ultra peripheral"
1.15470053837925,"21",0.1171875,"Peripherals","","peripheral"
-0.577350269189626,"21",0.5,"Peripherals","","peripheral"
-0.577350269189626,"21",0,"Peripherals","","ultra peripheral"
1.5,"37",0,"Peripherals","","ultra peripheral"
-0.5,"37",0,"Peripherals","","ultra peripheral"
-0.5,"37",0.152777777777778,"Peripherals","","peripheral"
-0.5,"37",0,"Peripherals","","ultra peripheral"
0,"15",0,"Peripherals","","ultra peripheral"
0,"15",0.0867768595041323,"Peripherals","","peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
-0.353553390593274,"31",0,"Peripherals","","ultra peripheral"
2.47487373415292,"31",0,"Peripherals","","ultra peripheral"
1.29099444873581,"35",0,"Peripherals","","ultra peripheral"
1.29099444873581,"35",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"35",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"35",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"35",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"35",0,"Peripherals","","ultra peripheral"
0,"13",0,"Peripherals","","ultra peripheral"
0,"13",0,"Peripherals","","ultra peripheral"
0,"18",0,"Peripherals","","ultra peripheral"
0,"18",0,"Peripherals","","ultra peripheral"
0,"27",0,"Peripherals","","ultra peripheral"
0,"27",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"12",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"12",0,"Peripherals","","ultra peripheral"
1.15470053837925,"12",0,"Peripherals","","ultra peripheral"
0,"17",0,"Peripherals","","ultra peripheral"
0,"17",0,"Peripherals","","ultra peripheral"
0.866025403784439,"25",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"25",0,"Peripherals","","ultra peripheral"
0.866025403784439,"25",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"25",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"34",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"34",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"34",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"34",0,"Peripherals","","ultra peripheral"
1.29099444873581,"34",0,"Peripherals","","ultra peripheral"
1.29099444873581,"34",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"7",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"7",0,"Peripherals","","ultra peripheral"
1.15470053837925,"7",0,"Peripherals","","ultra peripheral"
0,"20",0,"Peripherals","","ultra peripheral"
0,"20",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"42",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"42",0,"Peripherals","","ultra peripheral"
1.15470053837925,"42",0,"Peripherals","","ultra peripheral"
-0.5,"38",0,"Peripherals","","ultra peripheral"
