"source","target","correlation","direct","cor"
"fun_ASV_461","bac_ASV_3759",0.994459833795014,"undirected","+"
"fun_ASV_1739","bac_ASV_3759",0.838054073643339,"undirected","+"
"fun_ASV_2113","bac_ASV_3759",0.994459833795014,"undirected","+"
"fun_ASV_458","bac_ASV_3759",0.994459833795014,"undirected","+"
"fun_ASV_1388","bac_ASV_3759",0.994459833795014,"undirected","+"
"fun_ASV_1474","bac_ASV_3759",0.994459833795014,"undirected","+"
"fun_ASV_1246","bac_ASV_3759",0.994459833795014,"undirected","+"
"fun_ASV_272","bac_ASV_1468",1,"undirected","+"
"fun_ASV_719","bac_ASV_1468",1,"undirected","+"
"fun_ASV_924","bac_ASV_1468",1,"undirected","+"
"fun_ASV_1267","bac_ASV_1468",1,"undirected","+"
"fun_ASV_1532","bac_ASV_1468",1,"undirected","+"
"fun_ASV_1154","bac_ASV_1468",1,"undirected","+"
"fun_ASV_460","bac_ASV_1468",1,"undirected","+"
"fun_ASV_146","bac_ASV_1141",0.994459833795014,"undirected","+"
"fun_ASV_814","bac_ASV_1141",0.833411114786589,"undirected","+"
"fun_ASV_788","bac_ASV_1141",1,"undirected","+"
"fun_ASV_1497","bac_ASV_1141",0.994459833795014,"undirected","+"
"fun_ASV_1344","bac_ASV_1141",0.833411114786589,"undirected","+"
"fun_ASV_77","bac_ASV_8479",0.8382096423899,"undirected","+"
"fun_ASV_1617","bac_ASV_8479",0.840810315962473,"undirected","+"
"fun_ASV_1642","bac_ASV_8479",0.972307692307693,"undirected","+"
"fun_ASV_1052","bac_ASV_8479",0.851190690233615,"undirected","+"
"fun_ASV_1344","bac_ASV_8479",0.837350191205426,"undirected","+"
"fun_ASV_1050","bac_ASV_13735",1,"undirected","+"
"fun_ASV_2092","bac_ASV_13735",1,"undirected","+"
"fun_ASV_2269","bac_ASV_13735",1,"undirected","+"
"fun_ASV_2491","bac_ASV_13735",1,"undirected","+"
"fun_ASV_2528","bac_ASV_13735",1,"undirected","+"
"fun_ASV_152","bac_ASV_2050",1,"undirected","+"
"fun_ASV_565","bac_ASV_2050",1,"undirected","+"
"fun_ASV_1003","bac_ASV_2050",1,"undirected","+"
"fun_ASV_3190","bac_ASV_2050",1,"undirected","+"
"fun_ASV_515","bac_ASV_651",0.864977681319107,"undirected","+"
"fun_ASV_269","bac_ASV_651",0.961038961038961,"undirected","+"
"fun_ASV_633","bac_ASV_651",0.83483100609887,"undirected","+"
"fun_ASV_734","bac_ASV_651",0.821127330421037,"undirected","+"
"fun_ASV_1046","bac_ASV_2022",1,"undirected","+"
"fun_ASV_1421","bac_ASV_2022",1,"undirected","+"
"fun_ASV_1999","bac_ASV_2022",1,"undirected","+"
"fun_ASV_181","bac_ASV_2022",1,"undirected","+"
"fun_ASV_78","bac_ASV_997",0.824427480916031,"undirected","+"
"fun_ASV_68","bac_ASV_997",-0.843523188823247,"undirected","-"
"fun_ASV_1558","bac_ASV_997",0.802078622151487,"undirected","+"
"fun_ASV_1743","bac_ASV_997",0.827731456548656,"undirected","+"
"fun_ASV_152","bac_ASV_3732",1,"undirected","+"
"fun_ASV_565","bac_ASV_3732",1,"undirected","+"
"fun_ASV_1003","bac_ASV_3732",1,"undirected","+"
"fun_ASV_3190","bac_ASV_3732",1,"undirected","+"
"fun_ASV_1617","bac_ASV_1832",0.878871688289992,"undirected","+"
"fun_ASV_1052","bac_ASV_1832",0.885791937804087,"undirected","+"
"fun_ASV_1344","bac_ASV_1832",0.875411563532945,"undirected","+"
"fun_ASV_1418","bac_ASV_1832",0.824074572535096,"undirected","+"
"fun_ASV_1046","bac_ASV_1330",1,"undirected","+"
"fun_ASV_1421","bac_ASV_1330",1,"undirected","+"
"fun_ASV_1999","bac_ASV_1330",1,"undirected","+"
"fun_ASV_181","bac_ASV_1330",1,"undirected","+"
"fun_ASV_1046","bac_ASV_7355",1,"undirected","+"
"fun_ASV_1421","bac_ASV_7355",1,"undirected","+"
"fun_ASV_1999","bac_ASV_7355",1,"undirected","+"
"fun_ASV_181","bac_ASV_7355",1,"undirected","+"
"fun_ASV_152","bac_ASV_2193",1,"undirected","+"
"fun_ASV_565","bac_ASV_2193",1,"undirected","+"
"fun_ASV_1003","bac_ASV_2193",1,"undirected","+"
"fun_ASV_3190","bac_ASV_2193",1,"undirected","+"
"fun_ASV_152","bac_ASV_4672",1,"undirected","+"
"fun_ASV_565","bac_ASV_4672",1,"undirected","+"
"fun_ASV_1003","bac_ASV_4672",1,"undirected","+"
"fun_ASV_3190","bac_ASV_4672",1,"undirected","+"
"fun_ASV_152","bac_ASV_2232",1,"undirected","+"
"fun_ASV_565","bac_ASV_2232",1,"undirected","+"
"fun_ASV_1003","bac_ASV_2232",1,"undirected","+"
"fun_ASV_3190","bac_ASV_2232",1,"undirected","+"
"fun_ASV_152","bac_ASV_4733",1,"undirected","+"
"fun_ASV_565","bac_ASV_4733",1,"undirected","+"
"fun_ASV_1003","bac_ASV_4733",1,"undirected","+"
"fun_ASV_3190","bac_ASV_4733",1,"undirected","+"
"fun_ASV_492","bac_ASV_6394",1,"undirected","+"
"fun_ASV_1181","bac_ASV_6394",1,"undirected","+"
"fun_ASV_2091","bac_ASV_6394",1,"undirected","+"
"fun_ASV_3223","bac_ASV_6394",1,"undirected","+"
"fun_ASV_1046","bac_ASV_3056",1,"undirected","+"
"fun_ASV_1421","bac_ASV_3056",1,"undirected","+"
"fun_ASV_1999","bac_ASV_3056",1,"undirected","+"
"fun_ASV_181","bac_ASV_3056",1,"undirected","+"
"fun_ASV_492","bac_ASV_2707",1,"undirected","+"
"fun_ASV_1181","bac_ASV_2707",1,"undirected","+"
"fun_ASV_2091","bac_ASV_2707",1,"undirected","+"
"fun_ASV_3223","bac_ASV_2707",1,"undirected","+"
"fun_ASV_1198","bac_ASV_1442",1,"undirected","+"
"fun_ASV_2061","bac_ASV_1442",1,"undirected","+"
"fun_ASV_4103","bac_ASV_1442",1,"undirected","+"
"fun_ASV_1242","bac_ASV_7187",1,"undirected","+"
"fun_ASV_1379","bac_ASV_7187",1,"undirected","+"
"fun_ASV_1772","bac_ASV_7187",1,"undirected","+"
"fun_ASV_530","bac_ASV_1108",1,"undirected","+"
"fun_ASV_801","bac_ASV_1108",1,"undirected","+"
"fun_ASV_961","bac_ASV_1108",1,"undirected","+"
"fun_ASV_1242","bac_ASV_607",1,"undirected","+"
"fun_ASV_1379","bac_ASV_607",1,"undirected","+"
"fun_ASV_1772","bac_ASV_607",1,"undirected","+"
"fun_ASV_122","bac_ASV_2799",0.817026601483983,"undirected","+"
"fun_ASV_93","bac_ASV_2799",1,"undirected","+"
"fun_ASV_277","bac_ASV_2799",0.813847509649415,"undirected","+"
"fun_ASV_530","bac_ASV_2713",1,"undirected","+"
