"","Rhizosphere","Means","SD"
"num.edges",272,272,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",223,223,0
"connectance",0.0109885670423787,0.0109885670423787,0
"average.degree",2.43946188340807,2.43946188340807,0
"average.path.length",3.26337033299697,5.69165311755807,0.20965412512738
"diameter",9,13.23,1.27805881845647
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0107883293320265,0.00679284296907354
"no.clusters",44,22.64,3.56900235048645
"centralization.degree",0.0881105320567204,0.0235609825071708,0.00448421127276374
"centralization.betweenness",0.0224533343772631,0.102695360069179,0.0247573415342871
"centralization.closeness",0.759117576702889,NA,NA
