"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
6,0.375838926174497,185.719119897148,6
6,0.75,3.75,6
6,0.75,3.75,6
6,0.75,3.75,6
6,0.75,3.75,6
1,0.275862068965517,0,1
5,0.302702702702703,288.288328398534,5
6,0.312849162011173,295.93020162217,6
7,0.397163120567376,209.289589875684,7
7,0.391608391608392,193.371142433707,7
6,0.402877697841727,206.902672596523,6
4,0.356687898089172,92.2867141454501,4
3,0.242424242424242,109,3
5,0.31638418079096,62.2384120114959,5
1,0.342857142857143,0,1
1,0.342857142857143,0,1
1,0.342857142857143,0,1
1,0.342857142857143,0,1
3,0.571428571428571,37,3
2,1,1,2
4,0.212927756653992,141.652356583037,4
2,0.20817843866171,21.3059767502966,2
4,0.7,1.5,4
4,0.7,1.5,4
4,0.7,1.5,4
4,0.7,1.5,4
1,0.150943396226415,0,1
2,0.306010928961749,1.17066386161758,2
2,0.306010928961749,1.17066386161758,2
6,0.323699421965318,48.0583597574812,6
5,0.31638418079096,12.0941461932676,5
4,0.312849162011173,7.23841201149592,4
2,0.306010928961749,1.17066386161758,2
3,0.30939226519337,2.75745963054353,3
3,0.30939226519337,56.1706638616176,3
4,0.312849162011173,57.7574596305435,4
2,0.287179487179487,1.14958702655333,2
1,1,0,1
1,1,0,1
3,0.30939226519337,4.12764949133067,3
2,0.387096774193548,2,2
2,0.387096774193548,2,2
1,0.324324324324324,0,1
1,0.296296296296296,0,1
1,0.296296296296296,0,1
1,0.296296296296296,0,1
2,0.302702702702703,2.14975649826908,2
1,0.296296296296296,0,1
1,0.296296296296296,0,1
1,0.296296296296296,0,1
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
3,0.714285714285714,1,3
3,0.714285714285714,1,3
3,0.714285714285714,1,3
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,0.538461538461538,0,1
1,1,0,1
5,0.777777777777778,3.33333333333333,5
5,0.777777777777778,3.33333333333333,5
5,0.777777777777778,3.33333333333333,5
1,1,0,1
1,1,0,1
2,0.545454545454545,3,2
2,0.545454545454545,3,2
1,0.352941176470588,0,1
2,0.461538461538462,5,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,2
3,1,3,3
