"z","module","p","roles","label","role_7"
1.0690449676497,"37",0,"Peripherals","","ultra peripheral"
1.0690449676497,"37",0,"Peripherals","","ultra peripheral"
1.0690449676497,"37",0,"Peripherals","","ultra peripheral"
-0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
-0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
-0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
-0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
0,"22",0,"Peripherals","","ultra peripheral"
0,"22",0,"Peripherals","","ultra peripheral"
1.56524758424985,"9",0,"Peripherals","","ultra peripheral"
-0.670820393249937,"9",0,"Peripherals","","ultra peripheral"
-0.670820393249937,"9",0,"Peripherals","","ultra peripheral"
-0.670820393249937,"9",0,"Peripherals","","ultra peripheral"
0.447213595499958,"9",0,"Peripherals","","ultra peripheral"
1.72830420831335,"1",0,"Peripherals","","ultra peripheral"
0.792139428810286,"1",0,"Peripherals","","ultra peripheral"
-0.144025350692779,"1",0,"Peripherals","","ultra peripheral"
0.792139428810286,"1",0,"Peripherals","","ultra peripheral"
-1.08019013019584,"1",0,"Peripherals","","ultra peripheral"
-1.08019013019584,"1",0,"Peripherals","","ultra peripheral"
-1.08019013019584,"1",0,"Peripherals","","ultra peripheral"
-1.08019013019584,"1",0,"Peripherals","","ultra peripheral"
0.792139428810286,"1",0,"Peripherals","","ultra peripheral"
-1.08019013019584,"1",0,"Peripherals","","ultra peripheral"
0.792139428810286,"1",0,"Peripherals","","ultra peripheral"
-0.144025350692779,"1",0,"Peripherals","","ultra peripheral"
0.792139428810286,"1",0,"Peripherals","","ultra peripheral"
-0.64844828259635,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.270186784415146,"2",0,"Peripherals","","ultra peripheral"
-0.64844828259635,"2",0,"Peripherals","","ultra peripheral"
-1.02670978077755,"2",0,"Peripherals","","ultra peripheral"
1.99938220467208,"2",0,"Peripherals","","ultra peripheral"
-1.02670978077755,"2",0,"Peripherals","","ultra peripheral"
1.24285920830967,"2",0,"Peripherals","","ultra peripheral"
1.99938220467208,"2",0,"Peripherals","","ultra peripheral"
-0.5,"47",0,"Peripherals","","ultra peripheral"
-0.5,"47",0,"Peripherals","","ultra peripheral"
-0.5,"47",0,"Peripherals","","ultra peripheral"
1.5,"47",0,"Peripherals","","ultra peripheral"
1.15470053837925,"15",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"15",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"15",0,"Peripherals","","ultra peripheral"
1.03774904332554,"30",0,"Peripherals","","ultra peripheral"
1.03774904332554,"30",0,"Peripherals","","ultra peripheral"
1.03774904332554,"30",0,"Peripherals","","ultra peripheral"
1.03774904332554,"30",0,"Peripherals","","ultra peripheral"
1.03774904332554,"30",0,"Peripherals","","ultra peripheral"
1.03774904332554,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
-0.889499179993322,"30",0,"Peripherals","","ultra peripheral"
0,"25",0,"Peripherals","","ultra peripheral"
0,"25",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"35",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"35",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"35",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"35",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"35",0,"Peripherals","","ultra peripheral"
-0.774596669241483,"35",0,"Peripherals","","ultra peripheral"
1.16189500386223,"35",0,"Peripherals","","ultra peripheral"
1.16189500386223,"35",0,"Peripherals","","ultra peripheral"
1.16189500386223,"35",0,"Peripherals","","ultra peripheral"
1.16189500386223,"35",0,"Peripherals","","ultra peripheral"
0,"23",0,"Peripherals","","ultra peripheral"
0,"23",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
-0.720749970156447,"33",0,"Peripherals","","ultra peripheral"
1.26131244777378,"33",0,"Peripherals","","ultra peripheral"
1.26131244777378,"33",0,"Peripherals","","ultra peripheral"
1.26131244777378,"33",0,"Peripherals","","ultra peripheral"
1.26131244777378,"33",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
0,"36",0,"Peripherals","","ultra peripheral"
1.29099444873581,"41",0,"Peripherals","","ultra peripheral"
1.29099444873581,"41",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"41",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"41",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"41",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"41",0,"Peripherals","","ultra peripheral"
-0.58554004376912,"38",0,"Peripherals","","ultra peripheral"
-0.58554004376912,"38",0,"Peripherals","","ultra peripheral"
-0.58554004376912,"38",0,"Peripherals","","ultra peripheral"
-0.58554004376912,"38",0,"Peripherals","","ultra peripheral"
-0.58554004376912,"38",0,"Peripherals","","ultra peripheral"
1.4638501094228,"38",0,"Peripherals","","ultra peripheral"
1.4638501094228,"38",0,"Peripherals","","ultra peripheral"
1.56524758424985,"11",0,"Peripherals","","ultra peripheral"
-0.670820393249937,"11",0,"Peripherals","","ultra peripheral"
-0.670820393249937,"11",0,"Peripherals","","ultra peripheral"
-0.670820393249937,"11",0,"Peripherals","","ultra peripheral"
0.447213595499958,"11",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
0,"51",0,"Peripherals","","ultra peripheral"
0,"51",0,"Peripherals","","ultra peripheral"
-0.730296743340221,"42",0,"Peripherals","","ultra peripheral"
-0.730296743340221,"42",0,"Peripherals","","ultra peripheral"
-0.730296743340221,"42",0,"Peripherals","","ultra peripheral"
1.09544511501033,"42",0,"Peripherals","","ultra peripheral"
1.09544511501033,"42",0,"Peripherals","","ultra peripheral"
1.15470053837925,"16",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"16",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"16",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"14",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"14",0,"Peripherals","","ultra peripheral"
1.15470053837925,"14",0,"Peripherals","","ultra peripheral"
-0.870388279778488,"32",0,"Peripherals","","ultra peripheral"
-0.870388279778488,"32",0,"Peripherals","","ultra peripheral"
-0.870388279778488,"32",0,"Peripherals","","ultra peripheral"
-0.870388279778488,"32",0,"Peripherals","","ultra peripheral"
-0.870388279778488,"32",0,"Peripherals","","ultra peripheral"
-0.870388279778488,"32",0,"Peripherals","","ultra peripheral"
1.04446593573419,"32",0,"Peripherals","","ultra peripheral"
1.04446593573419,"32",0,"Peripherals","","ultra peripheral"
1.04446593573419,"32",0,"Peripherals","","ultra peripheral"
1.04446593573419,"32",0,"Peripherals","","ultra peripheral"
1.04446593573419,"32",0,"Peripherals","","ultra peripheral"
0,"27",0,"Peripherals","","ultra peripheral"
0,"27",0,"Peripherals","","ultra peripheral"
1.41421356237309,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
-1.41421356237309,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
1.15470053837925,"20",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"20",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"20",0,"Peripherals","","ultra peripheral"
0,"45",0,"Peripherals","","ultra peripheral"
0,"45",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
-0.640512615220349,"31",0,"Peripherals","","ultra peripheral"
1.44115338424578,"31",0,"Peripherals","","ultra peripheral"
1.44115338424578,"31",0,"Peripherals","","ultra peripheral"
1.44115338424578,"31",0,"Peripherals","","ultra peripheral"
1.44115338424578,"31",0,"Peripherals","","ultra peripheral"
0,"43",0,"Peripherals","","ultra peripheral"
0,"43",0,"Peripherals","","ultra peripheral"
0.866025403784439,"19",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"19",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"19",0,"Peripherals","","ultra peripheral"
0.866025403784439,"19",0,"Peripherals","","ultra peripheral"
0.730296743340221,"3",0,"Peripherals","","ultra peripheral"
0.730296743340221,"3",0,"Peripherals","","ultra peripheral"
0.730296743340221,"3",0,"Peripherals","","ultra peripheral"
-1.09544511501033,"3",0,"Peripherals","","ultra peripheral"
-1.09544511501033,"3",0,"Peripherals","","ultra peripheral"
0.866025403784439,"6",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"6",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"6",0,"Peripherals","","ultra peripheral"
0.866025403784439,"6",0,"Peripherals","","ultra peripheral"
0,"49",0,"Peripherals","","ultra peripheral"
0,"49",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
0,"39",0,"Peripherals","","ultra peripheral"
1.15470053837925,"12",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"12",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"12",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"5",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"5",0,"Peripherals","","ultra peripheral"
1.15470053837925,"5",0,"Peripherals","","ultra peripheral"
0,"17",0,"Peripherals","","ultra peripheral"
0,"17",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
-0.582575265003535,"29",0,"Peripherals","","ultra peripheral"
1.60208197875972,"29",0,"Peripherals","","ultra peripheral"
1.60208197875972,"29",0,"Peripherals","","ultra peripheral"
1.60208197875972,"29",0,"Peripherals","","ultra peripheral"
1.60208197875972,"29",0,"Peripherals","","ultra peripheral"
0,"50",0,"Peripherals","","ultra peripheral"
0,"50",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"48",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"48",0,"Peripherals","","ultra peripheral"
1.15470053837925,"48",0,"Peripherals","","ultra peripheral"
0,"18",0,"Peripherals","","ultra peripheral"
0,"18",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"40",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"40",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"40",0,"Peripherals","","ultra peripheral"
-0.645497224367903,"40",0,"Peripherals","","ultra peripheral"
1.29099444873581,"40",0,"Peripherals","","ultra peripheral"
