"source","target","correlation","direct","cor"
"fun_ASV_1169","bac_ASV_1994",1,"undirected","+"
"fun_ASV_633","bac_ASV_1994",1,"undirected","+"
"fun_ASV_341","bac_ASV_1994",1,"undirected","+"
"fun_ASV_1015","bac_ASV_1994",1,"undirected","+"
"fun_ASV_788","bac_ASV_1994",1,"undirected","+"
"fun_ASV_690","bac_ASV_1994",1,"undirected","+"
"fun_ASV_668","bac_ASV_1994",1,"undirected","+"
"fun_ASV_1776","bac_ASV_1994",1,"undirected","+"
"fun_ASV_181","bac_ASV_1994",1,"undirected","+"
"fun_ASV_1459","bac_ASV_1994",1,"undirected","+"
"fun_ASV_1714","bac_ASV_1994",1,"undirected","+"
"fun_ASV_1169","bac_ASV_11231",1,"undirected","+"
"fun_ASV_633","bac_ASV_11231",1,"undirected","+"
"fun_ASV_341","bac_ASV_11231",1,"undirected","+"
"fun_ASV_1015","bac_ASV_11231",1,"undirected","+"
"fun_ASV_788","bac_ASV_11231",1,"undirected","+"
"fun_ASV_690","bac_ASV_11231",1,"undirected","+"
"fun_ASV_668","bac_ASV_11231",1,"undirected","+"
"fun_ASV_1776","bac_ASV_11231",1,"undirected","+"
"fun_ASV_181","bac_ASV_11231",1,"undirected","+"
"fun_ASV_1459","bac_ASV_11231",1,"undirected","+"
"fun_ASV_1714","bac_ASV_11231",1,"undirected","+"
"fun_ASV_1169","bac_ASV_4738",1,"undirected","+"
"fun_ASV_633","bac_ASV_4738",1,"undirected","+"
"fun_ASV_341","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1015","bac_ASV_4738",1,"undirected","+"
"fun_ASV_788","bac_ASV_4738",1,"undirected","+"
"fun_ASV_690","bac_ASV_4738",1,"undirected","+"
"fun_ASV_668","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1776","bac_ASV_4738",1,"undirected","+"
"fun_ASV_181","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1459","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1714","bac_ASV_4738",1,"undirected","+"
"fun_ASV_1169","bac_ASV_5323",1,"undirected","+"
"fun_ASV_633","bac_ASV_5323",1,"undirected","+"
"fun_ASV_341","bac_ASV_5323",1,"undirected","+"
"fun_ASV_1015","bac_ASV_5323",1,"undirected","+"
"fun_ASV_788","bac_ASV_5323",1,"undirected","+"
"fun_ASV_690","bac_ASV_5323",1,"undirected","+"
