"","Root","Means","SD"
"num.edges",391,391,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",258,258,0
"connectance",0.011793804482249,0.011793804482249,0
"average.degree",3.03100775193798,3.03100775193798,0
"average.path.length",1.73724212812161,4.95370426137009,0.103593743377358
"diameter",7,11.22,0.970056751437822
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.011751696439599,0.00561268903487713
"no.clusters",51,13.92,3.12913968232726
"centralization.degree",0.0426809036889573,0.0226419931831207,0.00355740474980441
"centralization.betweenness",0.00269674313767052,0.0714065425068845,0.0169533009936193
"centralization.closeness",0.615653397053832,NA,NA
