"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
4,0.75,2,4
4,0.75,2,4
4,0.75,2,4
1,1,0,1
3,0.8,5,3
4,0.342857142857143,30,4
2,0.464285714285714,0.111111111111111,2
3,0.541666666666667,2.11111111111111,3
3,0.541666666666667,2.11111111111111,3
3,0.541666666666667,2.11111111111111,3
3,0.541666666666667,2.11111111111111,3
3,0.5,12.1111111111111,3
3,0.541666666666667,2.11111111111111,3
3,0.541666666666667,2.11111111111111,3
2,0.464285714285714,0.111111111111111,2
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
2,1,1,2
7,0.705882352941177,3.5,7
7,0.705882352941177,3.5,7
7,0.705882352941177,3.5,7
7,0.705882352941177,3.5,7
7,0.705882352941177,3.5,7
7,0.705882352941177,3.5,7
1,1,0,1
4,0.642857142857143,1,4
4,0.642857142857143,1,4
4,0.642857142857143,1,4
4,0.642857142857143,1,4
4,0.642857142857143,1,4
4,0.642857142857143,1,4
1,1,0,1
3,0.342857142857143,13,3
2,0.413793103448276,36,2
3,0.342857142857143,13,3
4,0.625,0.857142857142857,4
4,0.625,0.857142857142857,4
4,0.625,0.857142857142857,4
4,0.625,0.857142857142857,4
4,0.625,0.857142857142857,4
4,0.625,0.857142857142857,4
4,0.625,0.857142857142857,4
4,0.7,1.5,4
4,0.7,1.5,4
4,0.7,1.5,4
4,0.7,1.5,4
4,0.833333333333333,3,4
4,0.833333333333333,3,4
2,0.6,0.2,2
2,0.6,0.2,2
2,0.6,0.2,2
2,0.6,0.2,2
2,0.6,0.2,2
3,0.8,5,3
1,1,0,1
1,1,0,1
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
2,0.666666666666667,0.333333333333333,2
1,0.292682926829268,0,1
2,1,1,2
1,0.666666666666667,0,1
1,0.666666666666667,0,1
5,0.666666666666667,1.66666666666667,5
5,0.666666666666667,1.66666666666667,5
5,0.666666666666667,1.66666666666667,5
5,0.666666666666667,1.66666666666667,5
5,0.666666666666667,1.66666666666667,5
5,0.666666666666667,1.66666666666667,5
1,0.444444444444444,0,1
1,1,0,1
3,0.8,3.5,3
1,1,0,1
2,0.571428571428571,0.5,2
2,1,1,2
1,1,0,1
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
4,0.6,0.666666666666667,4
1,1,0,1
2,0.75,2,2
2,0.571428571428571,3,2
2,0.571428571428571,3,2
2,0.75,2,2
1,1,0,1
1,1,0,1
3,0.714285714285714,1,3
3,0.714285714285714,1,3
3,0.714285714285714,1,3
2,1,1,2
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,0.361111111111111,0,1
1,1,0,1
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
4,0.583333333333333,0.545454545454545,4
1,1,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,1,0,1
1,0.226415094339623,0,1
2,0.625,0.25,2
2,0.625,0.25,2
2,0.625,0.25,2
2,0.625,0.25,2
2,1,1,2
1,1,0,1
1,1,0,1
2,1,1,2
1,0.5,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,0.518518518518518,0,1
1,1,0,1
1,0.5,0,1
1,0.444444444444444,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,1,0,1
3,0.666666666666667,0.75,3
1,1,0,1
1,0.5,0,1
1,0.260869565217391,0,1
9,0.722222222222222,23.5,9
1,0.260869565217391,0,1
3,1,3,3
1,0.666666666666667,0,1
6,0.666666666666667,2.14285714285714,6
1,1,0,1
6,0.75,3.75,6
1,1,0,1
3,0.4,35.3333333333333,3
1,0.260869565217391,0,1
7,0.769230769230769,5.25,7
6,0.75,3.75,6
1,0.666666666666667,0,1
4,0.7,1.5,4
2,0.625,0.25,2
1,0.5,0,1
5,0.857142857142857,5,5
1,0.5,0,1
1,1,0,1
1,0.5,0,1
7,0.769230769230769,5.25,7
