"z","module","p","roles","label","role_7"
-0.540061724867322,"37",0,"Peripherals","","ultra peripheral"
-0.540061724867322,"37",0,"Peripherals","","ultra peripheral"
-0.540061724867322,"37",0,"Peripherals","","ultra peripheral"
-0.540061724867322,"37",0,"Peripherals","","ultra peripheral"
-0.540061724867322,"37",0,"Peripherals","","ultra peripheral"
-0.540061724867322,"37",0,"Peripherals","","ultra peripheral"
1.62018517460197,"37",0,"Peripherals","","ultra peripheral"
1.62018517460197,"37",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
-0.477349469340299,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
0.296207307943861,"1",0,"Peripherals","","ultra peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
0.185699196903267,"1",0,"Peripherals","","ultra peripheral"
0.0751910858626725,"1",0,"Peripherals","","ultra peripheral"
-0.477349469340299,"1",0,"Peripherals","","ultra peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
0.185699196903267,"1",0,"Peripherals","","ultra peripheral"
0.185699196903267,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.477349469340299,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0.444444444444444,"Peripherals","","peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
0.0751910858626725,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.477349469340299,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.145825136218516,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0.444444444444444,"Peripherals","","peripheral"
-0.366841358299705,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.477349469340299,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.477349469340299,"1",0,"Peripherals","","ultra peripheral"
-0.0353170251779219,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0.5,"Peripherals","","peripheral"
-0.256333247259111,"1",0,"Peripherals","","ultra peripheral"
-0.256333247259111,"1",0.375,"Peripherals","","peripheral"
