"source","target","correlation","direct","cor"
"fun_ASV_25","bac_ASV_2017",0.832319899960988,"undirected","+"
"fun_ASV_16","bac_ASV_2017",0.866094420600858,"undirected","+"
"fun_ASV_78","bac_ASV_2017",0.801949252723753,"undirected","+"
"fun_ASV_80","bac_ASV_2017",0.891689192518235,"undirected","+"
"fun_ASV_41","bac_ASV_2017",-0.816724162190516,"undirected","-"
"fun_ASV_99","bac_ASV_2017",0.837054853096886,"undirected","+"
"fun_ASV_47","bac_ASV_2017",0.826180257510729,"undirected","+"
"fun_ASV_129","bac_ASV_2017",0.876788977911227,"undirected","+"
"fun_ASV_91","bac_ASV_2017",0.860944206008584,"undirected","+"
"fun_ASV_126","bac_ASV_2017",0.81796485644718,"undirected","+"
"fun_ASV_90","bac_ASV_2017",0.826609442060086,"undirected","+"
"fun_ASV_144","bac_ASV_2017",0.839648999193303,"undirected","+"
"fun_ASV_119","bac_ASV_2017",0.860944206008584,"undirected","+"
"fun_ASV_108","bac_ASV_2017",0.852996564834998,"undirected","+"
"fun_ASV_221","bac_ASV_2017",0.848259851130409,"undirected","+"
"fun_ASV_69","bac_ASV_2017",0.85872104863125,"undirected","+"
"fun_ASV_140","bac_ASV_2017",0.905150214592275,"undirected","+"
"fun_ASV_106","bac_ASV_2017",0.881136657695534,"undirected","+"
"fun_ASV_343","bac_ASV_2017",0.811587982832618,"undirected","+"
"fun_ASV_275","bac_ASV_2017",0.884201632668018,"undirected","+"
"fun_ASV_233","bac_ASV_2017",0.912794262163637,"undirected","+"
"fun_ASV_261","bac_ASV_2017",0.819515538431915,"undirected","+"
"fun_ASV_112","bac_ASV_2017",0.821987018855556,"undirected","+"
"fun_ASV_198","bac_ASV_2017",0.836909871244635,"undirected","+"
"fun_ASV_382","bac_ASV_2017",0.896965459929586,"undirected","+"
"fun_ASV_300","bac_ASV_2017",0.851436728123663,"undirected","+"
"fun_ASV_558","bac_ASV_2017",0.801248814251402,"undirected","+"
"fun_ASV_314","bac_ASV_2017",0.808789979562003,"undirected","+"
"fun_ASV_433","bac_ASV_2017",0.812545181347977,"undirected","+"
"fun_ASV_372","bac_ASV_2017",0.97435071529606,"undirected","+"
"fun_ASV_729","bac_ASV_2017",0.818216436200255,"undirected","+"
"fun_ASV_513","bac_ASV_2017",0.854755320638781,"undirected","+"
"fun_ASV_496","bac_ASV_2017",0.814303937151761,"undirected","+"
"fun_ASV_520","bac_ASV_2017",0.828373983582029,"undirected","+"
"fun_ASV_488","bac_ASV_2017",0.860031588050132,"undirected","+"
"fun_ASV_1002","bac_ASV_2017",0.820101727527906,"undirected","+"
"fun_ASV_602","bac_ASV_2017",0.859692845408563,"undirected","+"
"fun_ASV_936","bac_ASV_2017",0.895867398707326,"undirected","+"
"fun_ASV_557","bac_ASV_2017",0.821987018855556,"undirected","+"
"fun_ASV_895","bac_ASV_2017",0.864377682403433,"undirected","+"
"fun_ASV_835","bac_ASV_2017",0.831413475493808,"undirected","+"
"fun_ASV_637","bac_ASV_2017",0.814445853544955,"undirected","+"
"fun_ASV_763","bac_ASV_2017",0.843275992710337,"undirected","+"
"fun_ASV_753","bac_ASV_2017",-0.858369098712446,"undirected","-"
"fun_ASV_669","bac_ASV_2017",0.826954521883685,"undirected","+"
"fun_ASV_1121","bac_ASV_2017",0.84485473412048,"undirected","+"
"fun_ASV_965","bac_ASV_2017",0.840892929974546,"undirected","+"
"fun_ASV_1558","bac_ASV_2017",0.837835502434786,"undirected","+"
"fun_ASV_1637","bac_ASV_2017",0.854755320638781,"undirected","+"
"fun_ASV_1743","bac_ASV_2017",0.917629359809528,"undirected","+"
"fun_ASV_25","bac_ASV_465",0.804811586022857,"undirected","+"
"fun_ASV_16","bac_ASV_465",0.842449852150064,"undirected","+"
"fun_ASV_78","bac_ASV_465",0.808780084967742,"undirected","+"
"fun_ASV_80","bac_ASV_465",0.841811169874039,"undirected","+"
"fun_ASV_99","bac_ASV_465",0.835473515248796,"undirected","+"
"fun_ASV_47","bac_ASV_465",0.826264854990531,"undirected","+"
"fun_ASV_129","bac_ASV_465",0.886903101107677,"undirected","+"
"fun_ASV_91","bac_ASV_465",0.835809853315384,"undirected","+"
"fun_ASV_126","bac_ASV_465",0.826645264847512,"undirected","+"
"fun_ASV_144","bac_ASV_465",0.844339324365412,"undirected","+"
"fun_ASV_119","bac_ASV_465",0.865689848071445,"undirected","+"
"fun_ASV_108","bac_ASV_465",0.821403626361941,"undirected","+"
"fun_ASV_221","bac_ASV_465",0.898876404494382,"undirected","+"
"fun_ASV_69","bac_ASV_465",0.818847574709518,"undirected","+"
"fun_ASV_140","bac_ASV_465",0.871084847124623,"undirected","+"
"fun_ASV_106","bac_ASV_465",0.848613684378071,"undirected","+"
"fun_ASV_343","bac_ASV_465",0.82128485586452,"undirected","+"
"fun_ASV_275","bac_ASV_465",0.853155636530267,"undirected","+"
"fun_ASV_233","bac_ASV_465",0.886027514150251,"undirected","+"
"fun_ASV_261","bac_ASV_465",0.816863003132231,"undirected","+"
"fun_ASV_198","bac_ASV_465",0.817549856520013,"undirected","+"
"fun_ASV_382","bac_ASV_465",0.882626256898234,"undirected","+"
"fun_ASV_300","bac_ASV_465",0.811898457281798,"undirected","+"
"fun_ASV_558","bac_ASV_465",0.802112136908798,"undirected","+"
"fun_ASV_314","bac_ASV_465",0.814873011814166,"undirected","+"
"fun_ASV_372","bac_ASV_465",0.914938200792389,"undirected","+"
"fun_ASV_729","bac_ASV_465",0.823987922460857,"undirected","+"
"fun_ASV_513","bac_ASV_465",0.84011054124803,"undirected","+"
"fun_ASV_496","bac_ASV_465",0.814601111857908,"undirected","+"
"fun_ASV_488","bac_ASV_465",0.824804883613957,"undirected","+"
"fun_ASV_602","bac_ASV_465",0.813050029684827,"undirected","+"
"fun_ASV_936","bac_ASV_465",0.898699696235251,"undirected","+"
"fun_ASV_860","bac_ASV_465",0.824192780827336,"undirected","+"
"fun_ASV_895","bac_ASV_465",0.839129852732724,"undirected","+"
"fun_ASV_835","bac_ASV_465",0.818518976072842,"undirected","+"
"fun_ASV_763","bac_ASV_465",0.831187621493676,"undirected","+"
"fun_ASV_753","bac_ASV_465",-0.877309846032135,"undirected","-"
"fun_ASV_669","bac_ASV_465",0.824173379962084,"undirected","+"
"fun_ASV_1121","bac_ASV_465",0.818847574709518,"undirected","+"
"fun_ASV_965","bac_ASV_465",0.836086471019192,"undirected","+"
"fun_ASV_1558","bac_ASV_465",0.853107126279902,"undirected","+"
"fun_ASV_1637","bac_ASV_465",0.800996082849843,"undirected","+"
