"","N4","Means","SD"
"num.edges",1261,1261,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",359,359,0
"connectance",0.0196230995471592,0.0196230995471592,0
"average.degree",7.02506963788301,7.02506963788301,0
"average.path.length",3.5028613352898,3.2306326248644,0.00672053774935837
"diameter",12,6.02,0.317184584439504
"edge.connectivity",0,0.84,0.545319848688582
"clustering.coefficient",0,0.019216750165938,0.00269528479325995
"no.clusters",43,1.26,0.484507455822379
"centralization.degree",0.159147850173511,0.0250137719612206,0.00378693054685007
"centralization.betweenness",0.0402664288898058,0.0207257635289153,0.00409328380779906
"centralization.closeness",1.01091195994307,NA,NA
