"","N0","N2","N4","N6"
"num.edges",666,1338,1261,519
"num.pos.edges",0,0,0,0
"num.neg.edges",0,0,0,0
"num.vertices",368,407,359,344
"connectance",0.00986257552422699,0.0161944299875334,0.0196230995471592,0.00879720659027731
"average.degree",3.6195652173913,6.57493857493858,7.02506963788301,3.01744186046512
"average.path.length",4.06397097858786,4.46026845061967,3.5028613352898,3.75084136010212
"diameter",14,13,12,12
"edge.connectivity",0,0,0,0
"clustering.coefficient",0,0,0,0
"no.clusters",36,38,43,43
"centralization.degree",0.145450775974411,0.116810496120841,0.159147850173511,0.128229032476778
"centralization.betweenness",0.0601515696579893,0.0732197512784332,0.0402664288898058,0.0503406288469098
"centralization.closeness",0.988391981270369,1.11424238083641,1.01091195994307,0.959741970318877
