"","Genes","Niches","Nitrogen"
"1","nifH"," ","N0"
"2","Anammox_Bacteria","***","N0"
"3","hzsB"," ","N0"
"4","amoA_archaea","***","N0"
"5","amoA_becteria"," ","N0"
"6","nxrA","***","N0"
"7","comammoxA"," ","N0"
"8","napA","*","N0"
"9","nirS","*","N0"
"10","nirK","*","N0"
"11","qnorB","***","N0"
"12","nosZ","***","N0"
"13","rRNA"," ","N0"
"14","nifH"," ","N2"
"15","Anammox_Bacteria","***","N2"
"16","hzsB"," ","N2"
"17","amoA_archaea","***","N2"
"18","amoA_becteria","***","N2"
"19","nxrA","*","N2"
"20","comammoxA"," ","N2"
"21","napA"," ","N2"
"22","nirS"," ","N2"
"23","nirK"," ","N2"
"24","qnorB","***","N2"
"25","nosZ","*","N2"
"26","rRNA"," ","N2"
"27","nifH"," ","N4"
"28","Anammox_Bacteria","***","N4"
"29","hzsB","*","N4"
"30","amoA_archaea","***","N4"
"31","amoA_becteria","***","N4"
"32","nxrA","***","N4"
"33","comammoxA"," ","N4"
"34","napA"," ","N4"
"35","nirS","**","N4"
"36","nirK"," ","N4"
"37","qnorB","***","N4"
"38","nosZ","***","N4"
"39","rRNA"," ","N4"
"40","nifH","*","N6"
"41","Anammox_Bacteria","***","N6"
"42","hzsB"," ","N6"
"43","amoA_archaea","***","N6"
"44","amoA_becteria","***","N6"
"45","nxrA","**","N6"
"46","comammoxA","*","N6"
"47","napA","*","N6"
"48","nirS"," ","N6"
"49","nirK","*","N6"
"50","qnorB","***","N6"
"51","nosZ","*","N6"
"52","rRNA","*","N6"
