"","Genes","Niches","Nitrogen"
"1","nifH",0.387783367164741,"N0"
"2","Anammox_Bacteria",-0.853123407762429,"N0"
"3","hzsB",-0.356760697791561,"N0"
"4","amoA_archaea",-0.907413079165493,"N0"
"5","amoA_becteria",-0.395539034508035,"N0"
"6","nxrA",-0.690254393553238,"N0"
"7","comammoxA",0.201647350925665,"N0"
"8","napA",-0.550652381373932,"N0"
"9","nirS",-0.480851375284278,"N0"
"10","nirK",0.465340040597689,"N0"
"11","qnorB",-0.945572244849122,"N0"
"12","nosZ",-0.713521395583123,"N0"
"13","rRNA",0.0698010060896533,"N0"
"14","nifH",0.387783367164741,"N2"
"15","Anammox_Bacteria",-0.791078069016071,"N2"
"16","hzsB",-0.186136016239075,"N2"
"17","amoA_archaea",-0.845367740419135,"N2"
"18","amoA_becteria",-0.868634742449019,"N2"
"19","nxrA",-0.511874044657458,"N2"
"20","comammoxA",0.442073038567804,"N2"
"21","napA",-0.147357679522601,"N2"
"22","nirS",-0.131846344836012,"N2"
"23","nirK",0.387783367164741,"N2"
"24","qnorB",-0.969016184804059,"N2"
"25","nosZ",-0.535141046687342,"N2"
"26","rRNA",0.286959691701908,"N2"
"27","nifH",0.22491435295555,"N4"
"28","Anammox_Bacteria",-0.853123407762429,"N4"
"29","hzsB",-0.527385379344047,"N4"
"30","amoA_archaea",-0.891901744478903,"N4"
"31","amoA_becteria",-0.915168746508788,"N4"
"32","nxrA",-0.698010060896533,"N4"
"33","comammoxA",0.240425687642139,"N4"
"34","napA",-0.387783367164741,"N4"
"35","nirS",-0.604942052776995,"N4"
"36","nirK",0.387783367164741,"N4"
"37","qnorB",-0.976830831455704,"N4"
"38","nosZ",-0.775566734329481,"N4"
"39","rRNA",-0.100823675462833,"N4"
"40","nifH",0.473095707940984,"N6"
"41","Anammox_Bacteria",-0.868634742449019,"N6"
"42","hzsB",0.0930680081195377,"N6"
"43","amoA_archaea",-0.930680081195377,"N6"
"44","amoA_becteria",-0.907413079165493,"N6"
"45","nxrA",-0.674743058866649,"N6"
"46","comammoxA",0.558408048717226,"N6"
"47","napA",-0.457584373254394,"N6"
"48","nirS",-0.310226693731793,"N6"
"49","nirK",0.496362709970868,"N6"
"50","qnorB",-0.922128304894185,"N6"
"51","nosZ",-0.550652381373932,"N6"
"52","rRNA",0.496362709970868,"N6"
