"","Genes","Nitrogen","Niche"
"1","nifH",-0.61269772012029,"RZS"
"2","Anammox_Bacteria",-0.240425687642139,"RZS"
"3","hzsB",-0.845367740419135,"RZS"
"4","amoA_archaea",-0.00775566734329481,"RZS"
"5","amoA_becteria",0.860879075105724,"RZS"
"6","nxrA",0.496362709970868,"RZS"
"7","comammoxA",-0.201647350925665,"RZS"
"8","napA",0.372272032478151,"RZS"
"9","nirS",0.147357679522601,"RZS"
"10","nirK",0.00775566734329481,"RZS"
"11","qnorB",0.643720389493469,"RZS"
"12","nosZ",-0.0698010060896533,"RZS"
"13","rRNA",0.00775566734329481,"RZS"
"14","nifH",-0.364516365134856,"RS"
"15","Anammox_Bacteria",-0.116335010149422,"RS"
"16","hzsB",-0.411050369194625,"RS"
"17","amoA_archaea",0.488607042627573,"RS"
"18","amoA_becteria",0.814345071045955,"RS"
"19","nxrA",0.690254393553238,"RS"
"20","comammoxA",0.0542896714030637,"RS"
"21","napA",-0.310226693731793,"RS"
"22","nirS",-0.698010060896533,"RS"
"23","nirK",-0.131846344836012,"RS"
"24","qnorB",0.829856405732545,"RS"
"25","nosZ",-0.651476056836764,"RS"
"26","rRNA",-0.232670020298844,"RS"
"27","nifH",0.217158685612255,"RE"
"28","Anammox_Bacteria",0.589430718090406,"RE"
"29","hzsB",-0.573919383403816,"RE"
"30","amoA_archaea",0.651476056836764,"RE"
"31","amoA_becteria",-0.527385379344047,"RE"
"32","nxrA",0.116335010149422,"RE"
"33","comammoxA",-0.124090677492717,"RE"
"34","napA",-0.155113346865896,"RE"
"35","nirS",0.217158685612255,"RE"
"36","nirK",0.0775566734329481,"RE"
"37","qnorB",0.511874044657458,"RE"
"38","nosZ",0.139602012179307,"RE"
"39","rRNA",0.364516365134856,"RE"
"40","nifH",-0.659231724180059,"NE"
"41","Anammox_Bacteria",0.22491435295555,"NE"
"42","hzsB",0.170624681552486,"NE"
"43","amoA_archaea",0.116335010149422,"NE"
"44","amoA_becteria",-0.395539034508035,"NE"
"45","nxrA",-0.0698010060896533,"NE"
"46","comammoxA",0.217158685612255,"NE"
"47","napA",0.279204024358613,"NE"
"48","nirS",0.116335010149422,"NE"
"49","nirK",-0.286959691701908,"NE"
"50","qnorB",NA,"NE"
"51","nosZ",-0.0310226693731792,"NE"
"52","rRNA",0.00775566734329481,"NE"
