sample,group,Niches,nifH,Anammox_Bacteria,hzsB,amoA_archaea,amoA_becteria,nxrA,comammoxA,napA,nirS,nirK,qnorB,nosZ,rRNA
N0.Z.1,N0.Z,Root zone,8037388.105,377473504.2,281714.5943,133068529.8,1098093730,41218.30333,850595.4763,757159.7353,6289082.579,3108422.093,79381.73296,220680.0202,1501909657
N0.Z.2,N0.Z,Root zone,6922830.145,337375836.4,256253.4551,131873870.7,972791647,52415.50195,1135765.711,776354.1302,5952971.007,2842970.601,105863.5524,176787.4324,1900607854
N0.Z.3,N0.Z,Root zone,9343119.913,277680722.1,251845.4488,96167971.55,389464047.4,33746.7998,2607186.344,460586.5358,2086814.31,2328850.571,82690.64645,87477.46895,1656283624
N0.Z.4,N0.Z,Root zone,5085223.625,277081878.9,257256.6883,66475932.52,679289676.6,18969.507,2007957.573,355683.8092,2496707.968,2052813.19,34709.82343,125027.652,1325940625
N0.Z.5,N0.Z,Root zone,7357935.21,321953312.2,247110.2531,61808204.32,476671902.4,31300.37326,1985239.796,521662.414,2387569.983,2233978.905,87400.47742,132216.2123,1673807755
N2.Z.1,N2.Z,Root zone,7604811.28,317308856.4,250299.6589,127563535.1,2262068898,61204.34655,1900103.094,513442.1336,2436055.731,2079810.533,106804.4001,114669.6197,2063164063
N2.Z.2,N2.Z,Root zone,12089011.75,329987912.2,238256.0146,119280222.6,2429803215,52121.09397,2385476.873,639155.1679,2802071.103,2550931.174,80478.29313,120678.443,1448712820
N2.Z.3,N2.Z,Root zone,6022632.722,293447752.5,255002.8266,127121793.7,2726807269,64198.40158,1929949.511,693302.5984,3293212.275,2300039.922,102495.6204,114950.4623,1479720730
N2.Z.4,N2.Z,Root zone,6088459.618,296663558.1,238738.8788,122402047.2,2245538085,66117.11698,1727589.724,595220.9272,2943963.159,2154713.888,95488.31879,128621.7758,1805758380
N2.Z.5,N2.Z,Root zone,8804722.577,382609996.9,223425.5863,111715684.8,3435240511,51748.7227,2179321.783,411822.8645,3231298.334,1934992.816,189563.5184,153151.6667,2364892018
N4.Z.1,N4.Z,Root zone,11754159.62,302305108.5,232896.6815,136157013.5,5306242622,81836.53894,1775895.036,609139.8795,3027430.531,2693276.207,164421.8537,141193.2641,1790084730
N4.Z.2,N4.Z,Root zone,5662088.114,313905628.5,219186.7867,132548094.1,4852126853,70638.13055,1856333.483,570423.4587,2927883.437,2765724.831,189462.7173,136219.5404,1969024197
N4.Z.3,N4.Z,Root zone,6411558.54,300683965.7,228150.8203,129836893.8,4239320550,78385.76395,1869207.245,604157.59,3420709.82,2860103.127,183460.2648,144062.2033,2032792923
N4.Z.4,N4.Z,Root zone,6033043.871,327445303,239220.6333,136686790.5,3854498348,80922.11664,1901687.876,582769.3101,3666802.595,2962182.694,217911.9999,158094.9948,2583237146
N4.Z.5,N4.Z,Root zone,7926363.836,361532220.1,254224.4932,127286373.9,5450959666,72289.09148,2161423.089,658476.6345,4125035.008,3371409.697,171862.1539,182657.9683,1932721365
N6.Z.1,N6.Z,Root zone,2183.297511,296110593.8,195707.1812,101806184.5,12303583460,96789.72656,2908185.697,576213.305,2434928.055,2843902.02,203038.5599,137758.9095,1817480727
N6.Z.2,N6.Z,Root zone,1195.444813,331660699.2,147444.098,96897068.85,12446662149,66122.89036,1924003.976,616557.2589,2432867.219,4204641.77,271598.487,167913.6602,2154845892
N6.Z.3,N6.Z,Root zone,320.2273001,291369422.6,23086.66541,102062367.5,3428212890,43253.13846,1020088.165,694433.1169,3779768.376,1582234.826,135958.5746,94837.93101,891924144.1
N6.Z.4,N6.Z,Root zone,202.6468781,273906351.9,23136.43325,111681299.1,4131290474,48342.16457,880519.9795,891671.5195,3500743.568,1548194.526,90406.05299,88119.34422,743052233.6
N6.Z.5,N6.Z,Root zone,327.5326229,283451504.8,22952.29197,101899799.3,4375552504,46525.17572,889876.1382,858332.9719,3931268.271,1994669.133,106714.4909,117804.761,726523754.4
N0.RH.1,N0.RH,Rhizosphere,8214.814092,294079875.9,76365.86863,63416698.54,661251196.6,41556.78651,795457.4648,827484.9481,6156667.714,15325747.89,41983.92186,613655.1716,1389651433
N0.RH.2,N0.RH,Rhizosphere,3961.03861,321910974.5,80690.0869,63062725.52,569480076.2,48430.05667,878797.3912,1060214.205,7132688.204,25139242.62,43232.68202,752980.2282,2704261736
N0.RH.3,N0.RH,Rhizosphere,4011.057067,271225710.5,108828.0584,42750850.52,483897270.2,36673.32922,1086305.626,1303798.199,7577300.794,53024844.42,23270.0283,835526.4844,1816918401
N0.RH.4,N0.RH,Rhizosphere,1084.93419,225373717.1,66613.92041,29386109.76,269480964.1,40522.43012,1093067.177,822930.0511,4822375.207,6562128.065,53137.19649,595697.407,1311632981
N0.RH.5,N0.RH,Rhizosphere,1603.542517,195686663.3,72680.01073,21100320.47,113169079.4,49512.65138,1078454.146,772488.9709,4926215.899,11843255.28,45588.64169,917327.3133,1861088091
N2.RH.1,N2.RH,Rhizosphere,1012.511188,242741317.5,75127.79218,47450348.76,1039479326,63808.8051,1666253.929,709806.3808,5002103.767,5139675.376,53083.49881,977830.5457,1717309020
N2.RH.2,N2.RH,Rhizosphere,987.9182853,242959183.4,74959.42549,55451133.93,1156762254,64768.55384,103514.3144,828136.3373,4279697.309,9146349.861,66764.25503,511237.8375,1838219276
N2.RH.3,N2.RH,Rhizosphere,2176.971508,339695747.1,112647.2262,77156696.41,2394222886,91681.57788,392746.9344,1538272.937,8794657.88,10937698.92,79545.63637,1099033.985,1377689939
N2.RH.4,N2.RH,Rhizosphere,2399.115019,309081166.8,73560.25966,57735741.21,2150783666,76381.29897,1299819.781,908644.0256,4744885.936,8442499.776,47949.41398,611252.5719,1773422062
N2.RH.5,N2.RH,Rhizosphere,6194.92987,250540400.1,82639.42985,70769862.38,2545734383,66136.71067,3036763.948,1026927.032,5587564.1,14949101.58,90359.22222,726616.6253,2575252959
N4.RH.1,N4.RH,Rhizosphere,6413.506089,363001657.9,67234.96733,79929061.04,6428937278,87371.81333,1020683.721,1175173.098,4826570.508,14132718.17,53095.38636,672328.0928,3194773365
N4.RH.2,N4.RH,Rhizosphere,2496.514307,341195258,56653.56554,127227129.4,3189463695,93478.64126,1335360.512,823196.5923,4371483.866,27834655.61,82156.49757,768676.1046,2189235403
N4.RH.3,N4.RH,Rhizosphere,1048.026353,232208199.3,53709.45294,85974758.96,2917782406,59392.77974,1508120.19,409317.9662,3801871.05,10326068.45,65632.18433,658718.1329,1442504895
N4.RH.4,N4.RH,Rhizosphere,1819.748048,220547530.6,46332.72327,89120734.77,2443578982,51225.23905,1756335.478,373496.8665,3649702.198,7515624.866,110227.2011,451289.0905,2111373695
N4.RH.5,N4.RH,Rhizosphere,1922.897197,220246403.2,41302.5255,99177237.42,2555490368,111327.2197,1053522.106,789572.5704,4726106.58,12814862.57,88261.44303,599204.9758,1772227949
N6.RH.1,N6.RH,Rhizosphere,1731.08445,225400313.8,82773.00303,67720150.76,7681332531,113951.6771,1549295.623,816358.0843,3593977.468,14877505.88,104363.0259,482641.3509,1525616377
N6.RH.2,N6.RH,Rhizosphere,4788.180262,323687978.5,112868.9549,92540010.27,2514594539,85003.73154,829552.8042,577328.1709,3028698.432,26415964.04,117403.8686,513340.0686,2547798818
