"","predictor","outcome","effect_type","effect_size"
"1","emf_Nitrification","emf_deltaNutrition","direct_effect",0.1473
"2","emf_Denitrification","emf_deltaNutrition","direct_effect",0.0893
"3","emf_Nfix","emf_deltaNutrition","direct_effect",0.284
"4","richness_AMF","emf_deltaNutrition","direct_effect",-0.1361
"5","richness_RHI","emf_deltaNutrition","direct_effect",0.2578
"6","Nitrogen","emf_deltaNutrition","direct_effect",-0.485
"7","NicheSelc","emf_deltaNutrition","direct_effect",0
"8","emf_Nitrification","emf_deltaNutrition","indirect_effect",0
"9","emf_Denitrification","emf_deltaNutrition","indirect_effect",0
"10","emf_Nfix","emf_deltaNutrition","indirect_effect",0
"11","richness_AMF","emf_deltaNutrition","indirect_effect",0.05917721
"12","richness_RHI","emf_deltaNutrition","indirect_effect",-0.06641198
"13","Nitrogen","emf_deltaNutrition","indirect_effect",0.038160321065
"14","NicheSelc","emf_deltaNutrition","indirect_effect",-0.029043528678
"15","emf_Nitrification","emf_deltaNutrition","total_effect",0.1473
"16","emf_Denitrification","emf_deltaNutrition","total_effect",0.0893
"17","emf_Nfix","emf_deltaNutrition","total_effect",0.284
"18","richness_AMF","emf_deltaNutrition","total_effect",-0.07692279
"19","richness_RHI","emf_deltaNutrition","total_effect",0.19138802
"20","Nitrogen","emf_deltaNutrition","total_effect",-0.446839678935
"21","NicheSelc","emf_deltaNutrition","total_effect",-0.029043528678
