,N0.N.1,N0.N.2,N0.N.3,N0.N.4,N0.N.5,N0.O.1,N0.O.2,N0.O.3,N0.O.4,N0.O.5,N0.R.1,N0.R.2,N0.R.3,N0.R.4,N0.R.5,N0.RH.1,N0.RH.2,N0.RH.3,N0.RH.4,N0.RH.5,N0.Z.1,N0.Z.2,N0.Z.3,N0.Z.4,N0.Z.5,N2.N.1,N2.N.2,N2.N.3,N2.N.4,N2.N.5,N2.O.1,N2.O.2,N2.O.3,N2.O.4,N2.O.5,N2.R.1,N2.R.2,N2.R.3,N2.R.4,N2.R.5,N2.RH.1,N2.RH.2,N2.RH.3,N2.RH.4,N2.RH.5,N2.Z.1,N2.Z.2,N2.Z.3,N2.Z.4,N2.Z.5,N4.N.1,N4.N.2,N4.N.3,N4.N.4,N4.N.5,N4.O.1,N4.O.2,N4.O.3,N4.O.4,N4.O.5,N4.R.1,N4.R.2,N4.R.3,N4.R.4,N4.R.5,N4.RH.1,N4.RH.2,N4.RH.3,N4.RH.4,N4.RH.5,N4.Z.1,N4.Z.2,N4.Z.3,N4.Z.4,N4.Z.5,N6.N.1,N6.N.2,N6.N.3,N6.N.4,N6.N.5,N6.O.1,N6.O.2,N6.O.3,N6.O.4,N6.O.5,N6.R.1,N6.R.2,N6.R.3,N6.R.4,N6.R.5,N6.RH.1,N6.RH.2,N6.RH.3,N6.RH.4,N6.RH.5,N6.Z.1,N6.Z.2,N6.Z.3,N6.Z.4,N6.Z.5
ASV_1000,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,35,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,204,23,55,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_100,0,0,0,0,0,0,0,0,0,0,567,0,2,0,546,4,24,6,0,0,17,4,20,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2123,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,252,665,1440,237,852,0,0,27,0,2,24,6,0,0,0,0,0,1311,559,3531,0,0,0,0,0,0,836,1663,928,406,0,0,8,0,0,0,0,6,0,17
ASV_1001,0,0,0,0,0,64,18,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,26,67,21,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,92,39,7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,49,39,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,70,27,672,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,0,112,92,53,267,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ASV_10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1003,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,431,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
ASV_10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1004,0,0,0,0,0,0,0,0,0,0,1192,4,0,0,0,6,6,6,0,0,10,0,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,9,11,9,4,2,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
