Original	Rhizosphere	Root	Root zone	Unknown
N0.N.1	0	0.0031	0.423	0.0056	0.5683
N0.N.2	0	0.001	0.032	0.0037	0.9633
N0.N.3	0	0.0271	0.5973	0.0093	0.3663
N0.N.4	0	0.0931	0.7138	0.034	0.1591
N0.N.5	0	0.0054	0.0086	0.0012	0.9848
N2.N.1	0	0.007	0.2408	0.1116	0.6406
N2.N.2	0	0.0011	0.0303	0.0051	0.9635
N2.N.3	0	0.0638	0.7924	0.0207	0.1231
N2.N.4	0	0.0088	0.0947	0.0124	0.8841
N2.N.5	0	0.0193	0.7002	0.0475	0.233
N4.N.1	0	0.0037	0.8985	0.0184	0.0794
N4.N.2	0	0.0089	0.4742	0.0368	0.4801
N4.N.3	0	0.0215	0.3279	0.0219	0.6287
N4.N.4	0	0.01	0.0284	0.0115	0.9501
N4.N.5	0	0	0.2351	4e-04	0.7645
N6.N.1	0	2e-04	0.0748	0.001	0.924
N6.N.2	0	7e-04	0.9151	0.0076	0.0766
N6.N.3	0	0.0054	0.9419	0.0094	0.0433
N6.N.4	0	0.0081	0.3855	0.0062	0.6002
N6.N.5	0	0.0233	0.5304	0.0058	0.4405
