Nodule	Original	Root	Root zone	Unknown
N0.RH.1	0.0054	0	0.0113	0.9369	0.0464
N0.RH.2	0.0115	0	0.0108	0.8798	0.0979
N0.RH.3	0.0062	0	0.0075	0.946	0.0403
N0.RH.4	0.0015	0	0.0053	0.0298	0.9634
N0.RH.5	0.0026	0	0.0072	0.0307	0.9595
N2.RH.1	8e-04	0	0.1833	0.2095	0.6064
N2.RH.2	0.0034	0	0.0081	0.0355	0.953
N2.RH.3	0.1671	0	0.3344	0.4896	0.0089
N2.RH.4	0.0028	0	0.0094	0.1371	0.8507
N2.RH.5	9e-04	0	0.068	0.0585	0.8726
N4.RH.1	0.0104	0	0.0083	0.9596	0.0217
N4.RH.2	0.0071	0	0.0018	0.9675	0.0236
N4.RH.3	0.0056	0	0.009	0.9062	0.0792
N4.RH.4	0.0019	0	0.0061	0.0617	0.9303
N4.RH.5	0.0028	0	0.002	0.9785	0.0167
N6.RH.1	0.0045	0	0.0024	0.9742	0.0189
N6.RH.2	0.0043	0	0.0035	0.9705	0.0217
N6.RH.3	0.0076	0	0.003	0.9446	0.0448
N6.RH.4	0.0063	0	0.0043	0.9558	0.0336
N6.RH.5	0.002	0	0.0021	0.9788	0.0171
