Nodule	Original	Rhizosphere	Root zone	Unknown
N0.RT.1	0.3335	0	0.0483	0.17	0.4482
N0.RT.2	0.5513	0	0.0273	0.0125	0.4089
N0.RT.3	0.5228	0	0.1174	0.0202	0.3396
N0.RT.4	0.0175	0	0.0552	0.0189	0.9084
N0.RT.5	0.6313	0	0.0683	0.1269	0.1735
N2.RT.1	0.3598	0	0.0648	0.526	0.0494
N2.RT.2	0.2612	0	0.1756	0.2156	0.3476
N2.RT.3	0.0255	0	0.0192	0.0279	0.9274
N2.RT.4	0.7181	0	0.0312	0.1274	0.1233
N2.RT.5	0.051	0	0.2687	0.3325	0.3478
N4.RT.1	0.4906	0	0.0139	0.0096	0.4859
N4.RT.2	0.5072	0	0.0291	0.0095	0.4542
N4.RT.3	0.6609	0	0.0171	0.0058	0.3162
N4.RT.4	0.665	0	0.0284	0.0174	0.2892
N4.RT.5	0.6009	0	0.0346	0.0127	0.3518
N6.RT.1	0.5912	0	0.0567	0.0045	0.3476
N6.RT.2	0.6833	0	0.0068	0.1106	0.1993
N6.RT.3	0.8056	0	0.0101	0.0302	0.1541
N6.RT.4	0.5402	0	0.0228	0.192	0.245
N6.RT.5	0.7764	0	0.0068	0.0183	0.1985
