Nodule	Original	Rhizosphere	Root	Unknown
N0.Z.1	0.0145	0	0.4972	0.0179	0.4704
N0.Z.2	0.0038	0	0.8668	0.0278	0.1016
N0.Z.3	0.1835	0	0.5649	0.0729	0.1787
N0.Z.4	0.0027	0	0.6256	0.0081	0.3636
N0.Z.5	0.0094	0	0.507	0.0144	0.4692
N2.Z.1	0.0383	0	0.4424	0.0223	0.497
N2.Z.2	0.0223	0	0.4742	0.0321	0.4714
N2.Z.3	0.0663	0	0.862	0.027	0.0447
N2.Z.4	0.098	0	0.3302	0.013	0.5588
N2.Z.5	0.0128	0	0.0778	0.003	0.9064
N4.Z.1	0.0532	0	0.7381	0.0141	0.1946
N4.Z.2	0.0055	0	0.5099	0.0024	0.4822
N4.Z.3	0.0166	0	0.8009	0.0055	0.177
N4.Z.4	0.0765	0	0.8406	0.0077	0.0752
N4.Z.5	0.0257	0	0.9279	0.0059	0.0405
N6.Z.1	0.0065	0	0.2786	0.0038	0.7111
N6.Z.2	2e-04	0	0.0718	0.8826	0.0454
N6.Z.3	0.0323	0	0.854	0.0071	0.1066
N6.Z.4	0.0318	0	0.7448	0.0046	0.2188
N6.Z.5	0.0254	0	0.7549	0.0073	0.2124
