Original	Rhizosphere	Root	Root zone	Unknown	
N0.N.1	8.00E-04	0.0278	0.9613	5.00E-04	0.0096
N0.N.2	4.00E-04	0.0213	0.9741	0.001	0.0032
N0.N.3	1.00E-04	0.0185	0.9774	5.00E-04	0.0035
N0.N.4	2.00E-04	0.0195	0.9775	7.00E-04	0.0021
N0.N.5	3.00E-04	0.0213	0.9742	4.00E-04	0.0038
N2.N.1	2.00E-04	0.0045	0.9919	3.00E-04	0.0031
N2.N.2	1.00E-04	0.0031	0.9894	5.00E-04	0.0069
N2.N.3	0	0.0024	0.9886	4.00E-04	0.0086
N2.N.4	3.00E-04	0.0021	0.9877	0.001	0.0089
N2.N.5	2.00E-04	0.0028	0.9924	4.00E-04	0.0042
N4.N.1	0	0.0018	0.9977	3.00E-04	2.00E-04
N4.N.2	0	0.0016	0.9954	3.00E-04	0.0027
N4.N.3	2.00E-04	0.0015	0.9936	0.001	0.0037
N4.N.4	1.00E-04	0.0019	0.9971	3.00E-04	6.00E-04
N4.N.5	0	0.002	0.9922	4.00E-04	0.0054
N6.N.1	0	0.0161	0.9826	1.00E-04	0.0012
N6.N.2	2.00E-04	0.011	0.9858	0.001	0.002
N6.N.3	9.00E-04	0.0141	0.9838	8.00E-04	4.00E-04
N6.N.4	3.00E-04	0.0144	0.9698	5.00E-04	0.015
N6.N.5	0	0.0114	0.9737	1.00E-04	0.0148
