Nodule	Rhizosphere	Root	Root zone	Unknown	
N0.O.1	7.00E-04	0.171	0.0219	0.3861	0.4203
N0.O.2	0	0.1356	0.0276	0.3806	0.4562
N0.O.3	0	0.1107	0.0117	0.5971	0.2805
N0.O.4	3.00E-04	0.1139	0.0161	0.5687	0.301
N0.O.5	0	0.1117	0.0073	0.5069	0.3741
N2.O.1	0.0013	0.244	0.0085	0.5427	0.2035
N2.O.2	0.0018	0.2269	0.0118	0.5803	0.1792
N2.O.3	1.00E-04	0.2452	0.0255	0.5354	0.1938
N2.O.4	0.0016	0.3285	0.0209	0.494	0.155
N2.O.5	0.0012	0.204	0.0095	0.521	0.2643
N4.O.1	0.0014	0.2116	0.0066	0.5849	0.1955
N4.O.2	6.00E-04	0.244	0.0065	0.5637	0.1852
N4.O.3	5.00E-04	0.1468	0.008	0.5959	0.2488
N4.O.4	1.00E-04	0.1189	0.0059	0.5638	0.3113
N4.O.5	0	0.1074	0.0047	0.7731	0.1148
N6.O.1	5.00E-04	0.1357	0.0059	0.7086	0.1493
N6.O.2	1.00E-04	0.1631	0.0094	0.668	0.1594
N6.O.3	0	0.2152	0.0088	0.6534	0.1226
N6.O.4	2.00E-04	0.1732	0.0069	0.7047	0.115
N6.O.5	2.00E-04	0.2235	0.0171	0.6266	0.1326
