Nodule	Original	Root	Root zone	Unknown	
N0.RH.1	0.0065	0.1514	0.2578	0.4522	0.1321
N0.RH.2	0.1379	0.0993	0.3421	0.3386	0.0821
N0.RH.3	0.4003	0.0757	0.3215	0.1445	0.058
N0.RH.4	0.0106	0.173	0.1202	0.5759	0.1203
N0.RH.5	0.0337	0.1948	0.2365	0.3932	0.1418
N2.RH.1	0.0094	0.3152	0.068	0.4409	0.1665
N2.RH.2	0.0289	0.2327	0.1694	0.4295	0.1395
N2.RH.3	0.0092	0.3176	0.1379	0.3869	0.1484
N2.RH.4	0.0103	0.2249	0.154	0.4444	0.1664
N2.RH.5	0.0038	0.2639	0.2111	0.3462	0.175
N4.RH.1	0.0037	0.1946	0.2167	0.419	0.166
N4.RH.2	0.0062	0.1736	0.3952	0.2748	0.1502
N4.RH.3	0.0024	0.1772	0.307	0.3314	0.182
N4.RH.4	0.0294	0.2491	0.1938	0.4045	0.1232
N4.RH.5	0.0057	0.2005	0.2312	0.3951	0.1675
N6.RH.1	0.0029	0.1905	0.305	0.3242	0.1774
N6.RH.2	0.1573	0.1249	0.2037	0.3354	0.1787
N6.RH.3	0.122	0.1568	0.2605	0.235	0.2257
N6.RH.4	0.0086	0.2852	0.1948	0.3317	0.1797
N6.RH.5	0.0114	0.1907	0.162	0.4417	0.1942
